,count,mean,std,min,25%,50%,75%,max,missing
sigma_n_MPa,163.0,130.80942944785275,464.66488305024217,0.01,0.0245,0.5,0.5,2760.0,0
log_sigma_n_MPa,163.0,-0.7752116391130129,3.1440286277483653,-4.605170185988091,-3.7090821614314557,-0.6931471805599453,-0.6931471805599453,7.9229859587111955,0
delta_peak_mm,163.0,1.1746012269938648,1.6346469567866386,0.05,0.32,0.85,1.255,12.65,0
log_delta_peak_mm,163.0,-0.3739086230791091,1.0570510974699547,-2.995732273553991,-1.139922803012278,-0.16251892949777494,0.22712763613879822,2.5376572151735295,0
u_r_mm,163.0,5.538027225029908,4.94123239835857,0.6167440601439975,1.5750000000000002,3.5,7.4626031277423674,24.669762405759897,0
log_u_r_mm,163.0,1.3456157305525467,0.8516519360677582,-0.4833011545164987,0.4542547123825431,1.252762968495368,2.0098701462471067,3.2055782995974376,0
tau_peak_MPa_csds,163.0,0.7071453987730062,0.7834566106465213,0.015,0.042,0.63,1.02,3.232,0
log_tau_peak_MPa_csds,163.0,-1.32279664201299,1.6753879074132352,-4.199705077879927,-3.170085660698769,-0.4620354595965587,0.01980262729617973,1.173101140658849,0
tau_r_MPa,163.0,0.4705674174856531,0.5331673726504618,0.014,0.029249999999999998,0.4766666666666666,0.6376666666666666,2.8175,0
log_tau_r_MPa,163.0,-1.7529167667485865,1.7132649240382147,-4.268697949366879,-3.532460457947487,-0.7409378443962938,-0.44994082786450607,1.0358499669317942,0
c_target,163.0,1.7753458523179622,1.2642825990633189,0.2026772661107024,0.6700532568140708,1.4285714285714286,3.174606729494392,8.107090644428094,0
d_csds,163.0,2.7483021974645703,7.990686228832796,0.0164195869070291,0.08556090545071171,1.0427208983166083,2.1192768157743798,88.02266261294648,0
log_d_csds,163.0,-0.584976150382421,1.9216403899455177,-4.109280333189722,-2.4585550245430587,0.04183354511434433,0.7510561019712227,4.477594311015701,0
e_csds,163.0,8.421491753058065,12.482702794825459,0.3027127732951231,2.0759310675713243,3.6102895519762694,8.48007695831207,77.68977402204777,0
e_minus_c_csds,163.0,6.646145900740103,11.777193944727376,0.016998487580837385,0.924372768804286,1.9625092995647175,6.3178334160067875,73.47363196212504,0
log_e_minus_c_csds,163.0,0.8529731674805942,1.505703369134757,-4.07463090471671,-0.07866024570881813,0.6742239092949024,1.843173151681525,4.296926593038415,0
