sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,dataset,model_name
18,3.07,10.5,12.57,12.4375,12.4375,0.7124450836759753,0.4761904761904761,13.149945083675975,1.9539451798171723,12.4375,1.9924693545191623,0.4761904761904761,14.429969354519162,1.4934383287468789,1.280024270843187,1.280024270843187,1.280024270843187,1.280024270843187,-0.46050685107029343,0.46050685107029343,0.22884976870806825,0.12107036477467112,0.9847200380228787,True,HIGH,HIGH_exp_log_rank_5
21,1.67,12.0,7.53,5.32,5.32,5.617172562155661,0.4166666666666667,10.93717256215566,1.7473164085592403,5.32,10.661623754277684,0.4166666666666667,15.981623754277685,1.3731900940059965,5.044451192122024,5.044451192122024,5.044451192122025,5.044451192122025,-0.37412631455324385,0.37412631455324385,0.6621839722438232,0.44244545824735765,0.550428079945278,True,HIGH,HIGH_exp_log_rank_5
22,1.67,12.0,19.67,18.994999999999997,18.994999999999997,1.5273740416856256,0.4166666666666667,20.522374041685623,3.2739688179792332,18.994999999999997,0.1364409453732413,0.4166666666666667,19.13144094537324,4.845885347734928,-1.3909330963123843,1.3909330963123843,-1.3909330963123843,1.3909330963123843,1.5719165297556947,1.5719165297556947,0.39146053579610884,0.1959924090360313,0.9713607261676122,True,HIGH,HIGH_exp_log_rank_5
30,2.17,3.85,16.37,14.955,14.955,60.674147880173095,1.2987012987012987,75.6291478801731,1.6284330431129306,14.955,43.64265455816218,1.2987012987012987,58.597654558162176,1.5012914469478602,-17.031493322010917,17.031493322010917,-17.031493322010917,17.031493322010917,-0.12714159616507037,0.12714159616507037,1.5868245829903713,1.1655731634000364,0.7212985288666919,True,HIGH,HIGH_exp_log_rank_5
33,2.26,4.125,16.14,11.3475,11.3475,422.7987490320256,1.2121212121212122,434.1462490320256,1.3091974223177918,11.3475,169.81306847117773,1.2121212121212122,181.16056847117773,1.25673742884612,-252.9856805608479,252.9856805608479,-252.98568056084787,252.98568056084787,-0.05245999347167185,0.05245999347167185,5.236571342471433,4.034915614303574,-1.0633759179016185,True,HIGH,HIGH_exp_log_rank_5
36,1.48,3.625,14.91,14.235,14.235,8.232456046268986,1.3793103448275863,22.467456046268985,2.7321098339023515,14.235,12.847204374968786,1.3793103448275863,27.082204374968786,2.198052836588025,4.6147483286998,4.6147483286998,4.6147483286998,4.6147483286998,-0.5340569973143263,0.5340569973143263,0.38249591679621936,0.20921865941811454,0.9779589972564259,True,HIGH,HIGH_exp_log_rank_5
39,0.54,3.35,15.9,14.4675,14.4675,3.852469877296928,1.4925373134328357,18.319969877296927,7.688914610134782,14.4675,2.477976345708461,1.4925373134328357,16.94547634570846,8.210010006343131,-1.3744935315884672,1.3744935315884672,-1.3744935315884668,1.3744935315884668,0.5210953962083487,0.5210953962083487,0.22274042045424436,0.14198912418470375,0.9872223632250843,True,HIGH,HIGH_exp_log_rank_5
42,0.71,3.35,16.28,14.8375,14.8375,5.373344828404187,1.4925373134328357,20.210844828404188,5.457009220110153,14.8375,4.727263136837488,1.4925373134328357,19.564763136837488,5.269880864819602,-0.6460816915666996,0.6460816915666996,-0.6460816915666996,0.6460816915666996,-0.18712835529055116,0.18712835529055116,0.18188075000936824,0.10403649730888816,0.9933070825003139,True,HIGH,HIGH_exp_log_rank_5
45,2.87,4.1,13.67,13.42,13.42,16.705556614946417,1.2195121951219514,30.12555661494642,1.6634039681803665,13.42,43.571115850317796,1.2195121951219514,56.9911158503178,1.3479586574304945,26.86555923537138,26.86555923537138,26.86555923537138,26.86555923537138,-0.31544531074987203,0.31544531074987203,0.5886474648982557,0.3695003307904374,0.9491652671318451,True,HIGH,HIGH_exp_log_rank_5
48,2.37,4.125,16.38,14.3675,14.3675,112.7264689844744,1.2121212121212122,127.0939689844744,1.4228254925840296,14.3675,60.6162539609002,1.2121212121212122,74.9837539609002,1.3461112497660856,-52.11021502357419,52.11021502357419,-52.1102150235742,52.1102150235742,-0.07671424281794392,0.07671424281794392,2.369112097063352,1.783622488408039,0.38211804499960955,True,HIGH,HIGH_exp_log_rank_5
