dataset,method,model_name,model_family,selection_mode,rank_in_saved_results,model_features,saved_r2_val_z,saved_r2_cv_mean_z,saved_r2_val_e,saved_rmse_val_e,saved_r2_test_z,saved_rmse_test_z,saved_r2_test_e,saved_rmse_test_e,saved_r2_test_tau_u,saved_rmse_test_tau_u,saved_selection_score,n_rows,rmse_z,r2_z,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,r2_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,constraint_ok_count,d_positive_count,b_positive_count,detailed_output_file
FULL,methodologie_1,FULL_poly_rank_4,polynomial,log,4,,,,,,,,,,,,,,,,,,,,3.5059785874755383,0.8749438592092524,0.6955078399924117,0.9849887491530712,0.3045329485707939,,,286,286,,,
FULL,methodologie_2,FULL_direct_poly_rank_4,polynomial,log_gap,4,u_r_mm + sigma_n_x_u_r + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,0.9729796809533666,0.9774590176242984,0.6576418522417528,5.728072391103745,0.8893925299415204,0.4946259591350025,0.980962263395744,0.8933051195422492,0.9977276800684654,0.2514309986904751,1.41067816543344,299.0,0.179945798609375,0.9856602544515708,27.47902703403605,0.8869758996064219,27.479027034036037,0.882356651299184,4.273053278806218,0.8068322866305868,0.0652176899718786,0.9998682829613053,0.0322245232757237,0.008244553309187,0.4042287427322675,299,299,299.0,299.0,/Users/hariderarako/Desktop/python/results/methodologie_2/evaluations/full/FULL_direct_poly_rank_4_b_d_from_e_predictions.csv
HIGH,methodologie_1,HIGH_poly_rank_3,polynomial,log,3,,,,,,,,,,,,,,,,,,,,0.9169305140355553,0.8732330917637864,1.4598157282527335,0.879582260205066,0.9387309882514816,,,67,67,,,
HIGH,methodologie_2,HIGH_direct_poly_rank_1,polynomial,log_gap,1,u_r_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,0.9656739163027904,0.9240085812957268,0.8684566329978177,0.6421847508455975,0.9153697789372996,0.3819397367496935,0.950789559120894,0.5960083242498219,0.9535925659122292,0.899318880251075,1.3851248519259638,67.0,0.18766378327548,0.9828416443414324,67.64319558095191,0.8186430702493508,67.64319558095187,0.8191365000217007,0.3624152850644681,0.980196312752826,0.099765762997794,0.9994375842800112,0.0729828731052266,0.0575524752894496,0.4331651072957346,67,67,67.0,67.0,/Users/hariderarako/Desktop/python/results/methodologie_2/evaluations/high/HIGH_direct_poly_rank_1_b_d_from_e_predictions.csv
LOW_1,methodologie_1,LOW_1_poly_rank_5,polynomial,log,5,,,,,,,,,,,,,,,,,,,,3.876541783359663,0.9038662503950674,0.1038035229037289,0.9714203769048018,0.0470359969961838,,,161,161,,,
LOW_1,methodologie_2,LOW_1_direct_poly_rank_3,polynomial,log_gap,3,delta_peak_mm + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r + sigma_n_div_tau_r,0.9845820643298874,0.9331841546617344,0.9795446704227988,0.791983950807739,0.9809551832686648,0.2059823235364774,0.8877248967416282,4.41283404481533,0.9990107577279408,0.0157026774270058,1.388465641871245,163.0,0.2096831720594612,0.9804871412226238,1.7476716039425195,0.9518690875856916,1.7476716039425195,0.94863972395202,6.054264159382187,0.7633110072724336,0.0121926979527869,0.9996031951852524,0.0054351412374267,0.0018134028781336,0.1032971147966109,163,163,163.0,163.0,/Users/hariderarako/Desktop/python/results/methodologie_2/evaluations/low/LOW_1_direct_poly_rank_3_b_d_from_e_predictions.csv
LOW_2,methodologie_1,LOW_2_poly_rank_1,polynomial,log,1,,,,,,,,,,,,,,,,,,,,0.5490930750421362,0.9836340124111638,0.3009472381985419,0.8930107785626604,0.1715660413538135,,,69,69,,,
LOW_2,methodologie_2,LOW_2_direct_poly_rank_1,polynomial,log_gap,1,u_p_x_tau_p + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + tau_p_div_u_p,0.9860065591860384,0.9642508416480614,0.99957842784806,0.0870081759707919,0.9839952653703166,0.1984843551229707,0.9949399500230024,0.3259751622936217,0.9954127000473058,0.0529750544509601,1.4153336937658867,69.0,0.0473168262748643,0.9986912833681554,2.1000122278238553,0.9922964187342348,2.1000122278238553,0.992218702103168,0.2044213079764799,0.9977316889425876,0.0105511003446502,0.9998684912016172,0.0083356228353583,0.0068615265429681,0.0298191218965018,69,69,69.0,69.0,/Users/hariderarako/Desktop/python/results/methodologie_2/evaluations/low/LOW_2_direct_poly_rank_1_b_d_from_e_predictions.csv
