dataset,model_name,model_family,selection_mode,rank_in_saved_results,model_features,saved_r2_val_z,saved_r2_cv_mean_z,saved_r2_val_e,saved_rmse_val_e,saved_r2_test_z,saved_rmse_test_z,saved_r2_test_e,saved_rmse_test_e,saved_r2_test_tau_u,saved_rmse_test_tau_u,saved_selection_score,n_rows,rmse_z,r2_z,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,r2_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,constraint_ok_count,d_positive_count,b_positive_count,detailed_output_file,method
FULL,FULL_poly_rank_4,polynomial,log,4,,,,,,,,,,,,,,,,,,,,3.5059785874755383,0.8749438592092524,0.6955078399924117,0.9849887491530712,0.3045329485707939,,,286,286,,,,methodologie_1
FULL,FULL_poly_rank_1,polynomial,log,1,,,,,,,,,,,,,,,,,,,,3.416844500198746,0.8817954356150665,0.7030230762508142,0.9844760538439672,0.3037821801609486,,,284,284,,,,methodologie_1
FULL,FULL_poly_rank_2,polynomial,log,2,,,,,,,,,,,,,,,,,,,,3.3932024635906775,0.881184912543421,0.7233941088444608,0.9838117357952412,0.3114158391299677,,,283,283,,,,methodologie_1
FULL,FULL_poly_rank_5,polynomial,log,5,,,,,,,,,,,,,,,,,,,,3.370407920886903,0.8843192375386899,0.74564128817747,0.982273857875422,0.3240588882048998,,,286,286,,,,methodologie_1
FULL,FULL_poly_rank_3,polynomial,log,3,,,,,,,,,,,,,,,,,,,,3.3569684097707864,0.8865023877825996,0.7546058601247415,0.9817455235127962,0.3253720383090414,,,283,283,,,,methodologie_1
FULL,FULL_exp_log_rank_4,exponential,log,4,,,,,,,,,,,,,,,,,,,,4.677591907931264,0.7801549048127798,1.0253591910627675,0.9690060741634874,0.449278773696186,,,265,265,,,,methodologie_1
FULL,FULL_exp_log_rank_5,exponential,log,5,,,,,,,,,,,,,,,,,,,,3.968452801525026,0.8432333984949155,1.0449836311425915,0.966671947307596,0.3896670560655091,,,277,277,,,,methodologie_1
FULL,FULL_exp_log_rank_3,exponential,log,3,,,,,,,,,,,,,,,,,,,,3.977798862826334,0.8409269418005164,1.0887476767830715,0.9639378867022096,0.4366857319046417,,,280,280,,,,methodologie_1
FULL,FULL_exp_d_rank_2,exponential,d,2,,,,,,,,,,,,,,,,,,,,4.1209728573301385,0.8366724652967881,1.731338991241873,0.9097451482126002,0.4668716420156619,,,264,264,,,,methodologie_1
FULL,FULL_exp_d_rank_1,exponential,d,1,,,,,,,,,,,,,,,,,,,,4.065687877978346,0.8409351836240115,1.867607082599594,0.8961132003950529,0.49614134557425,,,264,264,,,,methodologie_1
FULL,FULL_exp_log_rank_2,exponential,log,2,,,,,,,,,,,,,,,,,,,,4.057205503360409,0.839333021063463,3.1394238771430785,0.7039877751675916,0.5778599295861011,,,270,270,,,,methodologie_1
FULL,FULL_exp_log_rank_1,exponential,log,1,,,,,,,,,,,,,,,,,,,,4.80150522712477,0.7681335443701427,10.294747535155036,-2.1936657763097003,1.0262690727822463,,,272,272,,,,methodologie_1
FULL,FULL_direct_poly_rank_4,polynomial,log_gap,4,u_r_mm + sigma_n_x_u_r + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,0.9729796809533666,0.9774590176242984,0.6576418522417528,5.728072391103745,0.8893925299415204,0.4946259591350025,0.980962263395744,0.8933051195422492,0.9977276800684654,0.2514309986904751,1.41067816543344,299.0,0.179945798609375,0.9856602544515708,27.47902703403605,0.8869758996064219,27.479027034036037,0.882356651299184,4.273053278806218,0.8068322866305868,0.0652176899718786,0.9998682829613053,0.0322245232757237,0.008244553309187,0.4042287427322675,299,299,299.0,299.0,/Users/hariderarako/Desktop/python/results/methodologie_2/evaluations/full/FULL_direct_poly_rank_4_b_d_from_e_predictions.csv,methodologie_2
FULL,FULL_direct_poly_rank_3,polynomial,log_gap,3,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,0.9719376256804968,0.97925572784343,0.6332878085312488,5.928309080855839,0.9164259273606956,0.4299524808178719,0.9842841207622424,0.8116363843297136,0.998819679549619,0.1812107873614449,1.4107271212564692,299.0,0.1787895960661086,0.9858439362705896,28.156147582843214,0.8813371370726681,28.156147582843197,0.8764874348693298,4.327640347324965,0.8018654351633192,0.087046543883513,0.9997653534358866,0.0348434379357687,0.0085221431874863,1.0321408734875137,299,299,299.0,299.0,/Users/hariderarako/Desktop/python/results/methodologie_2/evaluations/full/FULL_direct_poly_rank_3_b_d_from_e_predictions.csv,methodologie_2
FULL,FULL_direct_poly_rank_2,polynomial,log_gap,2,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_r,0.9729355629602068,0.9776017293709468,0.6288563793957666,5.964020999345323,0.9565779974061768,0.3099128618722695,0.9874863304581204,0.724243334706141,0.9997300227936736,0.0866657761923904,1.4109566913659477,299.0,0.1644868940048409,0.988018239824388,27.62860181300535,0.8857421175470742,27.628601813005332,0.8810724450765889,3.969905456476542,0.8332682719287345,0.1022203423388205,0.9996764169259208,0.0273839802085423,0.0064452637901513,1.5737323124192035,299,299,299.0,299.0,/Users/hariderarako/Desktop/python/results/methodologie_2/evaluations/full/FULL_direct_poly_rank_2_b_d_from_e_predictions.csv,methodologie_2
