phi
30
30
30
30
30
30
32
32
32
32
32
32
32
32
30
30
30
30
30
30
30
30
30
30
30
30
31
33
33
33
33
33
33
33
33
33
33
33
33
33
33
33
33
33
33
35
35
35
35
35
35
35
35
35
35
35
35
35
35
35
35
34
34
34
34
34
34
35
35
35
35
35
35
35
35
35
35
35
35
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
30
29
29
29
29
29
29
29
29
29
29
29
29
29
29
29
29
29
29
29
29
29
29
29
29
31
31
31
31
31
31
31
31
31
31
31
31
31
31
31
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
31
31
31
35
35
35
35
35
35
35
35
35
35
35
35
35
35
35
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
34
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
35
35
35
35
35
35
35
35
35
35
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
37
37
37
36
36
36
36
36
36
36
36
36
36
36
36
36
36
34
34
34
34
34
34
34
34
37
37
37
37
37
37
37
37
37
37
36
36
36
36
32
32
32
32
32
32
32
32
35
35
35
35
39
39
39
39
39
33
33
33
33
33
33
48
48
48
48
48
30
30
30
30
30
30
30
30
30
30
30
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
32
39
39
