sample_id,tau_peak_MPa_csds,tau_r_MPa,delta_peak_mm,u_r_mm,CSDS_a,CSDS_b,CSDS_c,CSDS_d,CSDS_e,tau_peak_estimated,u_r_estimated,tau_r_estimated
69,5.04,4.426666666666667,1.69,2.566666666666667,4.426666666666667,57.31214296626477,1.9480519480519478,61.73880963293144,2.192982930534613,0,0,0
70,16.37,15.163333333333334,3.12,4.466666666666667,15.163333333333334,107.7171763281367,1.1194029850746268,122.88050966147003,1.3087929946035919,0,0,0
71,0.87,0.6,0.18,1.5666666666666669,0.6,-0.11324920981875658,3.191489361702127,0.4867507901812434,,0,0,0
72,5.1,3.8825,0.42,2.175,3.8825,-0.6164674848594216,2.298850574712644,3.2660325151405782,,0,0,0
73,15.19,13.3025,1.09,3.85,13.3025,-5.158906922034028,1.2987012987012987,8.143593077965972,,0,0,0
74,0.66,0.5066666666666667,0.47,1.5666666666666669,0.5066666666666667,0.8405650880456904,3.191489361702127,1.3472317547123571,7.814757213413309,0,0,0
75,4.24,4.0125,0.57,2.175,4.0125,-3.0688199714693467,2.298850574712644,0.9436800285306535,,0,0,0
76,14.9,13.285,4.13,4.7,13.285,1163.3297363017232,1.0638297872340425,1176.6147363017233,1.0954372331118094,0,0,0
77,0.88,0.4966666666666666,0.18,1.5666666666666669,0.4966666666666666,0.7333278349824293,3.191489361702127,1.2299945016490959,20.718024773313733,0,0,0
78,4.37,3.77,1.25,2.566666666666667,3.77,11.896592433402047,1.9480519480519478,15.666592433402046,2.8542956648697846,0,0,0
79,14.62,13.843333333333334,3.62,4.5,13.843333333333334,147.09148348759228,1.1111111111111112,160.93481682092562,1.2324285203533343,0,0,0
80,1.04,0.5006666666666667,0.11,1.5633333333333332,0.5006666666666667,0.8096634077573418,3.1982942430703627,1.3103300744240085,34.27637353305541,0,0,0
81,4.79,3.54875,0.23,2.1775,3.54875,-1.4033453054026896,2.296211251435132,2.1454046945973104,,0,0,0
82,14.13,12.93,0.39,3.9275,12.93,-10.815311553272268,1.273074474856779,2.114688446727731,,0,0,0
83,0.75,0.4896666666666667,0.21,1.5566666666666666,0.4896666666666667,0.517433004910204,3.2119914346895078,1.0070996715768707,27.318099736789943,0,0,0
84,4.53,3.98,1.52,2.19,3.98,72.43595406977373,2.2831050228310503,76.41595406977373,2.5023952002468817,0,0,0
