JRC
ig. 5.1; T
16
16
16
16
16
16
b=32°
15.0
12.2
10.8
8.8
ig. 6.2; φ
12.5
11.5
11.0
9.0
85); Fig.
8.3
8.3
6.7
6.7
85); Fig.
8.0
8.0
8.0
8.0
85); Fig.
10
8.0
6.3
5.1
n (2001)
9.7
a) and Ja
12.0
7.4
6.5
7.7
6.6
6.1
12.5
7.3
3.8
10.8
a) and Ja
8.7
5.7
10.7
8.4
6.4
6.3
3.1
1.4
b) and Ja
9.1
6.7
4.6
5.3
2.1
10.6
3.1
7.8
5.3
4.3
9.9
7.8
4.4
b) and Ja
10.9
7.3
5.6
b) and Ja
11.8
6.5
3.9
13.4
6.4
2.4
a) and Ja
8.4
6.0
3.9
9.3
6.2
2.0
6.6
3.1
1.5
9.4
3.6
1.1
a) and Ja
13.4
8.8
5.4
10.2
7.8
7.5
5.2
4.8
5.5
8.6
5.9
5.9
11.4
8.5
9.5
a) and J
13.4
12.1
10.6
a) and J
15.5
11.2
9.5
14.7
11.5
8.7
7.8
2.9
0.9
12.2
10.6
8.1
14.2
12.8
11.8
9.5
7.4
5.2
13.8
9.0
6.2
13.0
10.2
7.7
a) and J
15.8
12.0
6.7
11.0
8.8
8.9
15.4
a) and J
12.8
10.3
9.1
7.6
and J
4.8
10.8
8.1
7.0
and J
6.6
7.1
7.3
10.0
4.1
3.2
6.1
5.5
2.7
7.9
4.9
4.2
11.4
8.4
4.9
7.2
4.0
1.7
6.1
3.4
1.9
and J
12.7
9.3
4.9
and J
9.4
9.7
5.1
9.4
9.0
5.1
8.8
4.8
4.6
8.3
5.2
3.2
8.9
6.8
5.8
KLX02
5.8
2.3
0.9
10.3
9.0
8.2
7.4
4.1
3.6
12.2
7.7
5.3
7.1
6.4
7.8
12.7
7.4
4.8
10.5
9.8
7.7
"; KLX02"
11.4
8.7
7.3
4.6
2.0
0.8
001); Sc
11.0
11.0
11.0
11.0
11.0
1); Fig.
6.5
7.5
10.6
16.6
6.5
7.5
10.6
16.6
6.5
7.5
10.6
16.6
1); Figs
17.5
14.2
12.6
10.2
1); Figs
17.5
14.2
12.6
10.2
1); Figs.
18.5
15.0
12.2
9.9
2); Figs.
8.7
8.7
8.7
8.7
8.7
15.8
15.8
15.8
15.8
15.8
nd Wib
14.6
14.6
14.6
14.6
nd Wib
9.9
9.9
9.9
9.9
nd Wib
9.8
9.8
9.8
9.8
nd Wib
15.5
15.5
15.5
15.5
15.5
27.2
16.3
15.0
12.9
7.4
6.7
8.6
1.8
9.4
13.0
20.5
19.7
24.1
25.7
24.4
20.2
23.9
18.1
17.9
16.6
14.2
15.9
15.6
16.2
3.3
11.7
16.6
13.5
9.2
9.0
14.8
15.0
14.3
13.7
16.3
11.0
13.0
13.0
11.0
course
18.5
15.0
12.2
9.9
limesto
17.5
14.2
12.6
10.2
0.0
0.0
0.0
0.0
"; Welded"
0.0
0.0
0.0
0.0
0.0
lded-t
0.0
0.0
0.0
0.0
0.0
0.0
20.0
20.0
20.0
20.0
20.0
replic
0.0
0.0
0.0
2.0
3.0
2.0
3.0
2.0
3.0
2.0
3.0
siltsto
17.5
14.2
12.6
10.2
17.5
14.2
12.6
10.2
limes
17.5
14.2
12.6
10.2
slight
17.5
14.2
12.6
10.2
17.5
14.2
12.6
10.2
17.5
14.2
12.6
10.2
17.0
20.9
