Feature,Frequency
u_p_div_u_r,5
tau_r_div_tau_p,5
tau_peak_MPa_csds,3
u_r_div_u_p,3
tau_p_x_tau_r,2
tau_p_div_tau_r,1
tau_peak_estimated,1
