Feature,Frequency
u_p_div_u_r,8
delta_peak_mm,8
tau_r_div_tau_p,8
tau_p_div_u_r,6
tau_p_div_u_p,5
tau_r_MPa,4
u_p_div_tau_p,4
u_r_div_tau_r,3
u_p_x_tau_r,1
u_r_div_tau_p,1
