Model_ID,Features,Degree,R2_train,RMSE_train,R2_val,RMSE_val,Equation
121,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_p_x_tau_r,2,0.3309683694908563,73.14283665811668,0.6227136387661674,23.176527612889185,d_csds = -15.530425 + 3.591601*u_r_mm - 9.527478*delta_peak_mm + 17.735710*tau_peak_MPa_csds - 3.691570*tau_p_x_tau_r - 0.119199*u_r_mm^2 + 0.330291*u_r_mm delta_peak_mm - 1.774814*u_r_mm tau_peak_MPa_csds + 0.084940*u_r_mm tau_p_x_tau_r - 1.545925*delta_peak_mm^2 + 14.653684*delta_peak_mm tau_peak_MPa_csds - 0.683900*delta_peak_mm tau_p_x_tau_r - 1.400328*tau_peak_MPa_csds^2 + 0.390775*tau_peak_MPa_csds tau_p_x_tau_r - 0.009600*tau_p_x_tau_r^2
39,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + u_p_x_tau_r,1,0.20441507392718938,79.76121241797209,0.6160943058759936,23.37895488501724,d_csds = -1.604297 - 2.199697*u_r_mm + 10.349233*delta_peak_mm + 2.595568*tau_peak_MPa_csds + 1.255545*u_p_x_tau_r
79,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa + tau_r_div_u_p,1,0.21367138511897388,79.295860069581,0.604279374823421,23.735979560055842,d_csds = 9.178512 - 3.400301*u_r_mm + 13.266623*delta_peak_mm + 5.216195*tau_peak_MPa_csds + 0.645046*tau_r_MPa - 2.957497*tau_r_div_u_p
28,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa + u_r_x_u_p,1,0.2209976649545815,78.92559300578613,0.602337431820852,23.79414876450234,d_csds = -21.605131 - 0.116906*u_r_mm + 36.740410*delta_peak_mm + 4.972561*tau_peak_MPa_csds - 2.497506*tau_r_MPa - 1.701262*u_r_x_u_p
78,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_div_u_p,1,0.21335416744316038,79.31185307274853,0.5956216015579423,23.994228479415472,d_csds = 8.985658 - 3.499005*u_r_mm + 14.027058*delta_peak_mm + 5.518682*tau_peak_MPa_csds - 2.780627*tau_r_div_u_p
153,u_r_mm + delta_peak_mm + tau_r_div_u_r,2,0.22566322845929898,78.6888893677434,0.5906440783419185,24.141450179035857,d_csds = -16.781345 + 1.072628*u_r_mm + 15.072428*delta_peak_mm + 24.348116*tau_r_div_u_r - 0.016281*u_r_mm^2 - 0.294444*u_r_mm delta_peak_mm - 1.528204*u_r_mm tau_r_div_u_r - 1.170583*delta_peak_mm^2 + 13.804689*delta_peak_mm tau_r_div_u_r - 7.045531*tau_r_div_u_r^2
72,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_p_div_u_p,1,0.2099857374980677,79.48147898857647,0.5860290320686243,24.277153174440816,d_csds = 9.613807 - 3.319698*u_r_mm + 12.839003*delta_peak_mm + 5.736084*tau_peak_MPa_csds - 2.348348*tau_p_div_u_p
27,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + u_r_x_u_p,1,0.21486962277650246,79.23542000138882,0.5855464682954362,24.291298927917982,d_csds = -23.303312 + 0.196407*u_r_mm + 34.066819*delta_peak_mm + 3.429659*tau_peak_MPa_csds - 1.609816*u_r_x_u_p
108,u_r_mm + delta_peak_mm + u_r_x_tau_p,2,0.24292286104087735,77.80697661130102,0.5840911645588898,24.3339095427041,d_csds = -1.513602 - 7.545295*u_r_mm + 41.417381*delta_peak_mm + 0.544719*u_r_x_tau_p + 0.530295*u_r_mm^2 - 2.923251*u_r_mm delta_peak_mm - 0.051924*u_r_mm u_r_x_tau_p - 0.116551*delta_peak_mm^2 + 0.200936*delta_peak_mm u_r_x_tau_p + 0.000073*u_r_x_tau_p^2
88,u_p_x_tau_r,2,0.18919440599377524,80.52057028180377,0.5813085935348379,24.415174895835257,d_csds = -0.979891 + 4.551808*u_p_x_tau_r - 0.037842*u_p_x_tau_r^2
73,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa + tau_p_div_u_p,1,0.21099107758184055,79.43089043721531,0.5805363573206258,24.437680249681083,d_csds = 10.079904 - 3.510880*u_r_mm + 13.836461*delta_peak_mm + 6.298806*tau_peak_MPa_csds - 1.024953*tau_r_MPa - 2.244133*tau_p_div_u_p
150,u_r_mm + delta_peak_mm + tau_p_div_u_p,2,0.23843930238339506,78.03703056273541,0.5605603177695775,25.012808149563902,d_csds = -8.141720 - 6.316610*u_r_mm + 42.641753*delta_peak_mm - 0.417539*tau_p_div_u_p + 0.504342*u_r_mm^2 - 3.419776*u_r_mm delta_peak_mm - 0.117019*u_r_mm tau_p_div_u_p + 0.979100*delta_peak_mm^2 + 4.187521*delta_peak_mm tau_p_div_u_p - 0.006618*tau_p_div_u_p^2
157,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_div_u_p,2,0.3125301969241778,74.14387624719691,0.5601683851305093,25.02396002250627,d_csds = 8.019981 - 6.980804*u_r_mm + 17.381263*delta_peak_mm + 22.641193*tau_peak_MPa_csds - 4.506140*tau_r_div_u_p + 0.211966*u_r_mm^2 + 0.868091*u_r_mm delta_peak_mm - 1.583443*u_r_mm tau_peak_MPa_csds + 2.222299*u_r_mm tau_r_div_u_p - 3.306144*delta_peak_mm^2 + 5.052337*delta_peak_mm tau_peak_MPa_csds - 24.550276*delta_peak_mm tau_r_div_u_p - 0.096756*tau_peak_MPa_csds^2 - 0.041303*tau_peak_MPa_csds tau_r_div_u_p - 0.006413*tau_r_div_u_p^2
114,u_r_mm + delta_peak_mm + u_p_x_tau_p,2,0.2646736802585816,76.68113446269314,0.5506628161271607,25.29292147045478,d_csds = 2.495247 - 5.832088*u_r_mm + 22.463638*delta_peak_mm + 3.129496*u_p_x_tau_p + 0.390693*u_r_mm^2 - 1.674850*u_r_mm delta_peak_mm - 0.109929*u_r_mm u_p_x_tau_p + 0.521833*delta_peak_mm^2 - 0.287611*delta_peak_mm u_p_x_tau_p + 0.010074*u_p_x_tau_p^2
45,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + u_p_div_u_r,1,0.21959380288878783,78.99667801204778,0.5263761734414608,25.96746692942397,d_csds = -35.755222 + 0.890655*u_r_mm - 1.542101*delta_peak_mm + 3.464533*tau_peak_MPa_csds + 140.225848*u_p_div_u_r
46,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa + u_p_div_u_r,1,0.2277500458243421,78.58278558247245,0.49809756061003996,26.731447068536113,d_csds = -35.329462 + 0.665249*u_r_mm - 1.264939*delta_peak_mm + 5.250888*tau_peak_MPa_csds - 2.904608*tau_r_MPa + 152.817084*u_p_div_u_r
