Feature,Frequency
tau_r_div_tau_p,12
tau_peak_MPa_csds,12
u_p_div_u_r,12
u_r_div_tau_r,8
u_p_div_tau_r,3
sigma_n_div_tau_r,3
tau_p_div_u_r,3
delta_peak_mm,2
tau_r_div_sigma_n,2
tau_p_div_tau_r,1
u_r_x_tau_r,1
tau_r_div_u_p,1
tau_r_div_u_r,1
u_r_div_tau_p,1
