Features,Feature_List,Branch_Signature,N_Features,R2_train_log,RMSE_train_log,R2_val_log,RMSE_val_log,R2_test_log,RMSE_test_log,R2_cv_mean_log,R2_cv_std_log,R2_train_d,RMSE_train_d,R2_val_d,RMSE_val_d,R2_test_d,RMSE_test_d,Selection_Mode,Selection_Score
u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r + u_r_x_tau_r + u_p_x_tau_r + tau_p_div_tau_r,"['u_p_div_u_r', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'u_r_x_tau_r', 'u_p_x_tau_r', 'tau_p_div_tau_r']",product | ratio,6,0.7797586901147866,0.47625064072140105,0.6350108391563924,0.538013610254075,0.6347584791402652,0.5837334666484669,0.6012943068652575,0.22409509099821837,0.2709122856366819,160.42985638139405,0.7833195453510657,53.862540512355096,0.5002171278218023,41.00007602747936,d,1.0015571896838726
u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r + u_r_div_u_p + tau_p_div_tau_r,"['u_r_x_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'u_r_div_u_p', 'tau_p_div_tau_r']",product | ratio,6,0.7739938469841874,0.4824433381168345,0.6189438924364447,0.5497278532071658,0.5683693023423917,0.6345716765028775,0.5932445380771271,0.23886321099332838,0.26386330015651427,161.20352700336093,0.7830909386450274,53.890946609086754,0.50594560651246,40.764428739017475,d,0.995826886584258
u_p_div_u_r + tau_r_div_u_p + u_r_x_tau_r + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_tau_r,"['u_p_div_u_r', 'tau_r_div_u_p', 'u_r_x_tau_r', 'tau_r_div_tau_p', 'u_r_div_tau_r', 'tau_p_div_tau_r']",product | ratio,6,0.7744493205075428,0.4819569553631019,0.6067057837320385,0.5584857012600623,0.6054708396804901,0.6066861434108967,0.5751567775310217,0.21753179934736191,0.2685043412178212,160.694562351446,0.7644954570293927,56.15347137836186,0.5002728340076669,40.9977910136971,d,0.9703206658601672
