Feature,Frequency
tau_r_div_u_r,6
u_r_div_u_p,6
u_p_x_tau_p,6
u_r_x_tau_p,5
tau_r_MPa,5
tau_p_div_u_r,4
delta_peak_mm,3
tau_r_div_u_p,3
u_p_x_tau_r,2
tau_p_x_tau_r,2
tau_peak_MPa_csds,2
u_r_div_tau_r,2
tau_r_div_sigma_n,1
tau_p_div_sigma_n,1
u_p_div_tau_p,1
u_r_x_tau_r,1
u_p_div_u_r,1
tau_p_div_u_p,1
