dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,methodologie,constraint_ok_count,d_positive_count,b_positive_count,model_family,n_input_features,n_parameters_for_aicc,features,cv_std,negative_r2_tau_u,aicc_tau_u,rank_rmse_tau_u,rank_neg_r2_tau_u,rank_aicc_tau_u,rank_cv_std,score_balanced,rank_balanced,score_performance_only,rank_performance_only,score_stability_reinforced,rank_stability_reinforced
FULL,FULL_exp_d_rank_1,276,77.94417476699417,0.1581917780082485,77.94417476699415,0.1233159999505227,4.164931177786309,0.8276667681057504,2.3853256413375683,0.5772528781242602,0.0928216410288508,35.14496475510309,276,0.82084710193753,methodologie_1,,,,exponential,6,7,u_r_x_u_p + u_p_x_tau_p + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,0.0562211786067345,-0.82084710193753,48001.33206436321,11.0,11.0,11.0,13.0,11.5,11.0,11.0,11.0,11.8,12.0
FULL,FULL_exp_d_rank_3,275,79.91276276234288,0.1181860858526173,79.91276276234287,0.081719574322119,4.133279788181994,0.8310047314103699,3.1133213425309965,0.614438926032674,0.086301252854945,48.40013917524021,275,0.695635481789797,methodologie_1,,,,exponential,6,7,tau_r_MPa + u_r_x_u_p + u_p_x_tau_p + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,0.0522851505277604,-0.695635481789797,62476.96024105056,12.0,12.0,12.0,11.0,11.75,12.0,11.999999999999998,12.0,11.600000000000001,11.0
FULL,FULL_exp_log_rank_3,265,92.42843133214156,-0.1386395187323716,92.42843133214156,-0.1858449365859351,4.60905873651948,0.7960100177744391,7.273436761001245,0.8552653035958295,0.1175772062734764,117.4735263585104,265,-0.5733950954114297,methodologie_1,,,,exponential,6,7,u_r_mm + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_r + tau_p_div_sigma_n,0.0397877096821192,0.5733950954114297,105178.13655070838,15.0,15.0,15.0,6.0,12.75,13.0,15.0,15.0,11.4,10.0
FULL,FULL_exp_d_rank_5,273,81.45758760891333,0.0904073834820761,81.4575876089133,0.052745683869617,4.089895129080281,0.8352972682742352,3.4649220064953794,0.6310139616630688,0.0806408774118468,54.44939841264252,273,0.6265834783550567,methodologie_1,,,,exponential,6,7,tau_r_MPa + u_r_x_u_p + u_p_x_tau_p + u_r_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,0.0524989566030899,-0.6265834783550567,67864.8848436231,13.0,13.0,13.0,12.0,12.750000000000002,14.0,13.0,13.0,12.600000000000001,14.0
FULL,FULL_exp_d_rank_2,272,85.28783459162685,0.0063005321251357,85.28783459162682,-0.0349782965165434,4.0529990931403885,0.8384131685389075,4.472027917936239,0.7053729534574018,0.0971081502564223,71.76592692951019,272,0.3807507448854339,methodologie_1,,,,exponential,6,7,u_r_x_u_p + u_p_x_tau_p + tau_r_div_tau_p + u_r_div_tau_p + tau_p_div_u_r + tau_r_div_u_p,0.0582235204153481,-0.3807507448854339,81496.60775814847,14.0,14.0,14.0,14.0,14.0,15.0,14.0,14.0,14.0,15.0
HIGH,HIGH_poly_rank_2,67,78.75332449214186,0.7541763206177616,78.75332449214181,0.7548451493320687,0.9169305140355688,0.8732330917637827,1.4598157282527324,0.9387309882514828,0.4834611420176504,5.232676748940585,67,0.8795822602050662,methodologie_1,,,,polynomial,4,15,u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,0.351729894183837,-0.8795822602050662,5099.428683955694,1.0,1.0,1.0,12.0,3.75,1.0,1.0,1.0,5.4,2.0
HIGH,HIGH_exp_log_rank_5,61,143.0226027685999,0.2501768342897714,143.02260276859988,0.2530958777164899,0.7587811055346206,0.8828795352820185,1.814007217180773,1.1891279356051818,0.596349010882384,6.606078776015498,61,0.8144211841014672,methodologie_1,,,,exponential,5,6,delta_peak_mm + u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,0.1831347745852724,-0.8144211841014672,7277.58141579204,4.0,4.0,4.0,3.0,3.75,1.0,4.0,4.0,3.6000000000000005,1.0
HIGH,HIGH_poly_rank_1,65,81.51455109152647,0.7435437460759731,81.51455109152643,0.7440921719903328,1.0779288075783813,0.8141566819226134,1.550485845845949,1.077986666467684,0.6278439937069829,5.232577004497404,65,0.8634220071143055,methodologie_1,,,,polynomial,3,10,u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p,0.3746655894120665,-0.8634220071143055,5721.422203268284,2.0,2.0,2.0,13.0,4.75,3.0,2.0,2.0,6.4,4.0
HIGH,HIGH_poly_rank_3,65,81.02501298205945,0.7466148082494968,81.02501298205941,0.7471566667666696,0.5822998892263226,0.9457674271056458,1.5570334403255528,1.0647319745191672,0.6149932501846003,5.232537467621636,65,0.8622660526655223,methodologie_1,,,,polynomial,4,15,u_p_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p,0.4040128913623284,-0.8622660526655223,5786.244838768298,3.0,3.0,3.0,14.0,5.75,4.0,2.9999999999999996,3.0,7.4,7.0
HIGH,HIGH_exp_log_rank_1,61,140.95463438581262,0.271703507773163,140.9546343858126,0.2745387483812912,0.7690372378404358,0.8796919992284178,1.889850114066194,1.2130484827913983,0.5995849039095071,6.739176337417781,61,0.7985788363994681,methodologie_1,,,,exponential,5,6,u_r_x_tau_r + u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,0.1909641809885914,-0.7985788363994681,7777.28354495074,6.0,6.0,6.0,5.0,5.75,4.0,5.999999999999999,6.0,5.6000000000000005,3.0
HIGH,HIGH_exp_d_rank_2,60,142.15688096342643,0.2700223223698234,142.1568809634264,0.2725603252886185,0.692500574567,0.8717872842549741,1.8591219656741416,1.2096314870797285,0.630415298542675,6.8324402368914345,60,0.806882657259604,methodologie_1,,,,exponential,6,7,u_r_x_tau_r + u_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_p,0.2036784882407799,-0.806882657259604,7455.270469230828,5.0,5.0,5.0,10.0,6.25,6.0,5.0,5.0,7.0,5.0
HIGH,HIGH_exp_d_rank_3,61,140.73725467858955,0.2739481278396682,140.73725467858952,0.2767746301962323,0.7275583933124434,0.8923198922458079,1.9106608392630888,1.2176359273875617,0.5994859519684151,6.797397284088745,61,0.7941183770977274,methodologie_1,,,,exponential,6,7,u_r_x_tau_r + u_p_x_tau_r + u_p_div_u_r + u_r_div_u_p + tau_r_div_tau_p + u_r_div_tau_r,0.1931971526597053,-0.7941183770977274,7912.898275372033,7.0,7.0,8.0,7.0,7.1,7.0,7.0,7.0,7.050000000000001,6.0
HIGH,HIGH_exp_log_rank_2,60,145.01604646035926,0.2407389104146997,145.01604646035923,0.2430126209043986,0.716455090359244,0.8626995944562621,1.9275084288781863,1.2453946162415357,0.6294294409831359,6.83721452286625,60,0.7876075464171253,methodologie_1,,,,exponential,5,6,u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r + tau_p_div_u_p,0.1970053718097175,-0.7876075464171253,7886.752409208064,8.0,8.0,7.0,9.0,8.15,8.0,8.0,8.0,8.35,9.0
HIGH,HIGH_exp_log_rank_4,63,141.79806151363067,0.2430683268606872,141.7980615136306,0.2456081256499144,1.5602926166577844,0.647655573557465,1.9613527235931,1.2202346018358805,0.5933408837770977,8.109820558011585,63,0.7730043698507353,methodologie_1,,,,exponential,5,6,u_r_mm + u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,0.1929150444782526,-0.7730043698507353,8499.806791775027,10.0,10.0,9.0,6.0,8.9,9.0,10.0,10.0,8.350000000000001,10.0
