Dataset,Rank_in_saved_results,Polynomial_Term,Coefficient_in_scaled_space
FULL,5,u_r_mm u_p_div_tau_r,-0.5722619484977473
FULL,5,u_r_mm tau_p_div_u_p,0.16409961367035444
FULL,5,tau_r_div_u_r^2,-0.31711463681320856
FULL,5,tau_r_div_u_r u_p_div_u_r,-0.004124054260051102
FULL,5,tau_r_div_u_r u_p_div_tau_r,0.5355375192304248
FULL,5,tau_r_div_u_r tau_p_div_u_p,-0.04578070401475243
FULL,5,u_p_div_u_r^2,0.027983866180060105
FULL,5,u_p_div_u_r u_p_div_tau_r,-0.021707424628464426
FULL,5,u_p_div_u_r tau_p_div_u_p,-0.4202452664386314
FULL,5,u_p_div_tau_r^2,0.5743721734404807
FULL,5,u_p_div_tau_r tau_p_div_u_p,0.6812842447433722
FULL,5,tau_p_div_u_p^2,-0.19068809045334684
