dataset,model_name,model_family,selection_mode,rank_in_saved_results,model_features,saved_r2_val_z,saved_r2_cv_mean_z,saved_r2_val_e,saved_rmse_val_e,saved_r2_test_z,saved_rmse_test_z,saved_r2_test_e,saved_rmse_test_e,saved_r2_test_tau_u,saved_rmse_test_tau_u,saved_selection_score,n_rows,rmse_z,r2_z,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,r2_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,constraint_ok_count,d_positive_count,b_positive_count,detailed_output_file
FULL,FULL_direct_poly_rank_4,polynomial,log_gap,4,u_r_mm + sigma_n_x_u_r + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,0.9729796809533666,0.9774590176242984,0.6576418522417528,5.728072391103745,0.8893925299415204,0.4946259591350025,0.980962263395744,0.8933051195422492,0.9977276800684654,0.2514309986904751,1.41067816543344,299,0.17994579860937507,0.9856602544515707,27.47902703403605,0.8869758996064219,27.479027034036037,0.882356651299184,4.273053278806218,0.8068322866305868,0.06521768997187863,0.9998682829613051,0.03222452327572378,0.008244553309187046,0.40422874273226755,299,299,299,299,/Users/hariderarako/Desktop/python/results/methodologie_2/evaluations/full/FULL_direct_poly_rank_4_b_d_from_e_predictions.csv
FULL,FULL_direct_poly_rank_3,polynomial,log_gap,3,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_r_div_tau_r,0.9719376256804968,0.97925572784343,0.6332878085312488,5.928309080855839,0.9164259273606956,0.4299524808178719,0.9842841207622424,0.8116363843297136,0.998819679549619,0.1812107873614449,1.4107271212564692,299,0.17878959606610867,0.9858439362705896,28.156147582843218,0.8813371370726681,28.156147582843197,0.8764874348693298,4.327640347324965,0.8018654351633192,0.08704654388351302,0.9997653534358866,0.03484343793576876,0.008522143187486397,1.0321408734875137,299,299,299,299,/Users/hariderarako/Desktop/python/results/methodologie_2/evaluations/full/FULL_direct_poly_rank_3_b_d_from_e_predictions.csv
FULL,FULL_direct_poly_rank_2,polynomial,log_gap,2,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_r,0.9729355629602068,0.9776017293709468,0.6288563793957666,5.964020999345323,0.9565779974061768,0.3099128618722695,0.9874863304581204,0.724243334706141,0.9997300227936736,0.0866657761923904,1.4109566913659477,299,0.1644868940048409,0.9880182398243879,27.62860181300535,0.8857421175470742,27.628601813005332,0.8810724450765889,3.969905456476542,0.8332682719287345,0.10222034233882059,0.9996764169259208,0.027383980208542345,0.006445263790151354,1.5737323124192035,299,299,299,299,/Users/hariderarako/Desktop/python/results/methodologie_2/evaluations/full/FULL_direct_poly_rank_2_b_d_from_e_predictions.csv
FULL,FULL_direct_poly_rank_1,polynomial,log_gap,1,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p,0.9710146073645362,0.9788231307844368,0.6161077452845486,6.065587036539846,0.9126589952612416,0.439535308017805,0.982151607862114,0.8649514190709137,0.9986970471690304,0.1903918826772297,1.4195323490644818,299,0.18286617976274586,0.9851910315758643,27.55890637330344,0.8863178404466437,27.558906373303422,0.8816716975333061,4.353413910799863,0.799498399167307,0.10438848008147275,0.9996625446772126,0.03697196403453166,0.007548124537895209,1.4069317175388023,299,299,299,299,/Users/hariderarako/Desktop/python/results/methodologie_2/evaluations/full/FULL_direct_poly_rank_1_b_d_from_e_predictions.csv
FULL,FULL_direct_poly_rank_5,polynomial,log_gap,5,u_r_mm + u_r_x_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,0.9726619288076144,0.97700105874653,0.629669992991691,5.957480309220316,0.9584558012473322,0.3031376431391905,0.9836929871334672,0.8267598407712918,0.9997111618271196,0.0896419666669012,1.4103035273213556,299,0.1715301126650584,0.9869701694309767,26.094823909695943,0.8980758502199293,26.09482390969593,0.8939102523102909,4.1110501960014165,0.8212016600724955,0.12829387093359065,0.999490290236665,0.03253190555105149,0.006811768435413847,2.01508215024472,299,299,299,299,/Users/hariderarako/Desktop/python/results/methodologie_2/evaluations/full/FULL_direct_poly_rank_5_b_d_from_e_predictions.csv
FULL,FULL_direct_exp_rank_4,exponential,log_gap,4,tau_peak_MPa_csds + u_r_mm + u_p_x_tau_r + u_p_div_u_r + u_p_div_tau_r + sigma_n_div_tau_r,0.8454561988088424,0.8561475062438715,0.3284090653265528,8.022700443073386,0.8272632412253427,0.6181260677905266,0.869547497185884,2.3383976929473356,0.9987818200963072,0.1840940689300084,1.2108029703531016,299,0.5525263927768292,0.8648039264521205,48.30513989640356,0.6507350179002811,48.305139896403546,0.6364607023187054,6.573171222128683,0.5429035867003135,0.2694719002124162,0.997751265908023,0.1049662132375869,0.030278035075828148,2.8564374032195845,299,299,299,299,/Users/hariderarako/Desktop/python/results/methodologie_2/evaluations/full/FULL_direct_exp_rank_4_b_d_from_e_predictions.csv
FULL,FULL_direct_exp_rank_2,exponential,log_gap,2,u_r_mm + u_p_x_tau_p + u_p_div_u_r + tau_p_div_tau_r + sigma_n_div_tau_p + sigma_n_div_tau_r,0.8563577142469309,0.8555466682105625,0.3309972679318798,8.00722642653229,0.8886155629586092,0.4963601797164381,0.7510456736807518,3.2303680403376753,0.9985781038607496,0.1988923224327698,1.221602047126565,299,0.5247872460200754,0.8780379919293136,46.50245604586287,0.6763168155051582,46.50245604586285,0.6630880174271145,7.073416182873571,0.4706823856227318,0.27649049088296596,0.9976326005985261,0.1091230057662029,0.02977966429326655,2.946682839718945,299,299,299,299,/Users/hariderarako/Desktop/python/results/methodologie_2/evaluations/full/FULL_direct_exp_rank_2_b_d_from_e_predictions.csv
FULL,FULL_direct_exp_rank_1,exponential,log_gap,1,u_r_mm + u_p_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + sigma_n_div_tau_p + sigma_n_div_tau_r,0.8675832618992928,0.848491425108822,0.36511059884404,7.800405905097776,0.8855812349899308,0.5030756580760536,0.7611179688596686,3.164345584221929,0.9987323964279944,0.1877914471212077,1.2294829685606092,299,0.5265929495378391,0.8771972469955662,47.93341726481086,0.6560897341556985,47.93341726481084,0.6420342636161311,7.072847289357855,0.4707675250352834,0.363800226914219,0.995901385561974,0.11288772726699223,0.02636267701775574,5.197426618228049,299,299,299,299,/Users/hariderarako/Desktop/python/results/methodologie_2/evaluations/full/FULL_direct_exp_rank_1_b_d_from_e_predictions.csv
FULL,FULL_direct_exp_rank_5,exponential,log_gap,5,u_r_mm + u_p_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + u_p_div_tau_r + sigma_n_div_tau_r,0.8398287337425788,0.8578866950538284,0.2829738209090213,8.28963999060366,0.8569600268866008,0.5624881608826389,0.7872968002266854,2.985926943170783,0.9986109555826786,0.1965812752816362,1.207088599960208,299,0.5371654631602428,0.872216674294491,46.49460279429056,0.6764261323478544,46.494602794290536,0.6632018020040269,7.011769285044134,0.4798684972842828,0.36666145876057527,0.9958366621168873,0.11463961255495625,0.030835659747894217,5.284061592448748,299,299,299,299,/Users/hariderarako/Desktop/python/results/methodologie_2/evaluations/full/FULL_direct_exp_rank_5_b_d_from_e_predictions.csv
FULL,FULL_direct_exp_rank_3,exponential,log_gap,3,u_r_mm + u_p_x_tau_r + tau_p_x_tau_r + u_p_div_u_r + tau_p_div_tau_r + sigma_n_div_tau_r,0.8533291318461209,0.84475641201924,0.3030754461963264,8.172615118986135,0.8671746949503126,0.542032200010805,0.8118462333480277,2.8083331369552975,0.9989613194019308,0.1699906721578275,1.212621813323182,299,0.5376927300841434,0.8719656939434668,57.65628880728183,0.5024213639563442,57.65628880728181,0.48208553058754333,6.839645397850207,0.5050912916926869,0.44363592311170424,0.99390512861407,0.11151110771591094,0.02876649866661744,7.034398621931595,299,299,299,299,/Users/hariderarako/Desktop/python/results/methodologie_2/evaluations/full/FULL_direct_exp_rank_3_b_d_from_e_predictions.csv
