sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,e_constraint_respected,d_positive,b_positive,dataset,model_name
16,1.61,10.5,13.41,12.8475,12.8475,1.3946189571869354,0.4761904761904761,14.242118957186936,3.178145408783804,12.8475,1.317068896310703,0.4761904761904761,14.164568896310705,3.5151769269225066,-0.07755006087623251,0.07755006087623251,-0.07755006087623073,0.07755006087623073,0.3370315181387027,0.3370315181387027,0.096185580001648,0.0307398239317748,0.9965174482059782,True,True,True,True,HIGH,HIGH_direct_exp_rank_2
18,3.07,10.5,12.57,12.4375,12.4375,0.7124450836759753,0.4761904761904761,13.149945083675975,1.9539451798171723,12.4375,0.6511409748400343,0.4761904761904761,13.088640974840034,2.1385919305213186,-0.06130410883594095,0.06130410883594095,-0.06130410883594095,0.06130410883594095,0.18464675070414627,0.18464675070414627,0.1043723258875165,0.0392872568356779,0.9968217208336112,True,True,True,True,HIGH,HIGH_direct_exp_rank_2
21,1.67,12.0,7.53,5.32,5.32,5.617172562155661,0.4166666666666667,10.93717256215566,1.7473164085592403,5.32,5.9646272983691215,0.4166666666666667,11.284627298369122,1.6121069964677206,0.3474547362134608,0.3474547362134608,0.34745473621346257,0.34745473621346257,-0.1352094120915197,0.1352094120915197,0.0511431243549314,0.0305298365858025,0.9973182619149996,True,True,True,True,HIGH,HIGH_direct_exp_rank_2
22,1.67,12.0,19.67,18.994999999999997,18.994999999999997,1.5273740416856256,0.4166666666666667,20.522374041685623,3.2739688179792332,18.994999999999997,1.4057855988593353,0.4166666666666667,20.400785598859333,3.9909898982758745,-0.12158844282629033,0.12158844282629033,-0.12158844282629033,0.12158844282629033,0.7170210802966412,0.7170210802966412,0.2555074802910648,0.0718076100278841,0.9877990606612708,True,True,True,True,HIGH,HIGH_direct_exp_rank_2
23,0.84,16.0,8.44,7.47,7.47,1.3255582927799532,0.3125,8.795558292779953,6.166176834932969,7.47,1.63713280494322,0.3125,9.10713280494322,4.106935854408324,0.3115745121632669,0.3115745121632669,0.3115745121632667,0.3115745121632667,-2.0592409805246454,2.0592409805246454,0.1514124100847003,0.0566897210145072,0.9654467886273794,True,True,True,True,HIGH,HIGH_direct_exp_rank_2
24,1.81,16.0,7.62,7.29,7.29,0.6419185077225471,0.3125,7.931918507722547,3.0024433868829834,7.29,0.5958368525594224,0.3125,7.8858368525594225,3.779027126242485,-0.04608165516312468,0.04608165516312468,-0.04608165516312468,0.04608165516312468,0.7765837393595016,0.7765837393595016,0.1032747964151011,0.0265332088863254,0.9851155593577964,True,True,True,True,HIGH,HIGH_direct_exp_rank_2
30,2.17,3.85,16.37,14.955,14.955,60.674147880173095,1.2987012987012987,75.6291478801731,1.6284330431129306,14.955,53.22158854546636,1.2987012987012987,68.17658854546636,1.6843455476491491,-7.452559334706734,7.452559334706734,-7.452559334706734,7.452559334706734,0.055912504536218544,0.055912504536218544,0.0977421311455543,0.059579791297305,0.9989425860649818,True,True,True,True,HIGH,HIGH_direct_exp_rank_2
33,2.26,4.125,16.14,11.3475,11.3475,422.7987490320256,1.2121212121212122,434.1462490320256,1.3091974223177918,11.3475,261.26468017462236,1.2121212121212122,272.6121801746224,1.3787007012754735,-161.53406885740327,161.53406885740327,-161.5340688574032,161.5340688574032,0.06950327895768171,0.06950327895768171,0.2755669946501625,0.178705202399888,0.9942860201079264,True,True,True,True,HIGH,HIGH_direct_exp_rank_2
36,1.48,3.625,14.91,14.235,14.235,8.232456046268986,1.3793103448275863,22.467456046268985,2.7321098339023515,14.235,10.44015622662215,1.3793103448275863,24.67515622662215,2.4260172842822185,2.2077001803531644,2.2077001803531644,2.2077001803531644,2.2077001803531644,-0.306092549620133,0.306092549620133,0.1948445820184627,0.1062488658913593,0.9942805481268676,True,True,True,True,HIGH,HIGH_direct_exp_rank_2
39,0.54,3.35,15.9,14.4675,14.4675,3.852469877296928,1.4925373134328357,18.319969877296927,7.688914610134782,14.4675,3.749587136742024,1.4925373134328357,18.217087136742023,8.000118962420439,-0.1028827405549042,0.1028827405549042,-0.10288274055490376,0.10288274055490376,0.3112043522856567,0.3112043522856567,0.0486722228666293,0.0196032640977803,0.9993898806060784,True,True,True,True,HIGH,HIGH_direct_exp_rank_2
