Feature,Frequency
u_r_x_u_p,30
tau_p_div_tau_r,27
u_r_mm,24
tau_p_div_u_r,24
tau_p_div_u_p,16
sigma_n_div_tau_r,14
sigma_n_MPa,7
tau_r_MPa,5
tau_r_div_sigma_n,4
tau_p_div_sigma_n,4
tau_peak_MPa_csds,3
u_p_div_u_r,3
sigma_n_div_tau_p,2
tau_r_div_u_p,2
delta_peak_mm,1
u_p_div_tau_p,1
u_r_div_tau_p,1
tau_r_div_u_r,1
sigma_n_div_u_r,1
u_r_div_tau_r,1
u_r_x_tau_p,1
