Feature,Frequency
u_p_div_u_r,23
u_r_div_u_p,22
tau_p_div_tau_r,20
tau_peak_MPa_csds,13
tau_r_div_tau_p,11
tau_p_x_tau_r,8
tau_p_div_u_p,4
tau_p_div_u_r,4
u_p_x_tau_p,4
tau_r_div_u_p,2
u_p_x_tau_r,2
delta_peak_mm,2
tau_r_div_u_r,1
tau_r_MPa,1
u_p_div_tau_p,1
