Feature,Frequency
tau_r_div_tau_p,27
u_p_div_u_r,23
u_p_x_tau_r,10
delta_peak_mm,10
tau_p_div_u_r,8
tau_r_div_u_p,7
u_p_x_tau_p,5
u_r_div_u_p,4
tau_r_MPa,4
tau_p_x_tau_r,4
tau_r_div_u_r,3
tau_r_div_sigma_n,3
u_p_div_tau_p,2
tau_p_div_u_p,1
sigma_n_div_u_p,1
u_r_x_tau_p,1
