u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,d_pred
2.75,0.72,0.044,0.03175,0.1118825410005739,0.28994930962137677
3.0,0.92,0.035,0.02825,0.0839741852265918,0.32766398613306014
3.0,0.97,0.029,0.0255,0.0543872445152351,0.3831736112849591
3.5,0.78,0.05,0.0417499999999999,0.0772480845491271,-0.16835306256300764
3.5,1.25,0.04,0.034,0.1010624339164287,0.2930345367051068
4.0,1.8,0.035,0.033,0.0664302203204883,0.7454618210950408
12.0,1.55,1.02,0.8525,1.2307821788444109,1.5345216461807063
1.325,0.13,1.02,0.6675,1.3413254010838505,1.7980609386085675
1.275,0.24,0.66,0.475,1.150857131382728,1.2213446080624302
1.525,0.47,1.07,0.6975,4.743013966857158,6.509904857987379
1.325,0.11,0.89,0.5625,1.1264971811696871,1.1826978904430516
1.35,0.3,0.88,0.635,1.8001130574348498,3.105067046911887
1.475,0.88,0.58,0.535,2.8993732180319176,3.4091998673793915
1.5,0.79,0.8,0.665,6.831849946093346,7.4040221915604425
1.85,1.26,0.94,0.785,27.936829140946248,15.987374099598838
1.85,1.15,0.71,0.65,4.6433470021604135,6.048652389294943
1.5666666666666669,0.45,0.87,0.6366666666666667,2.4910377730436024,4.407872432434188
1.5666666666666669,0.13,0.97,0.8033333333333333,1.0815597509199169,1.2533915900088168
1.6,0.71,1.14,0.9133333333333334,6.610164230147195,10.793645877501262
1.5666666666666669,0.63,1.42,0.9733333333333332,11.618262835999383,11.54465054810646
1.5666666666666669,0.49,0.79,0.63,2.0368332196782206,3.5526432646010866
1.5666666666666669,0.18,0.87,0.6,1.17786521425927,1.1755427730986183
1.5666666666666669,0.47,0.66,0.5066666666666667,1.7861116090877074,2.5855337034112127
1.5666666666666669,0.18,0.88,0.4966666666666666,1.346155735064614,1.2418254618481097
1.5633333333333332,0.11,1.04,0.5006666666666667,1.3643096499673495,1.1550728603000506
1.5566666666666666,0.21,0.75,0.4896666666666667,1.143850397052409,1.0396587209226944
1.85,1.14,0.47,0.4455,1.7090859558868448,3.126702651283824
1.5733333333333333,0.31,0.64,0.434,1.265446191232911,1.3333837763812995
1.5666666666666669,0.1,0.84,0.5786666666666667,0.969979146906758,0.2873829411175255
1.5666666666666669,0.15,1.04,0.515,1.533092129025739,1.3151736847016207
1.5666666666666669,0.12,1.33,0.569,1.854610634923335,2.501823775117251
1.5599999999999998,0.11,1.19,0.5136666666666666,1.6038564251262817,1.6146869361533753
1.61,0.46,0.57,0.4153333333333333,1.634874209970707,2.0489065484376274
1.5566666666666666,0.15,0.88,0.5103333333333334,1.2184624851364736,1.0595714760530612
2.1675,0.15,1.23,0.6225,1.584483302206824,1.702650448880511
1.5599999999999998,0.21,0.72,0.5333333333333333,0.9864172474962212,0.5636303022997293
1.5533333333333337,0.1,1.16,0.5640000000000001,1.476890584776652,1.793964413914366
1.5533333333333337,0.05,1.06,0.4603333333333333,1.1950471522283908,1.162940716004128
1.7866666666666664,0.16,1.46,0.5153333333333333,2.3069559990331303,2.3207543537978657
1.5766666666666669,0.13,0.83,0.5316666666666667,1.0427208983166083,0.6293082794426426
1.5666666666666669,0.22,1.38,0.6789999999999999,2.6481572578488555,2.5229005485724647
1.57,0.3,0.69,0.4403333333333333,1.4299397835360212,1.5968645248347137
1.5933333333333335,0.29,0.81,0.6846666666666668,1.087382853949383,1.0818876568056865
1.85,1.18,0.63,0.575,4.814497230710774,5.899807432916886
1.7400000000000002,0.42,0.83,0.4525,3.0411372580129137,2.751614639621196
1.5733333333333333,0.33,0.58,0.4766666666666666,0.8865267528928155,0.17323777508958504
1.5599999999999998,0.13,0.68,0.5633333333333334,0.7585316073088083,-0.6935635106032414
1.5599999999999998,0.18,0.96,0.5433333333333333,1.4698314803878656,1.5858535858588063
1.9,1.16,0.64,0.54,9.458859589233091,8.637921753194789
1.5599999999999998,0.56,0.58,0.4766666666666666,1.7197507584709593,2.2289973243353662
1.6233333333333333,0.17,1.0,0.5720000000000001,1.4469487231528226,1.5444950282742511
1.5666666666666669,0.1,0.85,0.5843333333333334,0.9821892769408712,0.3264895552616729
1.5566666666666666,0.07,0.85,0.5843333333333334,0.935338137929958,0.08316408348933746
1.5599999999999998,0.17,0.8,0.5579999999999999,1.0533159279041486,0.7580719773834883
1.5533333333333337,0.19,0.76,0.5436666666666666,1.0285202035428438,0.7092513020343116
1.5666666666666669,0.23,0.81,0.5826666666666666,1.190751192870266,1.3113677482372215
1.5766666666666669,0.65,0.57,0.478,2.090273609680621,2.750488254870892
1.5666666666666669,0.48,0.88,0.6386666666666666,2.909683904106867,4.984278664227708
1.49,0.22,0.66,0.4575,1.0088217275318825,0.7169973777465526
1.5666666666666669,0.13,1.09,0.5446666666666667,1.5022992365882244,1.5181744426407005
2.06,1.1,0.64,0.593,2.1062804370896413,3.3756684148366665
1.64,0.1,1.15,0.5823333333333333,1.4292184556456984,1.6759603498167988
1.5599999999999998,0.47,0.9,0.6583333333333333,2.8170854823861977,4.984090404562642
2.0725,0.14,0.99,0.65575,1.1704311885872505,0.2470857018559134
1.85,1.09,0.51,0.452,3.953396865652164,4.97756557783288
15.0,8.16,0.64,0.4826666666666666,11.645895951824402,11.66387689730277
15.0,9.63,1.15,0.9263333333333332,32.59743234903014,32.57416337911755
15.0,8.17,1.67,1.391,16.148831874738754,16.166544898569924
3.75,0.55,0.015,0.014,0.0164195869070291,0.6033438775400974
3.75,0.73,0.017,0.0155,0.0204950016940742,0.10717373092872085
3.75,0.73,0.031,0.0205,0.0626170527109933,0.056252103490329164
4.25,0.56,0.032,0.0305,0.0337729190185453,0.7409808743187505
4.25,0.61,0.036,0.032,0.0417117896904809,0.49130877181507704
4.25,0.8,0.041,0.0365,0.0511135447707714,-0.183168136802643
4.25,0.85,0.053,0.0412499999999999,0.0862035990108784,-0.3278949824802815
4.75,1.18,0.072,0.06875,0.0832453537063408,-1.346783488102745
4.75,1.07,0.082,0.07425,0.1059245022212473,-1.1402674512287454
4.75,0.99,0.091,0.0815,0.1165845623553453,-1.0260083196533152
4.75,1.33,0.123,0.109,0.1935437839006371,-1.5664074463455087
3.0,0.57,0.057,0.045,0.0873378142666348,0.03618333159438625
3.0,0.74,0.052,0.0426666666666666,0.091004766586305,0.042671171494780724
3.75,1.17,0.042,0.037,0.0749972465016185,-0.22852535580769806
4.333333333333333,2.7,0.036,0.0356666666666666,0.0479824484344826,3.5562031127112013
3.5,0.75,0.022,0.02125,0.0239205992767688,0.015316564032715307
3.5,1.15,0.021,0.02,0.0273958891535081,0.08032857172388153
3.5,1.1,0.02,0.01925,0.024206977641193,0.019159635041169354
3.5,1.25,0.019,0.01875,0.0207347706438796,0.2379289449417279
3.0,0.7,0.059,0.0456666666666666,0.1113406848934747,0.026250114099489297
3.75,0.8,0.039,0.03775,0.0421628695173391,-0.2403676591320909
3.75,1.1,0.031,0.03025,0.034476216061608,-0.3187180522314115
3.0,0.99,0.523,0.4803333333333333,0.822591618742664,-0.7563778781310837
3.0,1.49,0.929,0.87,2.261168014799032,3.432089131054993
3.5,2.48,1.278,1.2245,6.199218816480315,4.07538640970759
3.0,1.16,0.606,0.5299999999999999,1.5295028593983642,2.2783385134307883
3.5,2.0,0.785,0.745,2.2330839300345446,2.222073626914038
3.0,1.84,1.067,0.9266666666666667,12.276322054130755,18.26480666247997
3.5,2.5,1.53,1.435,12.626062390354296,13.542120273297456
13.0,1.28,0.381,0.236,0.5158827945510767,1.2769163873083749
13.0,1.94,1.479,1.139,2.0441763320711632,1.6535775489968778
13.0,0.34,0.306,0.104,0.342125551076079,1.6187141679880164
13.0,0.55,1.422,0.768,1.622926430267495,1.4079585994052473
15.0,0.1,0.367,0.136,0.3762542971419538,-0.016910065220046233
15.0,0.67,1.297,0.843,1.4428183417647384,2.0592509186325563
15.0,0.42,0.464,0.223,0.509841251907236,-0.9581435778409293
15.0,1.34,1.532,0.812,2.1322731944591187,2.179138842306684
7.400928721727968,1.2,0.0307,0.0217962758401608,0.0486171675853816,0.18412615511930785
12.334881202879949,2.0,0.131,0.0508579769603752,0.344386405973365,-0.350279190599317
11.101393082591954,1.8,0.046,0.0145308505601072,0.1367379572450948,0.16161056482763247
4.625580451079981,0.75,0.055,0.0153092991217785,0.1748236568431902,0.05263565687205518
5.612370947310377,0.91,0.041,0.0153092991217785,0.1104746856350472,0.13645677452389227
11.533113924692753,1.87,0.046,0.0153092991217785,0.1327773504888432,0.1987928267225627
13.383346105124744,2.17,0.042,0.0153092991217785,0.1148672965647978,0.44085043134375757
8.942788872087963,1.45,1.14,0.7935883525311068,1.844695714389715,2.018426293700556
6.784184661583972,1.1,1.23,0.5909609098097346,2.7859609573962865,2.8609868348400473
4.625580451079981,0.75,0.94,0.7727950359050375,1.247954429578691,0.12346207833032996
10.484649022447956,1.7,1.47,1.1106125148291928,2.1678936482955633,1.8101009902011918
0.6167440601439975,0.1,0.08,0.0796743371481683,0.080483435478867,-0.09574541581731988
7.400928721727968,1.2,0.024,0.0202072594216368,0.0308724056592388,0.24608178519766644
6.784184661583972,1.1,0.025,0.0202072594216368,0.0339263343000876,0.24625818166921865
7.709300751799968,1.25,0.047,0.0398371685740841,0.0599181190992916,-0.020900574516219406
7.400928721727968,1.2,0.05,0.0398371685740841,0.0691035642872409,-0.03372926755683703
