Feature,Frequency
u_p_div_u_r,30
tau_r_div_tau_p,29
u_r_div_u_p,22
tau_peak_MPa_csds,17
tau_p_div_u_p,8
tau_r_div_u_p,5
tau_p_div_tau_r,5
tau_r_div_sigma_n,5
tau_p_x_tau_r,4
u_p_x_tau_p,3
delta_peak_mm,3
tau_p_div_sigma_n,3
tau_r_MPa,3
u_r_x_tau_p,2
u_p_x_tau_r,2
tau_p_div_u_r,2
u_r_x_u_p,1
u_r_mm,1
tau_r_div_u_r,1
