Features,Feature_List,Branch_Signature,N_Features,R2_train_log,RMSE_train_log,R2_val_log,RMSE_val_log,R2_test_log,RMSE_test_log,R2_cv_mean_log,R2_cv_std_log,R2_train_d,RMSE_train_d,R2_val_d,RMSE_val_d,R2_test_d,RMSE_test_d,Selection_Mode,Selection_Score
u_r_mm + u_p_div_u_r + u_r_div_tau_r + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_r,"['u_r_mm', 'u_p_div_u_r', 'u_r_div_tau_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_r']",base_ur | core_taup_over_ur | ratio,6,0.9007111805294843,0.7559579124032162,0.8902965462396111,0.7845118254941364,0.8450890499697971,0.8905111218043947,0.8772056137509878,0.03334684735623742,0.20590988066991045,88.47613631600476,0.17336532287546857,18.595067157621582,0.8460863027031214,14.80305836615356,log,1.2655646683794812
u_r_mm + tau_r_MPa + u_r_x_tau_r + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r,"['u_r_mm', 'tau_r_MPa', 'u_r_x_tau_r', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_taur | base_ur | core_taup_over_ur | product | ratio,6,0.8886265677692848,0.8006417728875401,0.9026776938911427,0.7389167982281357,0.8526397288658712,0.8685373416513089,0.854994689664708,0.055397081681899336,0.28746514920421984,83.80970431516789,0.5189730899470523,14.184878742118315,0.7970906306701104,16.996670945174632,log,1.2646353305553069
u_r_mm + sigma_n_x_u_p + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_r,"['u_r_mm', 'sigma_n_x_u_p', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_r']",base_ur | core_sigma_combo | core_taup_over_ur | product | ratio,6,0.8941412716181649,0.780568066209487,0.8940206893583175,0.7710807999473481,0.8579304722070527,0.8528030749864702,0.8668741399686917,0.038962818571707435,0.08057926582204,95.20251022721855,0.2643822328607377,17.54151286418478,0.8311004077447165,15.506976067528445,log,1.2635614774854924
sigma_n_MPa + u_r_mm + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_r,"['sigma_n_MPa', 'u_r_mm', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_r']",base_sigma | base_ur | core_taup_over_ur | ratio,6,0.8940040174943228,0.7810739360727813,0.8940925279803165,0.7708194150971449,0.8577165988114639,0.8534447442453951,0.866303122053288,0.03821253520982618,0.059637831244119144,96.28060872890522,0.26070601739628085,17.58528968518251,0.8320387227556493,15.463841880121684,log,1.2634228354859776
u_r_mm + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + sigma_n_div_tau_p + sigma_n_div_u_r,"['u_r_mm', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'sigma_n_div_tau_p', 'sigma_n_div_u_r']",base_ur | core_sigma_combo | core_taup_over_ur | ratio,6,0.8827304083311347,0.8215616339881897,0.8984676715784655,0.7547298328620882,0.8364809916643322,0.9149185046545671,0.8600852137526452,0.05187756217787192,0.24246694574749506,86.41557952224686,0.30110203072982533,17.098099124909577,0.7848552188184289,17.501618946362836,log,1.263322522237001
u_r_mm + sigma_n_x_u_r + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_r,"['u_r_mm', 'sigma_n_x_u_r', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_r']",base_ur | core_sigma_combo | core_taup_over_ur | product | ratio,6,0.8939069978888334,0.7814313182620427,0.8939019037888544,0.7715128070082201,0.8580787640041135,0.8523578819871441,0.8650600745710684,0.037623507834246415,0.05409041256206726,96.56418216030696,0.25038963361344035,17.70756045331892,0.8341795691486218,15.364974211640043,log,1.262669590290964
u_r_mm + sigma_n_x_tau_r + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_r,"['u_r_mm', 'sigma_n_x_tau_r', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_r']",base_ur | core_sigma_combo | core_taup_over_ur | product | ratio,6,0.8939248763738818,0.781365473218112,0.893979268991026,0.7712314677036293,0.8581161713523969,0.8522455430929031,0.8647826745791038,0.03768326645478847,0.04828849048128292,96.85987710829443,0.2511020972476664,17.699143419238386,0.8339593184713874,15.375175074578737,log,1.262602279635099
u_r_mm + u_p_div_u_r + tau_p_div_tau_r + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_r,"['u_r_mm', 'u_p_div_u_r', 'tau_p_div_tau_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_r']",base_ur | core_taup_over_ur | ratio,6,0.8935042844288359,0.7829130127993401,0.8940126755078842,0.7711099528515992,0.8581269366239943,0.8522132109065569,0.8639611815088974,0.039215160854629116,0.1184505228427224,93.22118066359155,0.2372460694797932,17.86212681500717,0.8377741834664498,15.197522689549551,log,1.2620717501768701
u_r_mm + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_r + sigma_n_div_u_p,"['u_r_mm', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_r', 'sigma_n_div_u_p']",base_ur | core_sigma_combo | core_taup_over_ur | ratio,6,0.8941493845203603,0.780538154676391,0.8915669350592509,0.7799561932137197,0.8588026730185156,0.850181257762802,0.8684149011885631,0.039257280991625364,0.12074810342903874,93.09962032073445,0.24629866893768493,17.755813812967965,0.8366491793823749,15.250127559216265,log,1.26184865755437
u_r_mm + tau_r_MPa + sigma_n_x_u_r + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r,"['u_r_mm', 'tau_r_MPa', 'sigma_n_x_u_r', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_taur | base_ur | core_sigma_combo | core_taup_over_ur | product | ratio,6,0.8857931978749628,0.8107620816788637,0.8960740981638432,0.7635741986417465,0.8452470375106738,0.8900569074590359,0.8581857849972094,0.04606601161715178,0.26706264429352944,85.00112651927569,0.49158705721790996,14.583079394569236,0.7948140791312888,17.091752484261534,log,1.2605603895007327
u_r_mm + tau_r_MPa + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + sigma_n_div_u_r,"['u_r_mm', 'tau_r_MPa', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'sigma_n_div_u_r']",base_taur | base_ur | core_sigma_combo | core_taup_over_ur | ratio,6,0.8851744348136796,0.8129554359784555,0.8964104064240415,0.762337719605844,0.8456743717433008,0.8888271580633763,0.8579027043011914,0.05047500471492061,0.27143204731602055,84.7473808454722,0.5100697978219593,14.315550311677606,0.7842158441210897,17.52760561173828,log,1.260314258103145
u_r_mm + u_r_x_tau_r + u_p_x_tau_r + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r,"['u_r_mm', 'u_r_x_tau_r', 'u_p_x_tau_r', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_ur | core_taup_over_ur | product | ratio,6,0.8794220208040568,0.8330699019217033,0.8986209351647162,0.7541599833978238,0.8367962072238384,0.9140362351529999,0.8522935872390596,0.04593295247225633,0.2119396964671122,88.1395804201325,0.6339129434130824,12.374655812426097,0.7038016171439534,20.535446854363347,log,1.2601744335370202
u_r_mm + u_p_x_tau_p + u_p_x_tau_r + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r,"['u_r_mm', 'u_p_x_tau_p', 'u_p_x_tau_r', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_ur | core_taup_over_ur | core_up_xtaup | product | ratio,6,0.8834854992000529,0.8189123729524427,0.895040030014154,0.767363597367754,0.8387087209694115,0.9086648574804922,0.8531941662053633,0.03790594383381778,0.20209880445628603,88.6881939214396,0.6031847792708455,12.883536800481602,0.7628604614761654,18.374469165181587,log,1.2578465187334538
u_r_mm + u_p_x_tau_p + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_p_div_sigma_n,"['u_r_mm', 'u_p_x_tau_p', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_p_div_sigma_n']",base_ur | core_sigma_combo | core_taup_over_sigma | core_taup_over_ur | core_up_xtaup | product | ratio,6,0.8764274973719552,0.8433510007898607,0.8956236140654665,0.7652273287881399,0.848172303737223,0.8816044838499494,0.8497176769896437,0.05187370733129349,0.2580614512748485,85.52148257321376,0.08649653080597319,19.547716946096678,0.8301883544601042,15.54878832543964,log,1.255295081827159
u_r_mm + u_p_div_u_r + tau_p_div_tau_r + u_p_div_tau_p + tau_p_div_u_r + sigma_n_div_u_r,"['u_r_mm', 'u_p_div_u_r', 'tau_p_div_tau_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'sigma_n_div_u_r']",base_ur | core_sigma_combo | core_taup_over_ur | ratio,6,0.8836214512359931,0.8184344697771655,0.8857465865483118,0.8006153935831692,0.8343995649977586,0.9207230713678042,0.858330497436986,0.04580389631604996,0.17674185623255545,90.0864079980585,0.2657031787713344,17.52575617486702,0.7999111612450702,16.878126903030942,log,1.2503314456351997
u_r_mm + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_p + tau_r_div_u_r + tau_p_div_sigma_n,"['u_r_mm', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_p', 'tau_r_div_u_r', 'tau_p_div_sigma_n']",base_ur | core_sigma_combo | core_taup_over_sigma | ratio,6,0.8640707715294493,0.8845122855016471,0.8917340064865619,0.7793550913849621,0.841448194120941,0.9009151405499755,0.8359512171906864,0.05961303813753973,0.23300262816668293,86.95372488722393,-2.611030704007,38.86480847382273,0.7068587858460453,20.429195157878805,log,1.243748311268151
u_r_mm + sigma_n_x_u_r + u_p_x_tau_p + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r,"['u_r_mm', 'sigma_n_x_u_r', 'u_p_x_tau_p', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r']",base_ur | core_sigma_combo | core_taup_over_ur | core_up_xtaup | product | ratio,6,0.8782475340928237,0.83711731786589,0.8811283126481022,0.8166360690192856,0.831596198700654,0.9284835941099044,0.8548828284918957,0.04953418734549288,0.25507111699793406,85.69365360784911,0.3150529426195965,16.926588776924653,0.7904715708903438,17.271668527085467,log,1.2436163081595009
sigma_n_x_u_p + u_p_div_u_r + tau_r_div_tau_p + u_p_div_tau_p + tau_p_div_u_r,"['sigma_n_x_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'u_p_div_tau_p', 'tau_p_div_u_r']",core_sigma_combo | core_taup_over_ur | product | ratio,5,0.8592506633192909,0.9000582601276037,0.88174298738711,0.8145219568973556,0.7805555609780197,1.059889473880305,0.8320066783625292,0.05692101311312129,0.29528104045855064,83.34877683866185,0.46929435248534035,14.899366247375331,0.7816559847108228,17.631264568934025,log,1.2420542252570625
delta_peak_mm + u_p_div_u_r + u_p_div_tau_p + tau_p_div_u_r + tau_r_div_u_r + tau_p_div_sigma_n,"['delta_peak_mm', 'u_p_div_u_r', 'u_p_div_tau_p', 'tau_p_div_u_r', 'tau_r_div_u_r', 'tau_p_div_sigma_n']",base_up | core_sigma_combo | core_taup_over_sigma | core_taup_over_ur | ratio,6,0.8800751095074641,0.8308107528642772,0.8775025871658138,0.8289967011118291,0.8279550921501752,0.9384674210229914,0.8521849323380296,0.04671104380652389,0.31484604588496456,82.1836332754439,-2.083742556859579,35.915341343865876,-1.4744139150148299,59.35386310558955,log,1.2389239489541761
