Feature,Frequency
u_p_div_u_r,12
tau_r_div_tau_p,12
tau_p_x_tau_r,7
tau_r_div_u_p,7
delta_peak_mm,6
tau_p_div_u_r,6
u_p_x_tau_p,5
u_p_x_tau_r,4
tau_r_MPa,3
u_r_div_tau_r,3
u_r_x_tau_p,3
u_p_div_tau_r,2
u_r_x_u_p,1
u_r_mm,1
u_r_div_u_p,1
tau_r_div_u_r,1
tau_r_div_sigma_n,1
tau_p_div_sigma_n,1
