Feature,Frequency
tau_peak_MPa_csds,22
u_p_div_u_r,21
tau_r_div_tau_p,21
u_r_div_tau_r,16
delta_peak_mm,7
u_p_div_tau_r,6
tau_p_div_sigma_n,5
tau_r_div_u_r,4
u_r_mm,3
tau_p_x_tau_r,2
tau_r_div_sigma_n,2
u_p_div_tau_p,2
tau_p_div_u_r,1
u_r_x_tau_r,1
u_r_x_tau_p,1
tau_r_div_u_p,1
sigma_n_div_tau_p,1
u_p_x_tau_r,1
sigma_n_div_tau_r,1
