Dataset,Selection_Mode,Rank_in_saved_results,Feature,Coefficient_in_log_d_equation
LOW_2,log,1,u_p_div_tau_p,-0.36943989119769577
LOW_2,log,1,tau_p_div_u_p,0.012405244888666988
LOW_2,log,1,u_p_x_tau_p,0.044743819028042676
LOW_2,log,1,tau_r_MPa,0.320673542629035
LOW_2,log,1,tau_r_div_tau_p,-3.445344020974422
LOW_2,log,1,u_p_div_u_r,4.124557024398296
LOW_2,log,2,tau_r_MPa,0.3436432520184301
LOW_2,log,2,u_p_div_u_r,4.244025945562179
LOW_2,log,2,tau_r_div_u_p,0.021384129595567382
LOW_2,log,2,u_p_x_tau_p,0.030642710801576465
LOW_2,log,2,tau_r_div_tau_p,-3.770828670441952
LOW_2,log,3,u_r_x_tau_r,-0.0051165178872474406
LOW_2,log,3,u_r_div_u_p,0.056870219254791486
LOW_2,log,3,u_p_x_tau_p,0.03704997023988335
LOW_2,log,3,u_p_div_u_r,4.3293494155081955
LOW_2,log,3,tau_r_MPa,0.39840414322057677
LOW_2,log,3,tau_r_div_tau_p,-3.577707528925529
LOW_2,log,4,delta_peak_mm,-0.06100212184962885
LOW_2,log,4,tau_r_MPa,0.3537427213842416
LOW_2,log,4,tau_p_div_u_p,0.011953681078749381
LOW_2,log,4,u_p_x_tau_p,0.03994982023054695
LOW_2,log,4,u_p_div_u_r,4.147955947624817
LOW_2,log,4,tau_r_div_tau_p,-3.603291294765177
LOW_2,d,1,u_p_div_u_r,4.244025945562177
LOW_2,d,1,u_p_x_tau_p,0.03064271080157649
LOW_2,d,1,tau_r_MPa,0.3436432520184303
LOW_2,d,1,tau_r_div_u_p,0.021384129595567302
LOW_2,d,1,tau_r_div_tau_p,-3.770828670441952
LOW_2,d,2,u_p_div_u_r,3.4287673017153972
LOW_2,d,2,tau_p_div_tau_r,-0.8734530901120968
LOW_2,d,2,u_r_div_tau_r,-0.14621361516349368
LOW_2,d,2,tau_r_div_tau_p,-4.459233568631873
LOW_2,d,2,u_p_x_tau_p,0.05245269965875676
LOW_2,d,3,tau_r_div_tau_p,-3.8102295676877094
LOW_2,d,3,u_r_div_tau_p,-0.0773785677516668
LOW_2,d,3,u_p_x_tau_p,0.05426329016628779
LOW_2,d,3,u_p_div_u_r,4.163639477483014
LOW_2,d,3,tau_r_div_u_p,0.03947091458399983
LOW_2,d,3,tau_p_div_tau_r,-0.5619538270618804
LOW_2,d,4,u_p_x_tau_p,0.02834711365792683
LOW_2,d,4,tau_peak_MPa_csds,0.2608433227347873
LOW_2,d,4,tau_r_div_tau_p,-2.2639781604438167
LOW_2,d,4,u_r_div_tau_p,0.0092488777371778
LOW_2,d,4,tau_r_div_u_p,0.022487972389605874
LOW_2,d,4,u_p_div_u_r,4.307665182435453
LOW_2,d,5,u_p_div_u_r,3.9823624816845915
LOW_2,d,5,u_r_div_tau_r,-0.009831105035621356
LOW_2,d,5,tau_r_div_tau_p,-3.9719990920690966
LOW_2,d,5,tau_r_MPa,0.43617597709930844
LOW_2,d,5,u_p_x_tau_p,0.021097975045576475
