Dataset,Features,Feature_List,Branch_Signature,Degree,N_Features,R2_train_log,RMSE_train_log,R2_val_log,RMSE_val_log,R2_cv_mean_log,R2_cv_std_log,R2_train_d,RMSE_train_d,R2_val_d,RMSE_val_d,Selection_Score
LOW_2,u_p_div_u_r + tau_r_div_tau_p,"['u_p_div_u_r', 'tau_r_div_tau_p']",ratio,2,2,0.956697956734276,0.14169206725556371,0.9879686741291939,0.10076103219081399,0.9053147563731644,0.052124736525065135,0.959452114219317,4.029262803109434,0.9952923987406881,2.392592303838576,1.4154135786632696
LOW_2,u_p_div_u_r + tau_r_div_tau_p + u_r_div_u_p,"['u_p_div_u_r', 'tau_r_div_tau_p', 'u_r_div_u_p']",ratio,2,3,0.9596148548218341,0.13683656576690842,0.9918446402195585,0.08295783802370783,0.914332297957003,0.04544055779149145,0.9644640660407171,3.7720318782127493,0.9966228131228181,2.026499088674415,1.414466733418911
LOW_2,tau_r_div_tau_p + u_r_div_u_p + u_p_div_u_r + tau_peak_MPa_csds,"['tau_r_div_tau_p', 'u_r_div_u_p', 'u_p_div_u_r', 'tau_peak_MPa_csds']",base_taup | ratio,2,4,0.9895312051066822,0.06966901771868363,0.9868404753002417,0.10537945898049311,0.945038559878762,0.05049425087425605,0.9609207243379998,3.9556216030066325,0.8244604593584055,14.6102061885322,1.414310330152197
LOW_2,u_r_div_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_MPa,"['u_r_div_u_p', 'u_p_div_u_r', 'tau_r_div_tau_p', 'tau_r_MPa']",base_taur | ratio,2,4,0.9870140222659892,0.07759409438086866,0.991054104383637,0.08688559428503065,0.93720144888042,0.0618059917003394,0.9610820775896873,3.9474470325190136,0.939758739263682,8.558859405453418,1.413474229653813
LOW_2,tau_r_div_tau_p + u_r_div_u_p + u_p_div_u_r + tau_p_x_tau_r,"['tau_r_div_tau_p', 'u_r_div_u_p', 'u_p_div_u_r', 'tau_p_x_tau_r']",product | ratio,2,4,0.9880999627034104,0.07427890674566583,0.9880611193404412,0.10037317646820042,0.9404669821498987,0.05659712452810705,0.9595963346268288,4.022090794656713,0.8673593239345438,12.700102604399266,1.4126348979625798
LOW_2,tau_r_MPa + tau_r_div_tau_p + u_p_div_u_r,"['tau_r_MPa', 'tau_r_div_tau_p', 'u_p_div_u_r']",base_taur | ratio,2,3,0.983894230910778,0.08641359555430644,0.9850937704867293,0.11215529052855921,0.9224937494703442,0.08072373381715654,0.9483015766138967,4.549672509566337,0.9110988121868763,10.397349627534075,1.4082682718401858
LOW_2,tau_r_div_tau_p + u_p_div_u_r + tau_peak_MPa_csds,"['tau_r_div_tau_p', 'u_p_div_u_r', 'tau_peak_MPa_csds']",base_taup | ratio,2,3,0.9856264689353682,0.08163437606343762,0.9796188884617878,0.13114441363242887,0.9307271922909773,0.06883232700505369,0.9411961767287919,4.852262295380132,0.771030000359026,16.686227404577078,1.4080992519067712
LOW_2,u_p_div_u_r + tau_r_div_tau_p + tau_p_x_tau_r,"['u_p_div_u_r', 'tau_r_div_tau_p', 'tau_p_x_tau_r']",product | ratio,2,3,0.984661782665944,0.08432935631808648,0.9816654274109585,0.12438593008545734,0.9263521843138346,0.07583256189210516,0.9434353302748767,4.758982580943645,0.8344512931496033,14.188345734379702,1.4072582633786654
LOW_2,tau_r_div_tau_p + u_r_div_u_p + tau_r_div_u_p + u_p_div_u_r,"['tau_r_div_tau_p', 'u_r_div_u_p', 'tau_r_div_u_p', 'u_p_div_u_r']",ratio,2,4,0.9744555386513429,0.1088277665707483,0.9909996679007997,0.08714954621078103,0.918156894054947,0.033452181315726526,0.9657991806599525,3.700494325420689,0.9966414731883231,2.0208927976324595,1.4067328967967005
