u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,tau_p_div_u_r,d_pred,Best_Model_Name
2.0725,0.14,0.99,0.65575,1.1704311885872505,0.47768395657418583,1.8284840506449784,Model_148
2.9125,0.4,5.46,4.44825,6.882030880581543,1.8746781115879827,2.2519868287237585,Model_148
4.3725000000000005,2.66,17.29,16.490000000000002,53.88926722177272,3.9542595769010855,143.45203982739145,Model_148
1.85,1.09,0.51,0.452,3.953396865652164,0.2756756756756757,2.7447148759899953,Model_148
28.00018033053748,4.54,3.73,3.372542584212134,4.343103435426621,0.13321342776967754,0.5414489288556616,Model_148
6.0,5.68,13.66,13.51,59.19426760374002,2.276666666666667,156.68455709228078,Model_148
15.0,8.16,0.64,0.4826666666666666,11.645895951824402,0.042666666666666665,18.493797711195036,Model_148
15.0,9.63,1.15,0.9263333333333332,32.59743234903014,0.07666666666666666,27.686905949331546,Model_148
15.0,8.17,1.67,1.391,16.148831874738754,0.11133333333333333,14.534580622873392,Model_148
15.0,7.68,2.36,1.9943333333333333,16.011222974188158,0.15733333333333333,9.410187093075109,Model_148
17.5,12.65,2.87,2.478,88.02266261294648,0.164,47.4290646016312,Model_148
3.75,0.55,0.015,0.014,0.0164195869070291,0.004,3.141831683472585,Model_148
3.75,0.73,0.017,0.0155,0.0204950016940742,0.004533333333333334,1.7549708781042774,Model_148
3.75,0.73,0.031,0.0205,0.0626170527109933,0.008266666666666667,1.7849361295610953,Model_148
4.25,0.56,0.032,0.0305,0.0337729190185453,0.0075294117647058826,3.114692291193707,Model_148
4.25,0.61,0.036,0.032,0.0417117896904809,0.008470588235294117,2.7496429641411977,Model_148
4.25,0.8,0.041,0.0365,0.0511135447707714,0.009647058823529411,1.3827545907454137,Model_148
4.25,0.85,0.053,0.0412499999999999,0.0862035990108784,0.012470588235294117,1.060787703725829,Model_148
4.75,1.18,0.072,0.06875,0.0832453537063408,0.015157894736842105,-0.9521215772736191,Model_148
4.75,1.07,0.082,0.07425,0.1059245022212473,0.01726315789473684,-0.2202307603419591,Model_148
4.75,0.99,0.091,0.0815,0.1165845623553453,0.019157894736842106,0.3211470597228967,Model_148
4.75,1.33,0.123,0.109,0.1935437839006371,0.025894736842105262,-1.6470912560573776,Model_148
3.0,0.57,0.057,0.045,0.0873378142666348,0.019,2.903183441410956,Model_148
3.0,0.74,0.052,0.0426666666666666,0.091004766586305,0.017333333333333333,1.569523883321196,Model_148
3.75,1.17,0.042,0.037,0.0749972465016185,0.0112,-1.3554938542592705,Model_148
4.333333333333333,2.7,0.036,0.0356666666666666,0.0479824484344826,0.008307692307692308,-9.92753909441532,Model_148
3.5,0.75,0.022,0.02125,0.0239205992767688,0.006285714285714285,1.558377676588556,Model_148
3.5,1.15,0.021,0.02,0.0273958891535081,0.006,-1.4263122330997309,Model_148
3.5,1.1,0.02,0.01925,0.024206977641193,0.005714285714285714,-1.0687445563205955,Model_148
3.5,1.25,0.019,0.01875,0.0207347706438796,0.0054285714285714284,-2.153099149056086,Model_148
3.0,0.7,0.059,0.0456666666666666,0.1113406848934747,0.019666666666666666,1.8933627649250866,Model_148
3.75,0.8,0.039,0.03775,0.0421628695173391,0.0104,1.2817834758988829,Model_148
3.75,1.1,0.031,0.03025,0.034476216061608,0.008266666666666667,-0.9159520299459771,Model_148
3.0,0.99,0.523,0.4803333333333333,0.822591618742664,0.17433333333333334,1.8017758670680637,Model_148
3.0,1.49,0.929,0.87,2.261168014799032,0.3096666666666667,3.8029665243642867,Model_148
3.5,2.48,1.278,1.2245,6.199218816480315,0.36514285714285716,7.512052532662629,Model_148
3.0,1.16,0.606,0.5299999999999999,1.5295028593983642,0.20199999999999999,1.7330242491793282,Model_148
3.5,2.0,0.785,0.745,2.2330839300345446,0.22428571428571428,1.044746540351536,Model_148
3.0,1.84,1.067,0.9266666666666667,12.276322054130755,0.35566666666666663,5.718633484547343,Model_148
3.5,2.5,1.53,1.435,12.626062390354296,0.43714285714285717,11.077187447355698,Model_148
13.0,1.28,0.381,0.236,0.5158827945510767,0.02930769230769231,-2.630161545139968,Model_148
13.0,1.94,1.479,1.139,2.0441763320711632,0.11376923076923078,0.17975662317701513,Model_148
13.0,2.29,30.401,2.493,193.9802115140508,2.3385384615384615,78.55306264882908,Model_148
13.0,3.95,5.488,4.171,15.644466241634497,0.4221538461538462,5.365972386456832,Model_148
13.0,0.34,0.306,0.104,0.342125551076079,0.02353846153846154,-0.8277227599075943,Model_148
13.0,0.55,1.422,0.768,1.622926430267495,0.10938461538461539,3.661697522319689,Model_148
13.0,1.07,2.417,1.547,3.0359207977309928,0.1859230769230769,6.059922107362551,Model_148
13.0,1.08,4.482,3.316,5.292113495505316,0.3447692307692308,14.330748266400441,Model_148
15.0,0.1,0.367,0.136,0.3762542971419538,0.024466666666666668,-3.0692206374940607,Model_148
15.0,0.67,1.297,0.843,1.4428183417647384,0.08646666666666666,0.7621719698742151,Model_148
15.0,0.78,3.232,2.23,3.6162854300913425,0.21546666666666667,10.302816422756086,Model_148
15.0,2.08,4.233,3.386,5.454140731869376,0.28219999999999995,8.731819623437467,Model_148
15.0,0.42,0.464,0.223,0.509841251907236,0.030933333333333334,-3.135486223759303,Model_148
15.0,1.34,1.532,0.812,2.1322731944591187,0.10213333333333334,0.38813869315864125,Model_148
15.0,1.56,2.845,1.821,3.870502462074933,0.18966666666666668,5.3949337477920025,Model_148
15.0,1.9,4.37,3.015,6.174917494621263,0.29133333333333333,10.049675980295547,Model_148
15.0,2.09,55.263,3.813,193.99512243089907,3.6841999999999997,218.509550461846,Model_148
1.6652089623887931,0.27,2.655,1.3036485066778338,5.913938435670004,1.5943944934041918,1.1963338120333553,Model_148
3.083720300719987,0.5,2.417,0.6555920235894309,7.783373274827283,0.7837935235033082,4.373919117480646,Model_148
5.4273477292671775,0.88,5.477,2.848434309388562,11.6545172386138,1.0091485331711973,11.503144710580191,Model_148
