Feature,Frequency
tau_r_div_tau_p,7
u_p_div_u_r,7
tau_peak_MPa_csds,6
tau_r_div_u_r,5
u_r_x_u_p,4
u_p_x_tau_r,3
delta_peak_mm,3
tau_p_div_tau_r,2
u_p_div_tau_r,2
tau_r_div_u_p,1
u_p_div_tau_p,1
u_r_x_tau_r,1
