u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,d_pred
2.75,0.72,0.044,0.03175,0.1118825410005739,4.19834874696433
3.0,0.92,0.035,0.02825,0.0839741852265918,6.186055754770637
3.0,0.97,0.029,0.0255,0.0543872445152351,6.796586768003024
3.5,0.78,0.05,0.0417499999999999,0.0772480845491271,3.4906984005457105
3.5,1.25,0.04,0.034,0.1010624339164287,9.029634210080944
4.0,1.8,0.035,0.033,0.0664302203204883,13.886094755754677
10.5,1.64,4.17,3.725,4.895058888506973,5.769118447070571
10.5,1.61,13.41,12.8475,14.242118957186936,21.04797474471285
10.5,2.76,3.72,3.5425,4.411982639456616,19.650105037483296
10.5,3.07,12.57,12.4375,13.149945083675975,71.40078493041044
12.0,1.55,1.02,0.8525,1.2307821788444109,1.1204933164061224
12.0,1.71,2.57,1.7327500000000002,3.9430656223739473,2.822723976005026
12.0,1.67,7.53,5.32,10.93717256215566,7.020548295181722
12.0,1.67,19.67,18.994999999999997,20.522374041685623,30.54312116509433
16.0,0.84,8.44,7.47,8.795558292779953,-17.034073615284516
16.0,1.81,7.62,7.29,7.931918507722547,1.6471560252535475
3.25,0.87,2.35,1.9075,4.610902999506291,7.957804610150038
1.325,0.13,1.02,0.6675,1.3413254010838505,-1.2930438585862065
2.425,0.6,4.93,4.2975,7.408370023650559,8.090597359450644
3.85,2.17,16.37,14.955,75.6291478801731,104.42338197293952
1.275,0.24,0.66,0.475,1.150857131382728,0.6356414121337797
2.175,0.3,4.71,4.1925,5.403668346774408,0.9891633656840755
4.125,2.26,16.14,11.3475,434.1462490320256,105.33719934112068
1.525,0.47,1.07,0.6975,4.743013966857158,4.08841712573958
2.2,0.47,4.91,4.25,6.841599192776869,5.481646894297153
3.625,1.48,14.91,14.235,22.467456046268985,62.93707293872474
1.325,0.11,0.89,0.5625,1.1264971811696871,-1.624548684757628
2.175,0.26,5.3,4.1,6.69109713063318,0.2417883670815435
