Features,R2_train,RMSE_train,R2_val,RMSE_val
u_r_mm + delta_peak_mm + tau_peak_MPa_csds,0.1715581650737843,9.436815402988428,0.3864183857734874,5.071405471157039
u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,0.1675843576804309,9.459421229596723,0.37870006306978066,5.103202721801877
u_r_mm + delta_peak_mm,0.16325510101540852,9.483987775350903,0.37437992945768916,5.120914236418449
u_r_mm,0.023875670762334544,10.243468056942262,0.1526096582663875,5.959830671300285
