Dataset,Features,R2_train,RMSE_train,R2_val,RMSE_val
HIGH,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,0.6920219565091382,2.0962779452049234,0.6588280791651655,2.4319025900424522
HIGH,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,0.6835177122578078,2.125023278997874,0.6489668753645352,2.4667979843153542
HIGH,u_r_mm + delta_peak_mm,0.629008377049477,2.300758520141781,0.5692162433762697,2.732682619234258
HIGH,u_r_mm,0.09567245757665288,3.592128518198975,-0.014787902733621294,4.19418106870651
