dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u,constraint_ok_count,d_positive_count,b_positive_count
LOW_1,LOW_1_direct_poly_rank_3,163,1.7476716039424012,0.951869087585698,1.7476716039424012,0.9486397239520271,6.054264159382196,0.763311007272433,0.01219269795278693,0.005435141237426734,0.0018134028781339,0.1032971147966118,163,0.9996031951852523,163,163,163
LOW_1,LOW_1_direct_poly_rank_1,163,2.1012834604368695,0.9304217151201176,2.1012834604368695,0.9257533310897014,5.727470308232488,0.7881731431740048,0.020844914037647825,0.008317085973398228,0.0014490641008411,0.116303399270417,163,0.998840214914308,163,163,163
LOW_1,LOW_1_direct_poly_rank_5,163,2.1988294574779568,0.9238118325045841,2.198829457477957,0.9186999556444932,6.279462578903255,0.7453754452757546,0.020668377090165904,0.008363589699116955,0.0012609010262697,0.112192649555132,163,0.998859776320923,163,163,163
LOW_1,LOW_1_direct_poly_rank_2,163,2.0606005912616876,0.9330898389749228,2.0606005912616876,0.9286004738268554,6.149190250846716,0.7558306263910541,0.02126402706603957,0.008579084312574179,0.0014226738165647,0.1163182947515692,163,0.9987931082031144,163,163,163
LOW_1,LOW_1_direct_poly_rank_4,163,2.631385185670256,0.8908878067581459,2.6313851856702564,0.8835668786649437,6.468303845385767,0.7298306026054542,0.020041965358174412,0.00871886846738435,0.0012831628999023,0.0959083148884209,163,0.9989278441565199,163,163,163
LOW_1,LOW_1_direct_exp_rank_5,163,3.8835869814294446,0.7623321114049366,3.883586981429445,0.7463856853385943,8.972093118931719,0.48019210207302376,0.024457182808039744,0.011194561154382015,0.0031343105196727,0.1705582979639902,163,0.9984034219208451,163,163,163
LOW_1,LOW_1_direct_exp_rank_3,163,3.3110456746201655,0.8272433482424134,3.3110456746201655,0.8156521686724427,16.12310145945971,-0.6786204242015856,0.025271936450001226,0.01124240059212756,0.0030563281475222,0.1664891579316458,163,0.9982952749447249,163,163,163
LOW_1,LOW_1_direct_exp_rank_1,163,19.76135352999224,-5.153721116156056,19.76135352999224,-5.566607599861326,7.913903864606356,0.59557604708867,0.02685252516141886,0.012046762438327207,0.0040635489094847,0.1703379257668814,163,0.9980753685995049,163,163,163
LOW_1,LOW_1_direct_exp_rank_4,163,20.490256610976957,-5.616056868269528,20.490256610976957,-6.0599639620054,8.115752632687723,0.5746828140563761,0.02626576000219981,0.01218081871154845,0.0038946734488249,0.167948114156155,163,0.9981585613852902,163,163,163
LOW_1,LOW_1_direct_exp_rank_2,163,19.45565352796644,-4.964802688304904,19.45565352796644,-5.365013611335544,13.130890139731232,-0.11338063852613667,0.027774590320505513,0.012577336830573561,0.0039812697167044,0.1725134598379301,163,0.9979409228168735,163,163,163
