No,L_m,JRC,JCS_MPa,delta_peak_mm,sigma_n_MPa,tau_peak_MPa,phi_deg,Ur_1,Ur_2,Ur_3,Ur_4,tau_r_1,tau_r_2,tau_r_3,tau_r_4,tau_peak_MPa_csds,u_r_mm,tau_r_MPa,tau_peak_estimated,u_r_estimated,tau_r_estimated
168.0,0.06,4.8,206.0,1.11,5.0,4.61,35.0,2,2.69,3,-,4.329,4.26,4.291,-,4.61,2.563333333333333,4.293333333333333,0,0,0
169.0,0.06,4.6,206.0,3.93,20.0,16.61,35.0,4,4.66,5,-,16.52,16.5,16.52,-,16.61,4.553333333333334,16.513333333333332,0,0,0
170.0,0.05,8.3,206.0,0.19,0.5,0.76,35.0,1,1.66,2,-,0.609,0.54,0.482,-,0.76,1.5533333333333335,0.5436666666666666,0,0,0
171.0,0.05,5.2,206.0,0.32,5.0,4.74,35.0,1,2,2.68,3,4.265,3.986,4,3.935,4.74,2.17,4.0465,0,0,0
172.0,0.05,3.2,206.0,1.88,20.0,15.76,35.0,3,4,4.52,5,15.44,15.03,14.79,14.29,15.76,4.13,14.8875,0,0,0
173.0,0.06,8.9,206.0,0.23,0.5,0.81,35.0,1,1.7,2,-,0.597,0.58,0.571,-,0.81,1.5666666666666667,0.5826666666666666,0,0,0
174.0,0.06,6.8,206.0,0.27,5.0,5.18,35.0,1,2,2.72,3,4.519,4.443,4.47,4.38,5.18,2.18,4.452999999999999,0,0,0
175.0,0.06,5.8,206.0,1.85,20.0,17.29,35.0,3,4,4.45,5,16.85,16.49,16.24,16.07,17.29,4.1125,16.4125,0,0,0
176.0,0.06,5.8,20.23,0.65,0.5,0.57,34.0,1,1.73,2,-,0.52,0.47,0.444,-,0.57,1.5766666666666669,0.478,0,0,0
177.0,0.06,2.3,20.23,1.47,5.0,3.8,34.0,2,2.9,3,-,3.654,3.59,3.604,-,3.8,2.6333333333333333,3.6159999999999997,0,0,0
178.0,0.06,0.9,20.23,2.12,20.0,13.69,34.0,3,4,4.63,5,13.46,12.95,12.7,12.75,13.69,4.1575,12.965,0,0,0
179.0,0.06,10.3,20.23,0.48,0.5,0.88,34.0,1,1.7,2,-,0.647,0.66,0.609,-,0.88,1.5666666666666667,0.6386666666666666,0,0,0
180.0,0.06,9.0,20.23,0.52,5.0,5.54,34.0,1,3,3.69,4,5.278,4.694,4.47,4.466,5.54,2.9225,4.727,0,0,0
181.0,0.06,8.2,20.23,0.9,20.0,17.84,34.0,2,4,4.7,5,16.18,14.88,14.36,14.34,17.84,3.925,14.94,0,0,0
182.0,0.05,7.4,20.23,0.22,0.5,0.66,34.0,1,1.98,-,-,0.295,0.62,-,-,0.66,1.49,0.4575,0,0,0
183.0,0.05,4.1,20.23,1.93,5.0,4.22,34.0,3,3.2,-,-,4.009,4.02,-,-,4.22,3.1,4.0145,0,0,0
184.0,0.05,3.6,20.23,3.98,20.0,15.12,34.0,4.5,5,-,-,14.99,14.71,-,-,15.12,4.75,14.850000000000001,0,0,0
185.0,0.05,12.2,20.23,0.13,0.5,1.09,34.0,1,1.7,2,-,0.66,0.53,0.444,-,1.09,1.5666666666666667,0.5446666666666667,0,0,0
186.0,0.05,7.7,20.23,0.28,5.0,5.16,34.0,1,2,2.71,3,4.225,3.844,3.61,3.578,5.16,2.1775,3.81425,0,0,0
187.0,0.05,5.3,20.23,0.7,20.0,16.09,34.0,2,4,4.52,5,13.94,11.1,10.9,10.9,16.09,3.88,11.71,0,0,0
188.0,0.06,7.1,20.23,1.1,0.5,0.64,34.0,1.9,2.22,-,-,0.59,0.596,-,-,0.64,2.06,0.593,0,0,0
189.0,0.06,6.4,20.23,3.11,5.0,4.79,34.0,3.7,4,-,-,4.48,4.377,-,-,4.79,3.85,4.4285,0,0,0
190.0,0.06,7.8,20.23,2.95,20.0,17.57,34.0,4,4.95,5.55,-,15.78,15.48,15.72,-,17.57,4.833333333333333,15.660000000000002,0,0,0
191.0,0.05,12.7,20.23,0.1,0.5,1.15,34.0,1,1.92,2,-,0.634,0.58,0.533,-,1.15,1.64,0.5823333333333333,0,0,0
192.0,0.05,7.4,20.23,0.26,5.0,5.06,34.0,1,2,3.18,-,4.352,3.743,3.05,0,5.06,2.06,2.78625,0,0,0
193.0,0.05,4.8,20.23,0.48,20.0,15.79,34.0,2,4,4.64,5,12.97,12.6,12.18,11.94,15.79,3.91,12.4225,0,0,0
194.0,0.06,10.5,20.23,0.47,0.5,0.9,34.0,1,1.68,2,-,0.749,0.63,0.596,-,0.9,1.5599999999999998,0.6583333333333333,0,0,0
195.0,0.06,9.8,20.23,0.49,5.0,5.79,34.0,1,2,2.75,3,5.189,4.223,3.86,3.73,5.79,2.1875,4.2505,0,0,0
196.0,0.06,7.7,20.23,1.09,20.0,17.51,34.0,2,4,4.44,5,16.63,13.97,14.24,14.91,17.51,3.8600000000000003,14.9375,0,0,0
197.0,0.06,11.4,20.23,0.14,0.5,0.99,34.0,1,2,2.48,2.81,0.787,0.647,0.58,0.609,0.99,2.0725,0.65575,0,0,0
198.0,0.06,8.7,20.23,0.4,5.0,5.46,34.0,1,3,3.65,4,5.188,4.365,4.18,4.06,5.46,2.9125,4.44825,0,0,0
199.0,0.06,7.3,20.23,2.66,20.0,17.29,34.0,3,4,4.96,5.53,17.1,16.66,16.15,16.05,17.29,4.3725000000000005,16.490000000000002,0,0,0
200.0,0.06,4.6,20.23,1.09,0.5,0.51,34.0,1.7,2,-,-,0.46,0.444,-,-,0.51,1.85,0.452,0,0,0
201.0,0.06,2.0,20.23,4.54,5.0,3.73,34.0,-,-,-,-,-,-,-,-,3.73,28.000180330537482,3.372542584212133,0,1,1
202.0,0.06,0.8,20.23,5.68,20.0,13.66,34.0,6,-,-,-,,13.51,-,-,13.66,6.0,13.51,0,0,0
203.0,0.15,11.0,75.0,8.16,0.4,0.64,34.0,10,15,20,-,0.562,0.454,0.432,-,0.64,15.0,0.48266666666666663,0,0,0
204.0,0.15,11.0,75.0,9.63,0.8,1.15,34.0,10,15,20,-,1.119,0.88,0.78,-,1.15,15.0,0.9263333333333333,0,0,0
205.0,0.15,11.0,75.0,8.17,1.2,1.67,34.0,10,15,20,-,1.492,1.416,1.265,-,1.67,15.0,1.391,0,0,0
206.0,0.15,11.0,75.0,7.68,1.8,2.36,34.0,10,15,20,-,2.189,2.005,1.789,-,2.36,15.0,1.9943333333333333,0,0,0
207.0,0.15,11.0,75.0,12.65,2.4,2.87,34.0,15,20,-,-,2.47,2.486,-,-,2.87,17.5,2.478,0,0,0
208.0,0.09,6.5,2.0,0.47,0.01,0.0113,32.0,2,3,4,6,0.012,0.012,0.012,0.011,0.0113,3.75,0.01175,0,0,0
209.0,0.09,7.5,2.0,0.55,0.01,0.015,32.0,2,3,4,6,0.015,0.015,0.014,0.012,0.015,3.75,0.014,0,0,0
210.0,0.09,10.6,2.0,0.73,0.01,0.017,32.0,2,3,4,6,0.017,0.016,0.015,0.014,0.017,3.75,0.0155,0,0,0
211.0,0.09,16.6,2.0,0.73,0.01,0.031,32.0,2,3,4,6,0.024,0.022,0.019,0.017,0.031,3.75,0.0205,0,0,0
212.0,0.09,6.5,2.0,0.56,0.034,0.032,32.0,2,3,5,7,0.033,0.031,0.03,0.028,0.032,4.25,0.0305,0,0,0
213.0,0.09,7.5,2.0,0.61,0.034,0.036,32.0,2,3,5,7,0.035,0.034,0.031,0.028,0.036,4.25,0.032,0,0,0
214.0,0.09,10.6,2.0,0.8,0.034,0.041,32.0,2,3,5,7,0.04,0.038,0.035,0.033,0.041,4.25,0.036500000000000005,0,0,0
215.0,0.09,16.6,2.0,0.85,0.034,0.053,32.0,2,3,5,7,0.045,0.043,0.04,0.037,0.053,4.25,0.041249999999999995,0,0,0
216.0,0.09,6.5,2.0,1.18,0.09,0.072,32.0,2,4,6,7,0.071,0.069,0.068,0.067,0.072,4.75,0.06875,0,0,0
217.0,0.09,7.5,2.0,1.07,0.09,0.082,32.0,2,4,6,7,0.079,0.075,0.072,0.071,0.082,4.75,0.07425,0,0,0
218.0,0.09,10.6,2.0,0.99,0.09,0.091,32.0,2,4,6,7,0.088,0.083,0.078,0.077,0.091,4.75,0.0815,0,0,0
219.0,0.09,16.6,2.0,1.33,0.09,0.123,32.0,2,4,6,7,0.119,0.11,0.105,0.102,0.123,4.75,0.109,0,0,0
220.0,0.06,17.5,2000.0,0.57,0.0245,0.057,32.0,2,3,4,-,0.048,0.045,0.042,-,0.057,3.0,0.045000000000000005,0,0,0
221.0,0.12,14.2,1375.5,0.74,0.0245,0.052,32.0,2,3,4,-,0.046,0.042,0.04,-,0.052,3.0,0.042666666666666665,0,0,0
222.0,0.18,12.6,1105.1,1.17,0.0245,0.042,32.0,2,3,4,6,0.039,0.039,0.036,0.034,0.042,3.75,0.037,0,0,0
223.0,0.36,10.2,760.03,2.7,0.0245,0.036,32.0,3,4,6,-,0.036,0.036,0.035,-,0.036,4.333333333333333,0.035666666666666666,0,0,0
224.0,0.06,17.5,2.0,0.75,0.0245,0.022,32.0,2,3,4,5,0.022,0.021,0.021,0.021,0.022,3.5,0.02125,0,0,0
225.0,0.12,14.2,1.799,1.15,0.0245,0.021,32.0,2,3,4,5,0.02,0.02,0.02,0.02,0.021,3.5,0.02,0,0,0
226.0,0.18,12.6,1.691,1.1,0.0245,0.02,32.0,2,3,4,5,0.02,0.019,0.019,0.019,0.02,3.5,0.01925,0,0,0
227.0,0.36,10.2,1.521,1.25,0.0245,0.019,32.0,2,3,4,5,0.019,0.019,0.018,0.019,0.019,3.5,0.01875,0,0,0
228.0,0.05,18.5,2.0,0.7,24.5,0.059,32.0,2,3,4,-,0.05,0.045,0.042,-,0.059,3.0,0.04566666666666667,0,0,0
229.0,0.1,15.0,1.361,0.8,24.5,0.039,32.0,2,3,4,6,0.041,0.038,0.037,0.035,0.039,3.75,0.03775,0,0,0
230.0,0.2,12.2,0.927,1.1,24.5,0.031,32.0,2,3,4,6,0.031,0.03,0.03,0.03,0.031,3.75,0.03025,0,0,0
231.0,0.4,9.9,0.631,1.9,24.5,0.025,32.0,2,3,4,6,0.026,0.026,0.026,0.026,0.025,3.75,0.026,0,0,0
232.0,0.1,8.7,8.5,0.6,100.0,0.103,35.0,2,3,4,-,0.112,0.118,0.121,-,0.103,3.0,0.11699999999999999,0,0,0
233.0,0.1,8.7,8.5,1.16,300.0,0.413,35.0,2,3,4,-,0.434,0.43,0.423,-,0.413,3.0,0.429,0,0,0
234.0,0.1,8.7,8.5,0.99,500.0,0.523,35.0,2,3,4,-,0.5,0.478,0.463,-,0.523,3.0,0.48033333333333333,0,0,0
235.0,0.1,8.7,8.5,1.49,1000.0,0.929,35.0,2,3,4,-,0.898,0.861,0.851,-,0.929,3.0,0.87,0,0,0
236.0,0.1,8.7,8.5,2.48,1500.0,1.278,35.0,3,4,-,-,1.257,1.192,-,-,1.278,3.5,1.2245,0,0,0
237.0,0.1,15.8,8.5,0.84,100.0,0.191,35.0,2,3,-,-,0.21,0.21,-,-,0.191,2.5,0.21,0,0,0
238.0,0.1,15.8,8.5,1.16,300.0,0.606,35.0,2,3,4,-,0.57,0.52,0.5,-,0.606,3.0,0.5299999999999999,0,0,0
239.0,0.1,15.8,8.5,2.0,500.0,0.785,35.0,3,4,-,-,0.76,0.73,-,-,0.785,3.5,0.745,0,0,0
240.0,0.1,15.8,8.5,1.84,1000.0,1.067,35.0,2,3,4,-,1.04,0.92,0.82,-,1.067,3.0,0.9266666666666667,0,0,0
241.0,0.1,15.8,8.5,2.5,1500.0,1.53,35.0,3,4,-,-,1.48,1.39,-,-,1.53,3.5,1.435,0,0,0
242.0,0.14,14.6,27.6,1.28,276.0,0.381,32.0,13,-,-,-,0.236,-,-,-,0.381,13.0,0.236,0,0,0
243.0,0.14,14.6,27.6,1.94,1380.0,1.479,32.0,13,-,-,-,1.139,-,-,-,1.479,13.0,1.139,0,0,0
244.0,0.14,14.6,27.6,2.29,2755.0,30.401,32.0,13,-,-,-,2.493,-,-,-,30.401,13.0,2.493,0,0,0
245.0,0.14,14.6,27.6,3.95,5516.0,5.488,32.0,13,-,-,-,4.171,-,-,-,5.488,13.0,4.171,0,0,0
246.0,0.1,9.9,27.6,0.34,283.3,0.306,32.0,13,-,-,-,0.104,-,-,-,0.306,13.0,0.104,0,0,0
247.0,0.1,9.9,27.6,0.55,1375.0,1.422,32.0,13,-,-,-,0.768,-,-,-,1.422,13.0,0.768,0,0,0
248.0,0.1,9.9,27.6,1.07,2749.0,2.417,32.0,13,-,-,-,1.547,-,-,-,2.417,13.0,1.547,0,0,0
249.0,0.1,9.9,27.6,1.08,5509.0,4.482,32.0,13,-,-,-,3.316,-,-,-,4.482,13.0,3.316,0,0,0
250.0,0.11,9.8,27.6,0.1,272.7,0.367,32.0,15,-,-,-,0.136,-,-,-,0.367,15.0,0.136,0,0,0
251.0,0.11,9.8,27.6,0.67,1380.0,1.297,32.0,15,-,-,-,0.843,-,-,-,1.297,15.0,0.843,0,0,0
252.0,0.11,9.8,27.6,0.78,2760.0,3.232,32.0,15,-,-,-,2.23,-,-,-,3.232,15.0,2.23,0,0,0
253.0,0.11,9.8,27.6,2.08,5512.0,4.233,32.0,15,-,-,-,3.386,-,-,-,4.233,15.0,3.386,0,0,0
254.0,0.11,15.5,27.6,0.42,275.6,0.464,32.0,15,-,-,-,0.223,-,-,-,0.464,15.0,0.223,0,0,0
255.0,0.11,15.5,27.6,1.34,1378.0,1.532,32.0,15,-,-,-,0.812,-,-,-,1.532,15.0,0.812,0,0,0
256.0,0.11,15.5,27.6,1.56,2756.0,2.845,32.0,15,-,-,-,1.821,-,-,-,2.845,15.0,1.821,0,0,0
257.0,0.11,15.5,27.6,1.9,4134.0,4.37,32.0,15,-,-,-,3.015,-,-,-,4.37,15.0,3.015,0,0,0
258.0,0.11,15.5,27.6,2.09,5512.0,55.263,32.0,15,-,-,-,3.813,-,-,-,55.263,15.0,3.813,0,0,0
259.0,0.14,27.2,10.0,0.65,1020.0,2.088,37.0,,,,,,,,,2.088,4.008836390935984,768.6251311048501,0,1,1
260.0,0.14,16.3,10.0,0.67,4130.0,3.886,37.0,,,,,,,,,3.886,4.132185202964783,3112.17822692454,0,1,1
261.0,0.14,15.0,10.0,0.67,2090.0,2.257,37.0,,,,,,,,,2.257,4.132185202964783,1574.9279647148398,0,1,1
262.0,0.14,12.9,184.0,0.48,1900.0,3.4,36.0,,,,,,,,,3.4,2.9603714886911874,1380.4308032101856,0,1,1
263.0,0.14,7.4,184.0,0.2,3520.0,4.0,36.0,,,,,,,,,4.0,1.233488120287995,2557.42969857887,0,1,1
264.0,0.14,6.7,184.0,0.31,3570.0,3.9,36.0,,,,,,,,,3.9,1.911906586446392,2593.756824979138,0,1,1
265.0,0.14,8.6,184.0,0.35,3520.0,4.3,36.0,,,,,,,,,4.3,2.1586042105039907,2557.42969857887,0,1,1
266.0,0.14,1.8,184.0,0.31,4080.0,3.3,36.0,,,,,,,,,3.3,1.911906586446392,2964.293514261872,0,1,1
267.0,0.14,9.4,184.0,0.35,2600.0,3.5,36.0,,,,,,,,,3.5,2.1586042105039907,1889.010572813938,0,1,1
268.0,0.14,13.0,87.0,0.28,870.0,1.707,36.0,,,,,,,,,1.707,1.726883368403193,632.0919993646639,0,1,1
269.0,0.14,20.5,25.0,0.5,1070.0,2.2,36.0,,,,,,,,,2.2,3.083720300719987,777.400504965736,0,1,1
270.0,0.14,19.7,25.0,0.52,1070.0,2.1,36.0,,,,,,,,,2.1,3.207069112748787,777.400504965736,0,1,1
271.0,0.14,24.1,25.0,0.53,3720.0,5.5,36.0,,,,,,,,,5.5,3.2687435187631864,2702.738204179942,0,1,1
272.0,0.14,25.7,25.0,0.31,2450.0,4.6,36.0,,,,,,,,,4.6,1.911906586446392,1780.0291936131339,0,1,1
273.0,0.14,24.4,25.0,0.24,3110.0,5.0,36.0,,,,,,,,,5.0,1.4801857443455937,2259.547262096672,0,1,1
274.0,0.14,20.2,25.0,0.37,1020.0,2.1,36.0,,,,,,,,,2.1,2.2819530225327904,741.073378565468,0,1,1
275.0,0.14,23.9,25.0,0.74,3110.0,4.9,36.0,,,,,,,,,4.9,4.563906045065581,2259.547262096672,0,1,1
276.0,0.14,18.1,173.0,0.38,2300.0,5.7,34.0,,,,,,,,,5.7,2.3436274285471903,1551.3695887375814,0,1,1
277.0,0.14,17.9,173.0,0.65,2300.0,5.6,34.0,,,,,,,,,5.6,4.008836390935984,1551.3695887375814,0,1,1
278.0,0.14,16.6,173.0,0.45,2190.0,4.8,34.0,,,,,,,,,4.8,2.7753482706479886,1477.1736518849143,0,1,1
279.0,0.14,14.2,173.0,0.62,1120.0,2.4,34.0,,,,,,,,,2.4,3.823813172892784,755.4495388635178,0,1,1
280.0,0.14,15.9,173.0,0.38,1120.0,2.9,34.0,,,,,,,,,2.9,2.3436274285471903,755.4495388635178,0,1,1
281.0,0.14,15.6,173.0,0.23,1120.0,2.8,34.0,,,,,,,,,2.8,1.4185113383311942,755.4495388635178,0,1,1
282.0,0.14,16.2,173.0,0.56,1120.0,3.0,34.0,,,,,,,,,3.0,3.453766736806386,755.4495388635178,0,1,1
283.0,0.14,3.3,184.0,0.3,2650.0,2.4,34.0,,,,,,,,,2.4,1.8502321804319921,1787.4475696324305,0,1,1
284.0,0.14,11.7,87.0,0.27,1.73,2.655,37.0,,,,,,,,,2.655,1.6652089623887931,1.3036485066778338,0,1,1
285.0,0.14,16.6,87.0,0.5,0.87,2.417,37.0,,,,,,,,,2.417,3.083720300719987,0.6555920235894309,0,1,1
286.0,0.14,13.5,87.0,0.88,3.78,5.477,37.0,,,,,,,,,5.477,5.4273477292671775,2.848434309388562,0,1,1
287.0,0.14,9.2,87.0,0.29,2.6,3.214,37.0,,,,,,,,,3.214,1.7885577744175924,1.959240530267265,0,1,1
288.0,0.14,9.0,87.0,0.44,2.6,3.179,37.0,,,,,,,,,3.179,2.7136738646335887,1.959240530267265,0,1,1
289.0,0.14,14.8,87.0,0.44,3.78,5.856,37.0,,,,,,,,,5.856,2.7136738646335887,2.848434309388562,0,1,1
290.0,0.14,15.0,87.0,0.39,383.0,5.976,37.0,,,,,,,,,5.976,2.40530183456159,288.61120118937015,0,1,1
291.0,0.14,14.3,87.0,0.42,2.6,4.293,37.0,,,,,,,,,4.293,2.590325052604789,1.959240530267265,0,1,1
292.0,0.14,13.7,87.0,0.27,0.87,1.816,37.0,,,,,,,,,1.816,1.6652089623887931,0.6555920235894309,0,1,1
293.0,0.14,16.3,87.0,0.55,1.79,3.752,37.0,,,,,,,,,3.752,3.392092330791986,1.3488617496840016,0,1,1
294.0,0.16,11.0,0.92,2.45,0.04,0.023,36.0,,,,,,,,,0.023,15.110229473527939,0.02906170112021443,0,1,1
295.0,0.16,13.0,0.92,1.2,0.03,0.0307,36.0,,,,,,,,,0.0307,7.4009287217279685,0.021796275840160823,0,1,1
296.0,0.16,13.0,0.92,2.0,0.07,0.131,36.0,,,,,,,,,0.131,12.334881202879949,0.05085797696037526,0,1,1
297.0,0.16,11.0,0.92,1.8,0.02,0.046,36.0,,,,,,,,,0.046,11.101393082591954,0.014530850560107215,0,1,1
298.0,0.05,18.5,2.0,0.7,24.5,0.059,32.0,,,,,,,,,0.059,4.317208421007981,15.309299121778523,0,1,1
299.0,0.1,15.0,1.419,0.8,24.5,0.04,32.0,,,,,,,,,0.04,4.93395248115198,15.309299121778523,0,1,1
300.0,0.2,12.2,1.007,1.1,24.5,0.031,32.0,,,,,,,,,0.031,6.784184661583972,15.309299121778523,0,1,1
301.0,0.4,9.9,0.715,1.7,24.5,0.026,32.0,,,,,,,,,0.026,10.484649022447956,15.309299121778523,0,1,1
302.0,0.06,17.5,2000.0,0.75,0.0245,0.055,32.0,,,,,,,,,0.055,4.625580451079981,0.015309299121778523,0,1,1
303.0,0.12,14.2,1404.4,0.91,0.0245,0.041,32.0,,,,,,,,,0.041,5.612370947310377,0.015309299121778523,0,1,1
304.0,0.18,12.6,1142.1,1.87,0.0245,0.046,32.0,,,,,,,,,0.046,11.533113924692753,0.015309299121778523,0,1,1
305.0,0.36,10.2,802.0,2.17,0.0245,0.042,32.0,,,,,,,,,0.042,13.383346105124744,0.015309299121778523,0,1,1
306.0,0.1,0.0,8.5,0.33,300.0,0.184,35.0,,,,,,,,,0.184,2.0352553984751918,210.06226146291291,0,1,1
307.0,0.1,0.0,8.5,0.65,500.0,0.308,35.0,,,,,,,,,0.308,4.008836390935984,350.10376910485485,0,1,1
308.0,0.1,0.0,8.5,1.96,1000.0,0.777,35.0,,,,,,,,,0.777,12.088183578822349,700.2075382097097,0,1,1
308.0,0.1,0.0,8.5,2.71,1500.0,303.0,35.0,,,,,,,,,303.0,16.71376402990233,1050.3113073145646,0,1,1
310.0,0.14,0.0,11.2,1.25,0.49,0.229,39.0,,,,,,,,,0.229,7.709300751799968,0.3967941762655534,0,1,1
311.0,0.14,0.0,11.2,1.45,0.98,1.14,39.0,,,,,,,,,1.14,8.942788872087963,0.7935883525311068,0,1,1
312.0,0.14,0.0,11.2,1.55,1.46,0.77,39.0,,,,,,,,,0.77,9.55953293223196,1.1822846884647102,0,1,1
313.0,0.14,0.0,11.2,1.55,1.95,0.57,39.0,,,,,,,,,0.57,9.55953293223196,1.5790788647302636,0,1,1
314.0,0.14,0.0,11.2,1.8,2.93,3.8,39.0,,,,,,,,,3.8,11.101393082591954,2.3726672172613705,0,1,1
315.0,0.13,0.0,11.2,0.25,0.48,0.233,33.0,,,,,,,,,0.233,1.5418601503599936,0.31171564473480506,0,1,1
316.0,0.13,0.0,11.2,1.1,0.91,1.23,33.0,,,,,,,,,1.23,6.784184661583972,0.5909609098097347,0,1,1
317.0,0.13,0.0,11.2,0.75,1.19,0.94,33.0,,,,,,,,,0.94,4.625580451079981,0.7727950359050376,0,1,1
318.0,0.13,0.0,11.2,0.9,1.8,0.62,33.0,,,,,,,,,0.62,5.550696541295977,1.168933667755519,0,1,1
319.0,0.13,0.0,11.2,1.2,2.6,0.43,33.0,,,,,,,,,0.43,7.4009287217279685,1.6884597423135277,0,1,1
320.0,0.13,0.0,11.2,1.3,3.05,3.7,33.0,,,,,,,,,3.7,8.017672781871967,1.9806931592524073,0,1,1
321.0,0.15,20.0,14.7,1.5,0.5,2.94,48.0,,,,,,,,,2.94,9.251160902159961,0.5553062574145965,0,1,1
322.0,0.15,20.0,14.7,1.7,1.0,1.47,48.0,,,,,,,,,1.47,10.484649022447956,1.110612514829193,0,1,1
323.0,0.15,20.0,14.7,1.7,2.0,7.35,48.0,,,,,,,,,7.35,10.484649022447956,2.221225029658386,0,1,1
324.0,0.15,20.0,14.7,2.2,4.0,3.675,48.0,,,,,,,,,3.675,13.568369323167945,4.442450059316772,0,1,1
325.0,0.15,20.0,14.7,2.4,6.0,2.45,48.0,,,,,,,,,2.45,14.801857443455937,6.6636750889751575,0,1,1
326.0,0.3,0.0,30.0,0.05,0.035,0.021,30.0,,,,,,,,,0.021,0.30837203007199876,0.020207259421636904,0,1,1
327.0,0.3,0.0,30.0,0.1,0.138,0.08,30.0,,,,,,,,,0.08,0.6167440601439975,0.07967433714816836,0,1,1
328.0,0.3,0.0,30.0,0.75,0.345,0.199,30.0,,,,,,,,,0.199,4.625580451079981,0.19918584287042085,0,1,1
329.0,0.3,2.0,30.0,1.2,0.035,0.024,30.0,,,,,,,,,0.024,7.4009287217279685,0.020207259421636904,0,1,1
330.0,0.3,3.0,30.0,1.1,0.035,0.025,30.0,,,,,,,,,0.025,6.784184661583972,0.020207259421636904,0,1,1
331.0,0.3,2.0,30.0,1.25,0.069,0.047,30.0,,,,,,,,,0.047,7.709300751799968,0.03983716857408418,0,1,1
332.0,0.3,3.0,30.0,1.2,0.069,0.05,30.0,,,,,,,,,0.05,7.4009287217279685,0.03983716857408418,0,1,1
333.0,0.3,2.0,30.0,1.6,0.138,0.093,30.0,,,,,,,,,0.093,9.86790496230396,0.07967433714816836,0,1,1
334.0,0.3,3.0,30.0,2.5,0.138,0.1,30.0,,,,,,,,,0.1,15.418601503599936,0.07967433714816836,0,1,1
335.0,0.3,2.0,30.0,1.8,0.345,0.233,30.0,,,,,,,,,0.233,11.101393082591954,0.19918584287042085,0,1,1
336.0,0.3,3.0,30.0,4.0,0.345,0.251,30.0,,,,,,,,,0.251,24.669762405759897,0.19918584287042085,0,1,1
337.0,0.06,17.5,2.0,1.13,0.0245,0.045,32.0,,,,,,,,,0.045,6.96920787962717,0.015309299121778523,0,1,1
338.0,0.12,14.2,1.4,1.74,0.0245,0.033,32.0,,,,,,,,,0.033,10.731346646505555,0.015309299121778523,0,1,1
339.0,0.18,12.6,1.14,2.13,0.0245,0.035,32.0,,,,,,,,,0.035,13.136648481067144,0.015309299121778523,0,1,1
340.0,0.36,10.2,0.8,3.5,0.0245,0.026,32.0,,,,,,,,,0.026,21.58604210503991,0.015309299121778523,0,1,1
341.0,0.06,17.5,2.0,1.13,0.0245,0.055,32.0,,,,,,,,,0.055,6.96920787962717,0.015309299121778523,0,1,1
342.0,0.12,14.2,1.48,1.22,0.0245,0.039,32.0,,,,,,,,,0.039,7.524277533756768,0.015309299121778523,0,1,1
343.0,0.18,12.6,1.24,1.45,0.0245,0.034,32.0,,,,,,,,,0.034,8.942788872087963,0.015309299121778523,0,1,1
344.0,0.36,10.2,0.917,2.17,0.0245,0.028,32.0,,,,,,,,,0.028,13.383346105124744,0.015309299121778523,0,1,1
345.0,0.06,17.5,2.0,0.6,0.0245,0.062,32.0,,,,,,,,,0.062,3.7004643608639842,0.015309299121778523,0,1,1
346.0,0.12,14.2,1.464,0.7,0.0245,0.05,32.0,,,,,,,,,0.05,4.317208421007981,0.015309299121778523,0,1,1
347.0,0.18,12.6,1.22,0.9,0.0245,0.034,32.0,,,,,,,,,0.034,5.550696541295977,0.015309299121778523,0,1,1
348.0,0.36,10.2,0.893,1.8,0.0245,0.027,32.0,,,,,,,,,0.027,11.101393082591954,0.015309299121778523,0,1,1
349.0,0.06,17.5,2.0,1.13,0.0245,0.043,32.0,,,,,,,,,0.043,6.96920787962717,0.015309299121778523,0,1,1
350.0,0.12,14.2,1.511,1.37,0.0245,0.041,32.0,,,,,,,,,0.041,8.449393623972766,0.015309299121778523,0,1,1
351.0,0.18,12.6,1.282,1.67,0.0245,0.032,32.0,,,,,,,,,0.032,10.299625804404757,0.015309299121778523,0,1,1
352.0,0.36,10.2,0.968,2.91,0.0245,0.03,32.0,,,,,,,,,0.03,17.947252150190327,0.015309299121778523,0,1,1
353.0,0.06,17.5,2.0,0.9,0.0245,0.037,32.0,,,,,,,,,0.037,5.550696541295977,0.015309299121778523,0,1,1
354.0,0.12,14.2,1.558,1.05,0.0245,0.032,32.0,,,,,,,,,0.032,6.475812631511974,0.015309299121778523,0,1,1
355.0,0.18,12.6,1.347,1.15,0.0245,0.028,32.0,,,,,,,,,0.028,7.09255669165597,0.015309299121778523,0,1,1
356.0,0.36,10.2,1.049,1.4,0.0245,0.024,32.0,,,,,,,,,0.024,8.634416842015963,0.015309299121778523,0,1,1
357.0,0.06,17.5,2.0,0.75,0.0245,0.028,32.0,,,,,,,,,0.028,4.625580451079981,0.015309299121778523,0,1,1
358.0,0.12,14.2,1.694,1.15,0.0245,0.026,32.0,,,,,,,,,0.026,7.09255669165597,0.015309299121778523,0,1,1
359.0,0.18,12.6,1.537,1.1,0.0245,0.024,32.0,,,,,,,,,0.024,6.784184661583972,0.015309299121778523,0,1,1
360.0,0.36,10.2,1.301,1.2,0.0245,0.022,32.0,,,,,,,,,0.022,7.4009287217279685,0.015309299121778523,0,1,1
361.0,0.14,17.0,74.0,0.4,1940.0,4.334,39.0,,,,,,,,,4.334,2.46697624057599,1570.9810243983136,0,1,1
