No,L_m,JRC,JCS_MPa,delta_peak_mm,sigma_n_MPa,tau_peak_MPa,phi_deg,Ur_1,Ur_2,Ur_3,Ur_4,tau_r_1,tau_r_2,tau_r_3,tau_r_4,tau_peak_MPa_csds,u_r_mm,tau_r_MPa,tau_peak_estimated,u_r_estimated,tau_r_estimated
35.0,0.06,7.3,184.0,0.47,5.0,4.91,33.0,1,2,2.8,3,4.73,4.27,4,4,4.91,2.2,4.25,0,0,0
36.0,0.06,3.8,184.0,1.48,20.0,14.91,33.0,2,3,4.5,5,15.06,14.46,13.84,13.58,14.91,3.625,14.235,0,0,0
37.0,0.06,10.8,184.0,0.11,0.5,0.89,33.0,0.6,1,1.7,2,0.66,0.57,0.52,0.5,0.89,1.325,0.5625,0,0,0
38.0,0.06,8.7,184.0,0.26,5.0,5.3,33.0,1,2,2.7,3,4.6,4,3.9,3.9,5.3,2.175,4.1,0,0,0
39.0,0.06,5.7,184.0,0.54,20.0,15.9,33.0,1,3,4.4,5,15.35,14.46,14.12,13.94,15.9,3.35,14.4675,0,0,0
40.0,0.06,10.7,184.0,0.3,0.5,0.88,33.0,0.7,1,1.7,2,0.69,0.63,0.61,0.61,0.88,1.35,0.635,0,0,0
41.0,0.06,8.4,184.0,0.38,5.0,5.2,33.0,1,2,2.7,3,4.46,4.56,4.29,4.28,5.2,2.175,4.3975,0,0,0
42.0,0.06,6.4,184.0,0.71,20.0,16.28,33.0,1,3,4.4,5,15.84,15.36,14.15,14,16.28,3.35,14.8375,0,0,0
43.0,0.07,6.3,184.0,0.88,0.5,0.58,33.0,1,1.2,1.7,2,0.59,0.53,0.52,0.5,0.58,1.475,0.535,0,0,0
44.0,0.07,3.1,184.0,1.5,5.0,3.89,33.0,2,2.3,3,3.2,3.73,3.72,3.53,3.55,3.89,2.625,3.6325,0,0,0
45.0,0.07,1.4,184.0,2.87,20.0,13.67,33.0,3,4,4.4,5,13.77,13.28,13.22,13.41,13.67,4.1,13.42,0,0,0
46.0,0.06,9.1,172.0,0.79,0.5,0.8,35.0,1,1.3,1.7,2,0.69,0.69,0.64,0.64,0.8,1.5,0.665,0,0,0
47.0,0.06,6.7,172.0,0.6,5.0,5.04,35.0,1,2,2.7,3,4.99,4.67,4.6,4.36,5.04,2.175,4.655,0,0,0
48.0,0.06,4.6,172.0,2.37,20.0,16.38,35.0,3,4,4.5,5,15.43,14.51,14.14,13.39,16.38,4.125,14.3675,0,0,0
49.0,0.06,5.3,172.0,1.46,5.0,4.68,35.0,2,2.7,3,-,4.19,4.05,4.08,-,4.68,2.566666666666667,4.1066666666666665,0,0,0
50.0,0.06,2.1,172.0,4.16,20.0,15.04,35.0,4.5,5,-,-,14.86,14.69,-,-,15.04,4.75,14.774999999999999,0,0,0
51.0,0.06,10.6,172.0,1.26,0.5,0.94,35.0,1.7,2,-,-,0.79,0.78,-,-,0.94,1.85,0.785,0,0,0
52.0,0.06,3.1,172.0,3.13,20.0,15.58,35.0,4,4.4,5,-,14.89,14.84,14.65,-,15.58,4.466666666666667,14.793333333333335,0,0,0
53.0,0.07,7.8,172.0,1.15,0.5,0.71,35.0,1.7,2,-,-,0.65,0.65,-,-,0.71,1.85,0.65,0,0,0
54.0,0.07,5.3,172.0,0.35,5.0,4.68,35.0,1,2,2.7,3,4.34,4.33,4.11,4.04,4.68,2.175,4.205,0,0,0
55.0,0.07,4.3,172.0,0.63,20.0,16.18,35.0,2,4,4.4,5,14.84,14.44,14.39,13.79,16.18,3.85,14.365,0,0,0
56.0,0.06,9.9,172.0,0.45,0.5,0.87,35.0,1,1.7,2,-,0.71,0.64,0.56,-,0.87,1.5666666666666667,0.6366666666666667,0,0,0
57.0,0.06,7.8,172.0,0.58,5.0,5.35,35.0,1,2,2.7,3,4.98,4.46,4.17,4.07,5.35,2.175,4.42,0,0,0
58.0,0.06,4.4,172.0,0.94,20.0,16.28,35.0,2,4,4.5,5,15.01,13.96,13.71,13.06,16.28,3.875,13.935,0,0,0
59.0,0.07,10.9,175.0,0.13,0.5,0.97,35.0,1,1.7,2,-,0.8,0.82,0.79,-,0.97,1.5666666666666667,0.8033333333333333,0,0,0
60.0,0.07,7.3,175.0,2.38,5.0,5.22,35.0,2.7,3,-,-,4.93,4.75,-,-,5.22,2.85,4.84,0,0,0
61.0,0.07,5.6,175.0,2.68,20.0,16.95,35.0,3,4,4.5,5,16.44,15.61,15.4,14.7,16.95,4.125,15.5375,0,0,0
62.0,0.06,11.8,268.7,0.71,0.5,1.14,34.0,1,1.8,2,-,1.04,0.91,0.79,-,1.14,1.5999999999999999,0.9133333333333334,0,0,0
63.0,0.06,6.5,268.7,0.76,5.0,5.03,34.0,1,2,2.8,3,4.92,4.7,4.56,4.54,5.03,2.2,4.68,0,0,0
64.0,0.06,3.9,268.7,2.73,20.0,15.88,34.0,3,4,4.5,5,15.2,13.68,13.63,13.37,15.88,4.125,13.969999999999999,0,0,0
65.0,0.06,13.4,268.7,0.63,0.5,1.42,34.0,1,1.7,2,-,1.14,0.93,0.85,-,1.42,1.5666666666666667,0.9733333333333333,0,0,0
66.0,0.06,6.4,268.7,0.34,5.0,5.0,34.0,1,2,2.7,3,4.33,4.12,4.23,4.28,5.0,2.175,4.24,0,0,0
67.0,0.06,2.4,268.7,3.13,20.0,14.91,34.0,4,4.6,5,-,14.73,14.59,14.47,-,14.91,4.533333333333333,14.596666666666666,0,0,0
68.0,0.06,8.4,250.0,0.49,0.5,0.79,35.0,1,1.7,2,-,0.61,0.65,0.63,-,0.79,1.5666666666666667,0.63,0,0,0
69.0,0.06,6.0,250.0,1.69,5.0,5.04,35.0,2,2.7,3,-,4.54,4.41,4.33,-,5.04,2.566666666666667,4.426666666666667,0,0,0
70.0,0.06,3.9,250.0,3.12,20.0,16.37,35.0,4,4.4,5,-,15.37,15.15,14.97,-,16.37,4.466666666666667,15.163333333333334,0,0,0
71.0,0.05,9.3,250.0,0.18,0.5,0.87,35.0,1,1.7,2,-,0.61,0.61,0.58,-,0.87,1.5666666666666667,0.6,0,0,0
72.0,0.05,6.2,250.0,0.42,5.0,5.1,35.0,1,2,2.7,3,4.5,3.88,3.66,3.49,5.1,2.175,3.8825000000000003,0,0,0
73.0,0.05,2.0,250.0,1.09,20.0,15.19,35.0,2,4,4.4,5,14.11,13.3,12.97,12.83,15.19,3.85,13.3025,0,0,0
74.0,0.05,6.6,250.0,0.47,0.5,0.66,35.0,1,1.7,2,-,0.58,0.5,0.44,-,0.66,1.5666666666666667,0.5066666666666667,0,0,0
75.0,0.05,3.1,250.0,0.57,5.0,4.24,35.0,1,2,2.7,3,3.92,3.95,4.1,4.08,4.24,2.175,4.0125,0,0,0
76.0,0.05,1.5,250.0,4.13,20.0,14.9,35.0,4.4,5,-,-,13.3,13.27,-,-,14.9,4.7,13.285,0,0,0
77.0,0.05,9.4,250.0,0.18,0.5,0.88,35.0,1,1.7,2,-,0.53,0.52,0.44,-,0.88,1.5666666666666667,0.49666666666666665,0,0,0
78.0,0.05,3.6,250.0,1.25,5.0,4.37,35.0,2,2.7,3,-,3.84,3.76,3.71,-,4.37,2.566666666666667,3.7699999999999996,0,0,0
79.0,0.05,1.1,250.0,3.62,20.0,14.62,35.0,4,4.5,5,-,13.76,14,13.77,-,14.62,4.5,13.843333333333334,0,0,0
80.0,0.06,13.4,185.0,0.11,0.5,1.04,30.0,1,1.69,2,-,0.57,0.49,0.442,-,1.04,1.5633333333333332,0.5006666666666667,0,0,0
81.0,0.06,8.8,185.0,0.23,5.0,4.79,30.0,1,2,2.71,3,3.981,3.48,3.36,3.374,4.79,2.1775,3.54875,0,0,0
82.0,0.06,5.4,185.0,0.39,20.0,14.13,30.0,2,4,4.71,5,13.62,12.93,12.72,12.45,14.13,3.9275,12.93,0,0,0
83.0,0.06,10.2,185.0,0.21,0.5,0.75,30.0,1,1.67,2,,0.5,0.53,0.439,,0.75,1.5566666666666666,0.4896666666666667,0,0,0
84.0,0.06,7.8,185.0,1.52,5.0,4.53,30.0,2,2.38,-,-,3.91,4.05,-,-,4.53,2.19,3.98,0,0,0
