sample_id,delta_peak_mm,tau_peak_MPa_csds,u_r_mm,tau_r_MPa,tau_peak_estimated,u_r_estimated,tau_r_estimated
118,0.84,14.83,3.88,12.9825,0,0,0
119,0.05,1.06,1.5533333333333337,0.4603333333333333,0,0,0
120,0.24,5.34,2.1675,3.634,0,0,0
121,0.58,15.72,3.8475,12.52,0,0,0
122,0.16,1.46,1.7866666666666664,0.5153333333333333,0,0,0
123,0.34,5.86,2.19,3.70375,0,0,0
124,0.72,15.23,3.9025,13.1975,0,0,0
125,0.13,0.83,1.5766666666666669,0.5316666666666667,0,0,0
126,0.33,4.91,2.195,4.2615,0,0,0
127,2.99,16.39,4.513333333333333,14.923333333333332,0,0,0
128,0.22,1.38,1.5666666666666669,0.6789999999999999,0,0,0
129,0.39,6.11,2.18,4.593,0,0,0
130,2.78,17.18,4.13,15.5675,0,0,0
131,0.3,0.69,1.57,0.4403333333333333,0,0,0
132,0.38,4.61,2.2025,3.49275,0,0,0
133,0.58,14.25,3.89,12.71,0,0,0
134,0.29,0.81,1.5933333333333335,0.6846666666666668,0,0,0
135,0.42,4.74,2.1925,4.255,0,0,0
136,2.48,15.4,4.18,14.19,0,0,0
137,1.18,0.63,1.85,0.575,0,0,0
138,0.99,4.93,2.603333333333333,4.496666666666667,0,0,0
139,1.92,17.14,4.2125,16.56,0,0,0
140,0.42,0.83,1.7400000000000002,0.4525,0,0,0
141,1.23,4.22,2.5733333333333337,4.026666666666666,0,0,0
142,1.79,15.01,4.84,14.9025,0,0,0
143,0.33,0.58,1.5733333333333333,0.4766666666666666,0,0,0
144,0.43,4.53,2.1725,3.8975,0,0,0
145,3.33,14.77,4.496666666666667,14.159999999999998,0,0,0
146,0.13,0.68,1.5599999999999998,0.5633333333333334,0,0,0
147,1.84,4.39,3.1775,3.69,0,0,0
148,2.23,15.49,4.3775,14.875,0,0,0
149,0.18,0.96,1.5599999999999998,0.5433333333333333,0,0,0
150,0.4,5.29,2.175,4.25,0,0,0
151,0.99,15.85,3.6125,14.965,0,0,0
152,1.16,0.64,1.9,0.54,0,0,0
153,1.3,4.2,2.566666666666667,3.9333333333333336,0,0,0
154,5.1,14.28,31.453947067343865,13.490170336848532,0,1,1
155,0.56,0.58,1.5599999999999998,0.4766666666666666,0,0,0
156,0.67,4.06,2.1775,3.745,0,0,0
157,1.32,14.36,3.9,13.5925,0,0,0
158,0.17,1.0,1.6233333333333333,0.5720000000000001,0,0,0
159,0.32,5.06,2.1825,4.11975,0,0,0
160,1.07,14.3,3.895,13.0025,0,0,0
161,0.1,0.85,1.5666666666666669,0.5843333333333334,0,0,0
162,0.24,6.09,2.175,4.409,0,0,0
163,0.5,16.89,3.8625,15.2325,0,0,0
164,0.07,0.85,1.5566666666666666,0.5843333333333334,0,0,0
165,0.23,5.85,2.1675,4.43275,0,0,0
166,0.75,16.87,3.8625,15.795,0,0,0
167,0.17,0.8,1.5599999999999998,0.5579999999999999,0,0,0
168,1.11,4.61,2.563333333333333,4.293333333333333,0,0,0
169,3.93,16.61,4.553333333333334,16.513333333333332,0,0,0
170,0.19,0.76,1.5533333333333337,0.5436666666666666,0,0,0
171,0.32,4.74,2.17,4.0465,0,0,0
172,1.88,15.76,4.13,14.8875,0,0,0
173,0.23,0.81,1.5666666666666669,0.5826666666666666,0,0,0
174,0.27,5.18,2.18,4.452999999999999,0,0,0
175,1.85,17.29,4.1125,16.4125,0,0,0
176,0.65,0.57,1.5766666666666669,0.478,0,0,0
177,1.47,3.8,2.6333333333333333,3.616,0,0,0
178,2.12,13.69,4.1575,12.965,0,0,0
179,0.48,0.88,1.5666666666666669,0.6386666666666666,0,0,0
180,0.52,5.54,2.9225,4.727,0,0,0
181,0.9,17.84,3.925,14.94,0,0,0
182,0.22,0.66,1.49,0.4575,0,0,0
183,1.93,4.22,3.1,4.0145,0,0,0
184,3.98,15.12,4.75,14.85,0,0,0
185,0.13,1.09,1.5666666666666669,0.5446666666666667,0,0,0
186,0.28,5.16,2.1775,3.81425,0,0,0
187,0.7,16.09,3.88,11.71,0,0,0
188,1.1,0.64,2.06,0.593,0,0,0
189,3.11,4.79,3.85,4.4285,0,0,0
190,2.95,17.57,4.833333333333333,15.660000000000002,0,0,0
191,0.1,1.15,1.64,0.5823333333333333,0,0,0
192,0.26,5.06,2.06,2.78625,0,0,0
193,0.48,15.79,3.91,12.4225,0,0,0
194,0.47,0.9,1.5599999999999998,0.6583333333333333,0,0,0
195,0.49,5.79,2.1875,4.2505,0,0,0
196,1.09,17.51,3.86,14.9375,0,0,0
197,0.14,0.99,2.0725,0.65575,0,0,0
198,0.4,5.46,2.9125,4.44825,0,0,0
199,2.66,17.29,4.3725000000000005,16.490000000000002,0,0,0
200,1.09,0.51,1.85,0.452,0,0,0
201,4.54,3.73,28.00018033053748,3.372542584212133,0,1,1
202,5.68,13.66,6.0,13.51,0,0,0
