Dataset,Selection_Mode,Rank_in_saved_results,Feature,Coefficient_in_log_e_minus_c_equation
LOW_1,log_gap,1,delta_peak_mm,-0.2479084017578428
LOW_1,log_gap,1,tau_r_MPa,-0.6429730770402019
LOW_1,log_gap,1,u_p_div_u_r,-4.596175238372872
LOW_1,log_gap,1,tau_r_div_tau_p,1.6849442395640597
LOW_1,log_gap,1,u_r_div_tau_r,-0.00122034549398806
LOW_1,log_gap,1,tau_r_div_u_p,0.36589989288853086
LOW_1,log_gap,2,delta_peak_mm,-0.27689661213335637
LOW_1,log_gap,2,tau_r_MPa,-0.45924149062643865
LOW_1,log_gap,2,u_p_div_u_r,-4.828540922086472
LOW_1,log_gap,2,tau_r_div_tau_p,2.220975825294652
LOW_1,log_gap,2,u_r_div_tau_r,-0.0009923557783413528
LOW_1,log_gap,2,tau_p_div_u_p,0.1946608986721086
LOW_1,log_gap,3,delta_peak_mm,-0.5404677350788918
LOW_1,log_gap,3,tau_r_MPa,-0.6026593023778506
LOW_1,log_gap,3,u_p_x_tau_p,0.13499939925165186
LOW_1,log_gap,3,u_p_div_u_r,-4.479750055432956
LOW_1,log_gap,3,tau_r_div_tau_p,2.6942852403919093
LOW_1,log_gap,3,tau_p_div_u_p,0.21224579604901828
LOW_1,log_gap,4,delta_peak_mm,-0.246887818117001
LOW_1,log_gap,4,tau_r_MPa,-0.6498483334613206
LOW_1,log_gap,4,u_p_div_u_r,-4.766305903544485
LOW_1,log_gap,4,tau_r_div_tau_p,2.0940611207004345
LOW_1,log_gap,4,u_r_div_tau_p,-0.0021294575512772617
LOW_1,log_gap,4,tau_r_div_u_p,0.37076094549008687
LOW_1,log_gap,5,delta_peak_mm,-0.5428230650962257
LOW_1,log_gap,5,tau_r_MPa,-0.7483471199574944
LOW_1,log_gap,5,u_p_x_tau_r,0.1739997921300118
LOW_1,log_gap,5,u_p_div_u_r,-4.219886760717684
LOW_1,log_gap,5,tau_r_div_tau_p,2.1344701552858627
LOW_1,log_gap,5,tau_r_div_u_p,0.39592680067939323
