Dataset,Rank_in_saved_results,N_Input_Features,Input_Features,Equation_log_e_minus_c_scaled_space,Equation_e_scaled_space,Saved_R2_val_z,Saved_R2_cv_mean_z,Saved_R2_val_e,Saved_RMSE_val_e,Saved_Selection_Score
LOW_1,1,6,delta_peak_mm + tau_r_MPa + u_r_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r,log(e-c) = 0.3524459583 - 1.0220140417*delta_peak_mm - 0.3064134646*tau_r_MPa - 0.1482713887*u_r_x_tau_r - 1.4872002148*u_p_div_u_r + 0.8128494139*tau_r_div_tau_p + 0.5946060347*tau_p_div_u_r + 0.1130535441*delta_peak_mm^2 + 0.3036260999*delta_peak_mm tau_r_MPa - 0.3084209274*delta_peak_mm u_r_x_tau_r + 0.0872346349*delta_peak_mm u_p_div_u_r + 0.0529236478*delta_peak_mm tau_r_div_tau_p - 0.1025718290*delta_peak_mm tau_p_div_u_r + 0.1024595260*tau_r_MPa^2 + 0.0887358707*tau_r_MPa u_r_x_tau_r - 0.0386605073*tau_r_MPa u_p_div_u_r - 0.3118785772*tau_r_MPa tau_r_div_tau_p - 0.0741818541*tau_r_MPa tau_p_div_u_r - 0.0536357664*u_r_x_tau_r^2 + 0.1533561892*u_r_x_tau_r u_p_div_u_r + 0.1877710264*u_r_x_tau_r tau_r_div_tau_p - 0.4376370156*u_r_x_tau_r tau_p_div_u_r + 0.0703948189*u_p_div_u_r^2 + 0.4581504756*u_p_div_u_r tau_r_div_tau_p - 0.2079284035*u_p_div_u_r tau_p_div_u_r + 0.1060329201*tau_r_div_tau_p^2 + 0.3251074744*tau_r_div_tau_p tau_p_div_u_r - 0.0548671327*tau_p_div_u_r^2,e = c + exp(0.3524459583 - 1.0220140417*delta_peak_mm - 0.3064134646*tau_r_MPa - 0.1482713887*u_r_x_tau_r - 1.4872002148*u_p_div_u_r + 0.8128494139*tau_r_div_tau_p + 0.5946060347*tau_p_div_u_r + 0.1130535441*delta_peak_mm^2 + 0.3036260999*delta_peak_mm tau_r_MPa - 0.3084209274*delta_peak_mm u_r_x_tau_r + 0.0872346349*delta_peak_mm u_p_div_u_r + 0.0529236478*delta_peak_mm tau_r_div_tau_p - 0.1025718290*delta_peak_mm tau_p_div_u_r + 0.1024595260*tau_r_MPa^2 + 0.0887358707*tau_r_MPa u_r_x_tau_r - 0.0386605073*tau_r_MPa u_p_div_u_r - 0.3118785772*tau_r_MPa tau_r_div_tau_p - 0.0741818541*tau_r_MPa tau_p_div_u_r - 0.0536357664*u_r_x_tau_r^2 + 0.1533561892*u_r_x_tau_r u_p_div_u_r + 0.1877710264*u_r_x_tau_r tau_r_div_tau_p - 0.4376370156*u_r_x_tau_r tau_p_div_u_r + 0.0703948189*u_p_div_u_r^2 + 0.4581504756*u_p_div_u_r tau_r_div_tau_p - 0.2079284035*u_p_div_u_r tau_p_div_u_r + 0.1060329201*tau_r_div_tau_p^2 + 0.3251074744*tau_r_div_tau_p tau_p_div_u_r - 0.0548671327*tau_p_div_u_r^2),0.9831527487310326,0.9429610319142137,0.9841204207649572,0.6978026840325078,1.3917086374538088
LOW_1,2,6,delta_peak_mm + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r + sigma_n_div_tau_r,log(e-c) = 0.4995871615 - 1.0216879855*delta_peak_mm - 0.2823484153*tau_r_MPa - 1.2878977002*u_p_div_u_r + 0.7258104732*tau_r_div_tau_p + 0.5191313048*tau_p_div_u_r + 0.0502888902*sigma_n_div_tau_r - 0.0414859558*delta_peak_mm^2 - 0.0257698111*delta_peak_mm tau_r_MPa + 0.2342175862*delta_peak_mm u_p_div_u_r + 0.0614808982*delta_peak_mm tau_r_div_tau_p - 0.1575642216*delta_peak_mm tau_p_div_u_r - 0.2383618787*delta_peak_mm sigma_n_div_tau_r + 0.0544096111*tau_r_MPa^2 + 0.1452943056*tau_r_MPa u_p_div_u_r - 0.0989377933*tau_r_MPa tau_r_div_tau_p - 0.1619239955*tau_r_MPa tau_p_div_u_r + 0.0624743781*tau_r_MPa sigma_n_div_tau_r + 0.0730253672*u_p_div_u_r^2 + 0.2169226450*u_p_div_u_r tau_r_div_tau_p - 0.4066697313*u_p_div_u_r tau_p_div_u_r + 0.0800857209*u_p_div_u_r sigma_n_div_tau_r + 0.1114886334*tau_r_div_tau_p^2 + 0.2380577759*tau_r_div_tau_p tau_p_div_u_r - 0.1435182162*tau_r_div_tau_p sigma_n_div_tau_r - 0.0373831873*tau_p_div_u_r^2 - 0.2792796424*tau_p_div_u_r sigma_n_div_tau_r - 0.0683452862*sigma_n_div_tau_r^2,e = c + exp(0.4995871615 - 1.0216879855*delta_peak_mm - 0.2823484153*tau_r_MPa - 1.2878977002*u_p_div_u_r + 0.7258104732*tau_r_div_tau_p + 0.5191313048*tau_p_div_u_r + 0.0502888902*sigma_n_div_tau_r - 0.0414859558*delta_peak_mm^2 - 0.0257698111*delta_peak_mm tau_r_MPa + 0.2342175862*delta_peak_mm u_p_div_u_r + 0.0614808982*delta_peak_mm tau_r_div_tau_p - 0.1575642216*delta_peak_mm tau_p_div_u_r - 0.2383618787*delta_peak_mm sigma_n_div_tau_r + 0.0544096111*tau_r_MPa^2 + 0.1452943056*tau_r_MPa u_p_div_u_r - 0.0989377933*tau_r_MPa tau_r_div_tau_p - 0.1619239955*tau_r_MPa tau_p_div_u_r + 0.0624743781*tau_r_MPa sigma_n_div_tau_r + 0.0730253672*u_p_div_u_r^2 + 0.2169226450*u_p_div_u_r tau_r_div_tau_p - 0.4066697313*u_p_div_u_r tau_p_div_u_r + 0.0800857209*u_p_div_u_r sigma_n_div_tau_r + 0.1114886334*tau_r_div_tau_p^2 + 0.2380577759*tau_r_div_tau_p tau_p_div_u_r - 0.1435182162*tau_r_div_tau_p sigma_n_div_tau_r - 0.0373831873*tau_p_div_u_r^2 - 0.2792796424*tau_p_div_u_r sigma_n_div_tau_r - 0.0683452862*sigma_n_div_tau_r^2),0.9845820643298874,0.9331841546617344,0.9795446704227988,0.791983950807739,1.388465641871245
LOW_1,3,5,delta_peak_mm + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r,log(e-c) = 0.4039896526 - 1.0138246037*delta_peak_mm - 0.3227377164*tau_r_MPa - 1.4652715773*u_p_div_u_r + 0.8219299452*tau_r_div_tau_p + 0.6139992698*tau_p_div_u_r - 0.0072659667*delta_peak_mm^2 - 0.0034865822*delta_peak_mm tau_r_MPa + 0.2422835006*delta_peak_mm u_p_div_u_r + 0.1192797402*delta_peak_mm tau_r_div_tau_p - 0.1833344493*delta_peak_mm tau_p_div_u_r + 0.0419963763*tau_r_MPa^2 + 0.0263589311*tau_r_MPa u_p_div_u_r - 0.1289867356*tau_r_MPa tau_r_div_tau_p - 0.1350983536*tau_r_MPa tau_p_div_u_r + 0.0436265464*u_p_div_u_r^2 + 0.4028452256*u_p_div_u_r tau_r_div_tau_p - 0.2026707332*u_p_div_u_r tau_p_div_u_r + 0.1002398275*tau_r_div_tau_p^2 + 0.2627882016*tau_r_div_tau_p tau_p_div_u_r - 0.0354287826*tau_p_div_u_r^2,e = c + exp(0.4039896526 - 1.0138246037*delta_peak_mm - 0.3227377164*tau_r_MPa - 1.4652715773*u_p_div_u_r + 0.8219299452*tau_r_div_tau_p + 0.6139992698*tau_p_div_u_r - 0.0072659667*delta_peak_mm^2 - 0.0034865822*delta_peak_mm tau_r_MPa + 0.2422835006*delta_peak_mm u_p_div_u_r + 0.1192797402*delta_peak_mm tau_r_div_tau_p - 0.1833344493*delta_peak_mm tau_p_div_u_r + 0.0419963763*tau_r_MPa^2 + 0.0263589311*tau_r_MPa u_p_div_u_r - 0.1289867356*tau_r_MPa tau_r_div_tau_p - 0.1350983536*tau_r_MPa tau_p_div_u_r + 0.0436265464*u_p_div_u_r^2 + 0.4028452256*u_p_div_u_r tau_r_div_tau_p - 0.2026707332*u_p_div_u_r tau_p_div_u_r + 0.1002398275*tau_r_div_tau_p^2 + 0.2627882016*tau_r_div_tau_p tau_p_div_u_r - 0.0354287826*tau_p_div_u_r^2),0.9801866871747352,0.9207866310213874,0.9848689053457438,0.6811587099462916,1.386435563728889
LOW_1,4,6,delta_peak_mm + tau_r_MPa + u_r_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_r,log(e-c) = 0.4167044450 - 0.9306632549*delta_peak_mm - 0.2645841483*tau_r_MPa - 0.1212879696*u_r_x_tau_p - 1.4386007797*u_p_div_u_r + 0.7210299417*tau_r_div_tau_p + 0.6136893527*tau_p_div_u_r + 0.1003625985*delta_peak_mm^2 + 0.3095834401*delta_peak_mm tau_r_MPa - 0.3722609286*delta_peak_mm u_r_x_tau_p + 0.0806792019*delta_peak_mm u_p_div_u_r + 0.0555963607*delta_peak_mm tau_r_div_tau_p - 0.0353356427*delta_peak_mm tau_p_div_u_r + 0.0861398814*tau_r_MPa^2 + 0.0852866583*tau_r_MPa u_r_x_tau_p - 0.0446258928*tau_r_MPa u_p_div_u_r - 0.2844525186*tau_r_MPa tau_r_div_tau_p - 0.0674453144*tau_r_MPa tau_p_div_u_r - 0.0444458220*u_r_x_tau_p^2 + 0.2166028420*u_r_x_tau_p u_p_div_u_r - 0.0184903525*u_r_x_tau_p tau_r_div_tau_p - 0.4588540618*u_r_x_tau_p tau_p_div_u_r + 0.0795203932*u_p_div_u_r^2 + 0.3940563673*u_p_div_u_r tau_r_div_tau_p - 0.2453380705*u_p_div_u_r tau_p_div_u_r + 0.1373597174*tau_r_div_tau_p^2 + 0.2906480923*tau_r_div_tau_p tau_p_div_u_r - 0.0557079283*tau_p_div_u_r^2,e = c + exp(0.4167044450 - 0.9306632549*delta_peak_mm - 0.2645841483*tau_r_MPa - 0.1212879696*u_r_x_tau_p - 1.4386007797*u_p_div_u_r + 0.7210299417*tau_r_div_tau_p + 0.6136893527*tau_p_div_u_r + 0.1003625985*delta_peak_mm^2 + 0.3095834401*delta_peak_mm tau_r_MPa - 0.3722609286*delta_peak_mm u_r_x_tau_p + 0.0806792019*delta_peak_mm u_p_div_u_r + 0.0555963607*delta_peak_mm tau_r_div_tau_p - 0.0353356427*delta_peak_mm tau_p_div_u_r + 0.0861398814*tau_r_MPa^2 + 0.0852866583*tau_r_MPa u_r_x_tau_p - 0.0446258928*tau_r_MPa u_p_div_u_r - 0.2844525186*tau_r_MPa tau_r_div_tau_p - 0.0674453144*tau_r_MPa tau_p_div_u_r - 0.0444458220*u_r_x_tau_p^2 + 0.2166028420*u_r_x_tau_p u_p_div_u_r - 0.0184903525*u_r_x_tau_p tau_r_div_tau_p - 0.4588540618*u_r_x_tau_p tau_p_div_u_r + 0.0795203932*u_p_div_u_r^2 + 0.3940563673*u_p_div_u_r tau_r_div_tau_p - 0.2453380705*u_p_div_u_r tau_p_div_u_r + 0.1373597174*tau_r_div_tau_p^2 + 0.2906480923*tau_r_div_tau_p tau_p_div_u_r - 0.0557079283*tau_p_div_u_r^2),0.9826697940661266,0.9324107932222364,0.9782958748912218,0.8158010920674369,1.386305839087732
LOW_1,5,6,delta_peak_mm + tau_r_MPa + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + tau_p_div_u_r,log(e-c) = 0.3672531612 - 0.9079992155*delta_peak_mm - 0.2783748046*tau_r_MPa - 1.4856924505*u_p_div_u_r - 0.3896640598*tau_p_div_tau_r + 0.5001290995*tau_r_div_tau_p + 0.6658584124*tau_p_div_u_r - 0.0334347606*delta_peak_mm^2 + 0.0296620362*delta_peak_mm tau_r_MPa + 0.2420925738*delta_peak_mm u_p_div_u_r - 0.3006612506*delta_peak_mm tau_p_div_tau_r - 0.1342937275*delta_peak_mm tau_r_div_tau_p - 0.0815512864*delta_peak_mm tau_p_div_u_r + 0.0381438286*tau_r_MPa^2 + 0.0080607040*tau_r_MPa u_p_div_u_r + 0.1645586367*tau_r_MPa tau_p_div_tau_r - 0.0492485452*tau_r_MPa tau_r_div_tau_p - 0.1226419860*tau_r_MPa tau_p_div_u_r + 0.0694705960*u_p_div_u_r^2 - 0.3989180537*u_p_div_u_r tau_p_div_tau_r + 0.0681786753*u_p_div_u_r tau_r_div_tau_p - 0.2657677806*u_p_div_u_r tau_p_div_u_r + 0.0378214332*tau_p_div_tau_r^2 + 0.1382503848*tau_p_div_tau_r tau_r_div_tau_p - 0.2010830262*tau_p_div_tau_r tau_p_div_u_r + 0.3049971228*tau_r_div_tau_p^2 + 0.1286501868*tau_r_div_tau_p tau_p_div_u_r - 0.0574912543*tau_p_div_u_r^2,e = c + exp(0.3672531612 - 0.9079992155*delta_peak_mm - 0.2783748046*tau_r_MPa - 1.4856924505*u_p_div_u_r - 0.3896640598*tau_p_div_tau_r + 0.5001290995*tau_r_div_tau_p + 0.6658584124*tau_p_div_u_r - 0.0334347606*delta_peak_mm^2 + 0.0296620362*delta_peak_mm tau_r_MPa + 0.2420925738*delta_peak_mm u_p_div_u_r - 0.3006612506*delta_peak_mm tau_p_div_tau_r - 0.1342937275*delta_peak_mm tau_r_div_tau_p - 0.0815512864*delta_peak_mm tau_p_div_u_r + 0.0381438286*tau_r_MPa^2 + 0.0080607040*tau_r_MPa u_p_div_u_r + 0.1645586367*tau_r_MPa tau_p_div_tau_r - 0.0492485452*tau_r_MPa tau_r_div_tau_p - 0.1226419860*tau_r_MPa tau_p_div_u_r + 0.0694705960*u_p_div_u_r^2 - 0.3989180537*u_p_div_u_r tau_p_div_tau_r + 0.0681786753*u_p_div_u_r tau_r_div_tau_p - 0.2657677806*u_p_div_u_r tau_p_div_u_r + 0.0378214332*tau_p_div_tau_r^2 + 0.1382503848*tau_p_div_tau_r tau_r_div_tau_p - 0.2010830262*tau_p_div_tau_r tau_p_div_u_r + 0.3049971228*tau_r_div_tau_p^2 + 0.1286501868*tau_r_div_tau_p tau_p_div_u_r - 0.0574912543*tau_p_div_u_r^2),0.9838649537058098,0.9304842347007032,0.9692454608716468,0.9711084920572888,1.3861069027906092
