Dataset,Selection_Mode,Rank_in_saved_results,N_Features,Features,Intercept_log_e_minus_c,Equation_log_e_minus_c,Equation_e,Saved_R2_val_z,Saved_R2_cv_mean_z,Saved_R2_val_e,Saved_RMSE_val_e,Saved_Selection_Score
LOW_2,log_gap,1,4,u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,0.0014760649555276562,log(e-c) = 0.0014760650 - 0.1112290411*u_p_x_tau_p - 4.0703655313*u_p_div_u_r + 2.4170476703*tau_r_div_tau_p + 0.0578193033*tau_p_div_u_p,e = c + exp(0.0014760650 - 0.1112290411*u_p_x_tau_p - 4.0703655313*u_p_div_u_r + 2.4170476703*tau_r_div_tau_p + 0.0578193033*tau_p_div_u_p),0.9711268530040136,0.9626914788568218,0.97280299689968,0.6988510665417637,1.4115960405540615
LOW_2,log_gap,2,5,u_p_x_tau_p + u_p_div_u_r + tau_p_div_tau_r + tau_r_div_tau_p + tau_p_div_u_p,-1.929335438859344,log(e-c) = -1.9293354389 - 0.1060382957*u_p_x_tau_p - 4.1308973226*u_p_div_u_r + 0.6001292859*tau_p_div_tau_r + 3.7914991258*tau_r_div_tau_p + 0.0622341646*tau_p_div_u_p,e = c + exp(-1.9293354389 - 0.1060382957*u_p_x_tau_p - 4.1308973226*u_p_div_u_r + 0.6001292859*tau_p_div_tau_r + 3.7914991258*tau_r_div_tau_p + 0.0622341646*tau_p_div_u_p),0.9776343645910842,0.9625016204257352,0.9732364405113568,0.6932598413542788,1.4080125424208203
LOW_2,log_gap,3,4,u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_div_u_p,0.4979963005712106,log(e-c) = 0.4979963006 - 0.1090917425*u_p_x_tau_p - 3.9228092737*u_p_div_u_r + 1.7129500942*tau_r_div_tau_p + 0.0771847943*tau_r_div_u_p,e = c + exp(0.4979963006 - 0.1090917425*u_p_x_tau_p - 3.9228092737*u_p_div_u_r + 1.7129500942*tau_r_div_tau_p + 0.0771847943*tau_r_div_u_p),0.9690942645353676,0.9587636218921224,0.9715404602183924,0.7148880595952756,1.4075742930665485
LOW_2,log_gap,4,5,u_p_x_tau_p + tau_p_x_tau_r + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,-0.02014184914388184,log(e-c) = -0.0201418491 - 0.1086512751*u_p_x_tau_p - 0.0072937923*tau_p_x_tau_r - 4.0336287014*u_p_div_u_r + 2.5301904169*tau_r_div_tau_p + 0.0625020449*tau_p_div_u_p,e = c + exp(-0.0201418491 - 0.1086512751*u_p_x_tau_p - 0.0072937923*tau_p_x_tau_r - 4.0336287014*u_p_div_u_r + 2.5301904169*tau_r_div_tau_p + 0.0625020449*tau_p_div_u_p),0.9734776050307168,0.9652539563272886,0.9725621319287836,0.7019388642993066,1.4052517940632927
LOW_2,log_gap,5,5,tau_peak_MPa_csds + u_p_x_tau_p + u_p_div_u_r + tau_r_div_tau_p + tau_p_div_u_p,0.21320677621272488,log(e-c) = 0.2132067762 - 0.0532907474*tau_peak_MPa_csds - 0.1085908738*u_p_x_tau_p - 4.0330250741*u_p_div_u_r + 2.3871433824*tau_r_div_tau_p + 0.0626016393*tau_p_div_u_p,e = c + exp(0.2132067762 - 0.0532907474*tau_peak_MPa_csds - 0.1085908738*u_p_x_tau_p - 4.0330250741*u_p_div_u_r + 2.3871433824*tau_r_div_tau_p + 0.0626016393*tau_p_div_u_p),0.973801455716614,0.964461706894246,0.9708150156305948,0.7239421103168134,1.405156336664067
