sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,e_constraint_respected,d_positive,b_positive,dataset,model_name
16,1.61,10.5,13.41,12.8475,12.8475,1.3946189571869354,0.4761904761904761,14.242118957186936,3.178145408783804,12.8475,1.4295571015250754,0.4761904761904761,14.277057101525076,3.071572227288601,0.03493814433814002,0.03493814433814002,0.03493814433814002,0.03493814433814002,-0.1065731814952029,0.1065731814952029,0.0327539814996362,0.011087163098964,0.9995961632420636,True,True,True,True,HIGH,HIGH_direct_poly_rank_2
18,3.07,10.5,12.57,12.4375,12.4375,0.7124450836759753,0.4761904761904761,13.149945083675975,1.9539451798171723,12.4375,0.8261937666875383,0.4761904761904761,13.263693766687538,1.7638856797444826,0.11374868301156305,0.11374868301156305,0.11374868301156305,0.11374868301156305,-0.19005950007268968,0.19005950007268968,0.1191742456466295,0.0470758899260927,0.9958563206500516,True,True,True,True,HIGH,HIGH_direct_poly_rank_2
21,1.67,12.0,7.53,5.32,5.32,5.617172562155661,0.4166666666666667,10.93717256215566,1.7473164085592403,5.32,5.579609116297341,0.4166666666666667,10.89960911629734,1.7645404677051972,-0.03756344585831961,0.03756344585831961,-0.03756344585831961,0.03756344585831961,0.017224059145956927,0.017224059145956927,0.0061935729153389,0.0035527528324404,0.9999606699627396,True,True,True,True,HIGH,HIGH_direct_poly_rank_2
22,1.67,12.0,19.67,18.994999999999997,18.994999999999997,1.5273740416856256,0.4166666666666667,20.522374041685623,3.2739688179792332,18.994999999999997,1.7976426557987928,0.4166666666666667,20.79264265579879,2.7199625220183496,0.27026861411316716,0.27026861411316716,0.27026861411316716,0.27026861411316716,-0.5540062959608836,0.5540062959608836,0.2464232501312911,0.0819759055983642,0.988651214381948,True,True,True,True,HIGH,HIGH_direct_poly_rank_2
23,0.84,16.0,8.44,7.47,7.47,1.3255582927799532,0.3125,8.795558292779953,6.166176834932969,7.47,1.4172452593026437,0.3125,8.887245259302643,5.124454299262998,0.09168696652269048,0.09168696652269048,0.09168696652269048,0.09168696652269048,-1.0417225356699715,1.0417225356699715,0.0657991692989385,0.0201042859279447,0.99347461269404,True,True,True,True,HIGH,HIGH_direct_poly_rank_2
24,1.81,16.0,7.62,7.29,7.29,0.6419185077225471,0.3125,7.931918507722547,3.0024433868829834,7.29,0.6001438167818058,0.3125,7.890143816781806,3.638679972578755,-0.041774690940741266,0.041774690940741266,-0.041774690940741266,0.041774690940741266,0.6362365856957717,0.6362365856957717,0.0868106629203719,0.0226546096946923,0.9894830461351328,True,True,True,True,HIGH,HIGH_direct_poly_rank_2
30,2.17,3.85,16.37,14.955,14.955,60.674147880173095,1.2987012987012987,75.6291478801731,1.6284330431129306,14.955,56.94841558841745,1.2987012987012987,71.90341558841745,1.654092995943253,-3.725732291755648,3.725732291755648,-3.725732291755648,3.725732291755648,0.02565995283032252,0.02565995283032252,0.0447990978946675,0.0274013574306374,0.9997778634825172,True,True,True,True,HIGH,HIGH_direct_poly_rank_2
33,2.26,4.125,16.14,11.3475,11.3475,422.7987490320256,1.2121212121212122,434.1462490320256,1.3091974223177918,11.3475,510.37274769511833,1.2121212121212122,521.7202476951184,1.2913420332293828,87.57399866309271,87.57399866309271,87.57399866309277,87.57399866309277,-0.017855389088409,0.017855389088409,0.0702745568808222,0.0462253878417136,0.9996283958634322,True,True,True,True,HIGH,HIGH_direct_poly_rank_2
36,1.48,3.625,14.91,14.235,14.235,8.232456046268986,1.3793103448275863,22.467456046268985,2.7321098339023515,14.235,8.821467240836892,1.3793103448275863,23.05646724083689,2.629719136407906,0.589011194567906,0.589011194567906,0.589011194567906,0.589011194567906,-0.10239069749444552,0.10239069749444552,0.0644686504512024,0.0344326640066342,0.9993738550244076,True,True,True,True,HIGH,HIGH_direct_poly_rank_2
39,0.54,3.35,15.9,14.4675,14.4675,3.852469877296928,1.4925373134328357,18.319969877296927,7.688914610134782,14.4675,3.850359959614776,1.4925373134328357,18.317859959614776,7.694766256570388,-0.0021099176821519627,0.0021099176821519627,-0.0021099176821515186,0.0021099176821515186,0.005851646435605318,0.005851646435605318,0.0009313482253037,0.0003822596607877,0.9999997766033528,True,True,True,True,HIGH,HIGH_direct_poly_rank_2
