dataset,model_name,n_rows,rmse_d,r2_d,rmse_b,r2_b,rmse_e,r2_e,rmse_tau_u,mean_curve_rmse_tau_u,median_curve_rmse_tau_u,max_curve_rmse_tau_u,valid_curve_count,r2_tau_u
FULL,FULL_poly_rank_1,284,41.00685663015099,0.7605037926264148,41.00685663015098,0.7506235094995986,3.4168445001987466,0.8817954356150665,0.7030230762508142,0.30378218016094866,0.0747530028815806,5.232462462125928,284,0.9844760538439671
FULL,FULL_poly_rank_4,286,29.69394516345749,0.8735525818131906,29.69394516345747,0.8683507008158177,3.5059785874755383,0.8749438592092524,0.6955078399924117,0.3045329485707939,0.08509763735134818,5.232430324177234,286,0.9849887491530711
FULL,FULL_poly_rank_2,283,38.98115190163924,0.7842621761984753,38.981151901639215,0.7753961563305323,3.3932024635906775,0.881184912543421,0.7233941088444608,0.31141583912996773,0.0704013922384449,5.232528557944957,283,0.9838117357952411
FULL,FULL_poly_rank_5,286,41.26244331020563,0.7558835354980715,41.26244331020561,0.7457884596795101,3.370407920886903,0.8843192375386899,0.74564128817747,0.3240588882048998,0.08349874254576674,5.232727419690505,286,0.9822738578754221
FULL,FULL_poly_rank_3,283,45.64821153438952,0.7042969024429575,45.648211534389496,0.6920229262989073,3.3569684097707864,0.8865023877825996,0.7546058601247415,0.3253720383090414,0.08893689771113718,5.2328708261767,283,0.9817455235127962
FULL,FULL_exp_log_rank_5,277,74.97114057338746,0.21839887747659692,74.97114057338744,0.18636190044457934,3.9684528015250264,0.8432333984949155,1.0449836311425917,0.3896670560655091,0.0943997424586639,11.915258380756013,277,0.9666719473075959
FULL,FULL_exp_log_rank_3,280,74.53849291492946,0.21945445325289903,74.53849291492945,0.18741046083582313,3.977798862826334,0.8409269418005164,1.0887476767830715,0.4366857319046417,0.10208456450054224,11.525644487055947,280,0.9639378867022096
FULL,FULL_exp_log_rank_4,265,68.62088284427413,0.372231327001492,68.62088284427413,0.3463350576624743,4.677591907931264,0.7801549048127798,1.0253591910627677,0.449278773696186,0.16000787637368225,9.2016136173333,265,0.9690060741634874
FULL,FULL_exp_d_rank_2,264,71.13258677142936,0.32797799992430066,71.13258677142935,0.3003469366709566,4.1209728573301385,0.8366724652967881,1.731338991241873,0.4668716420156619,0.07447190143818413,23.086038643944352,264,0.9097451482126002
FULL,FULL_exp_d_rank_1,264,73.04118458514914,0.2913974807324202,73.04118458514911,0.2623654805033707,4.065687877978346,0.8409351836240115,1.867607082599594,0.49614134557425,0.07595203671364097,25.457248330033785,264,0.8961132003950529
FULL,FULL_exp_log_rank_2,270,77.08600515600969,0.19362358281343928,77.08600515600968,0.1605158465116655,4.057205503360409,0.839333021063463,3.1394238771430785,0.5778599295861011,0.09010196327220597,49.1514443369688,270,0.7039877751675916
FULL,FULL_exp_log_rank_1,272,112.12140197946037,-0.717920910998199,112.12140197946037,-0.7890510029186437,4.80150522712477,0.7681335443701427,10.294747535155036,1.0262690727822463,0.1370918920933068,169.21723751237255,272,-2.1936657763097003
