feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,feature_label
tau_r_div_tau_p,0.49657282718997187,0.41391351390954195,-0.41482657269750806,0.5965136700455322,-0.23687814522717174,-0.007150949719077893,0.012255922241373273,$\tau_r/\tau_p$
u_p_div_u_r,0.28913563126129327,0.7035292472402813,-0.5400991318763295,-0.10619488904391891,0.29619052856170536,0.16128568246069572,-0.08921955944079454,$u_p/u_r$
u_r_mm,-0.3059131904320683,0.5345087526289188,0.7296676339308092,-0.01562031260845244,-0.21640927170516003,0.2102271643519572,0.016292312919468924,$u_r$ (mm)
u_r_x_u_p,-0.17567649402518165,0.713291729346805,0.5470128964694754,0.21082640596538116,0.3023257114518297,-0.16698273510483408,0.02713394016410086,$u_r u_p$
tau_p_div_u_p,0.7471599832710399,-0.4924042790464892,0.34563956017621206,0.17184672173148277,0.1779209792355632,0.06706864618643586,-0.09082546865343746,$\tau_p/u_p$
tau_r_MPa,0.9240340393276908,0.2915440210429869,0.08849208991265543,-0.15658109303035722,-0.13687649677690805,-0.04770260796394823,-0.03570450023936975,$\tau_r$ (MPa)
tau_r_div_u_p,0.8152107814447582,-0.4044179411044506,0.2852679581241472,0.2579144802001099,0.07833676516122247,0.05695851764742087,-0.06839013161238473,$\tau_r/u_p$
tau_p_div_u_r,0.9718531329830273,-0.016417436385990837,0.03566880911205331,-0.12460956779637698,0.09149992362124798,0.030741994363561058,0.15690910590005838,$\tau_p/u_r$
tau_p_x_tau_r,0.8760301103858845,0.2897773572216792,0.11698111205374358,-0.26277256409746935,-0.17431166365561385,-0.118219480648537,-0.1427417455644373,$\tau_p \tau_r$
tau_r_div_u_r,0.9794808398029081,0.071633843585502,-0.028841113036861824,-0.07750584560487155,0.012615861308402514,0.013390358132840554,0.16194353268833553,$\tau_r/u_r$
