dataset,n_original_features,n_components,explained_variance_ratio_component,cumulative_explained_variance,meets_variance_threshold,target_mode,n_features,R2_train_z,RMSE_train_z,R2_val_z,RMSE_val_z,R2_test_z,RMSE_test_z,R2_cv_mean_z,R2_cv_std_z,R2_train_e_gap,RMSE_train_e_gap,R2_val_e_gap,RMSE_val_e_gap,R2_test_e_gap,RMSE_test_e_gap,R2_train_e,RMSE_train_e,R2_val_e,RMSE_val_e,R2_test_e,RMSE_test_e,RMSE_train_tau_u,R2_train_tau_u,RMSE_val_tau_u,R2_val_tau_u,RMSE_test_tau_u,R2_test_tau_u,Valid_curve_count_train,Valid_curve_count_val,Valid_curve_count_test
FULL,10,1,0.5185194661071714,0.5185194661071714,False,pca_then_polynomial_on_log_e_minus_c,10,0.00722713321566526,1.4784048596162196,0.006102234465212408,1.578739789708107,-5.5521487147158766e-05,1.4872936785020798,-0.047953693588086724,0.042987223579027865,-0.11051867452789033,10.33624084522829,-0.14915824400152777,10.280315964758763,-0.12237382022318322,6.200750809299171,0.03219176868956153,10.33624084522829,-0.10274881043014439,10.280315964758763,0.0827151404315486,6.200750809299171,1.7391345947781263,0.9179957970383126,0.7891149976978616,0.9655532159550017,1.2054049479446738,0.9477726756994476,191,48,60
FULL,10,2,0.2034321532027727,0.721951619309944,False,pca_then_polynomial_on_log_e_minus_c,10,0.6893914092785483,0.8269422158700785,0.6403568333306702,0.9496763093313492,0.6370161890945214,0.8960418705560806,0.6448813879857533,0.09009187326737642,0.4329119721584921,7.386265708525197,0.1589267551679452,8.79495159067755,0.6058388965685784,3.6746196840851093,0.5057872741708398,7.3862657085251975,0.19289399430881427,8.79495159067755,0.6778631095150259,3.6746196840851093,0.7065593862393754,0.9864647256253399,0.21770318727424728,0.9973782114527869,0.4173754683869484,0.993738394879791,191,48,60
FULL,10,3,0.1514806895753256,0.8734323088852696,True,pca_then_polynomial_on_log_e_minus_c,10,0.7457729450599033,0.7481338670432546,0.672613232959868,0.9060877487864438,0.7441993985486597,0.752203685014559,0.6880522759211419,0.08293070632284862,0.3548275953192924,7.87839187430524,0.14204497099054092,8.882777963506454,0.6341311718657052,3.540284953299435,0.4377373580594782,7.87839187430524,0.17669399094396332,8.882777963506454,0.7009855980346142,3.540284953299435,0.5710211257897684,0.9911595560412875,0.17916850616887825,0.998224210708407,0.2985595930888351,0.9967959897454512,191,48,60
FULL,10,4,0.06208671682482066,0.9355190257100903,True,pca_then_polynomial_on_log_e_minus_c,10,0.9628269497975345,0.2860767287275119,0.9078681870392566,0.48066722080461816,0.9649008185521651,0.27863339730288084,0.8667854215878112,0.18964148366090008,0.7170384607321603,5.217511222909535,0.42947119285883384,7.2436145634735,0.8864232562623661,1.9725145763584901,0.7534012591331625,5.217511222909535,0.4525123352896435,7.2436145634735,0.9071768910211208,1.9725145763584901,0.11081458138550236,0.9996670618638303,0.10584422676489198,0.9993802701193636,0.1308808985531498,0.9993842784230748,191,48,60
FULL,10,5,0.03762549441606,0.9731445201261503,True,pca_then_polynomial_on_log_e_minus_c,10,0.9718805578515907,0.24881226354979202,0.9256964585709837,0.4316626319868807,0.8707661727391033,0.534653949258646,0.7801393284896079,0.3772510098410475,0.7859363315587613,4.538069775320504,0.5348881770698041,6.54026332010845,0.93237367525654,1.5220657289414712,0.8134452079970527,4.538069775320504,0.5536719924078726,6.54026332010845,0.9447308885170717,1.5220657289414716,0.08211351419287183,0.9998171903987215,0.10152441001615395,0.9994298238646229,0.2651518912257284,0.9974729065895075,191,48,60
FULL,10,6,0.012284888966069597,0.9854294090922199,True,pca_then_polynomial_on_log_e_minus_c,10,0.9886404774195096,0.1581424531779457,0.9746714876104151,0.2520255315288064,0.9698933595470827,0.25805710691133166,0.9750418260833623,0.009307472167026817,0.8772943730432528,3.435832050859211,0.6664547654441402,5.538522373662023,0.9847140380265466,0.7236388953982525,0.893063017740486,3.43583205085921,0.6799251864997027,5.5385223736620235,0.9875072090692566,0.7236388953982524,0.055116276381219256,0.9999176375110932,0.08069927222386993,0.9996397472344005,0.07946759814596271,0.9997730072371132,191,48,60
FULL,10,7,0.009421852645017999,0.9948512617372379,True,pca_then_polynomial_on_log_e_minus_c,10,0.9905916092998788,0.1439216415539425,0.979032316835778,0.22930573699471302,0.9874121196810237,0.16686335778054295,0.9714992699938337,0.02208952629281169,0.8901446297241816,3.2509503243602227,0.6553719504464304,5.629785594409214,0.9907378976288125,0.5632877453351803,0.9042619146843325,3.2509503243602227,0.6692899575234178,5.629785594409214,0.9924303417277018,0.5632877453351804,0.04809397787824175,0.999937287932031,0.0724382322541268,0.9997097289163698,0.06555145670478629,0.9998455469348466,191,48,60
FULL,10,8,0.003655178237241913,0.9985064399744799,True,pca_then_polynomial_on_log_e_minus_c,10,0.9907823379605601,0.14245536911446743,0.979887818046156,0.22457907690949216,0.9878962987989532,0.16362278219012258,0.9673076608641681,0.02167198848200423,0.8928591172535602,3.210534176437009,0.6760699319604568,5.458108636531435,0.9930892607712619,0.4865615287763729,0.9066275690717646,3.210534176437009,0.6891520388442803,5.458108636531435,0.9943520453268532,0.4865615287763728,0.04840818746651029,0.9999364658290641,0.07559848432405576,0.9996838492152927,0.07202683719853753,0.9998135250383642,191,48,60
FULL,10,9,0.0012847713737347566,0.9997912113482146,True,pca_then_polynomial_on_log_e_minus_c,10,0.9909136875099255,0.14143674931067096,0.9804035292728217,0.22168108033966505,0.9902926685307504,0.146532718149925,0.9607883381809286,0.03170273953795374,0.8926491473911395,3.2136785665617107,0.6827794224806975,5.401286574032816,0.9936599217897532,0.46603960151832297,0.9064445819992921,3.2136785665617107,0.6955905626319385,5.401286574032817,0.994818430681515,0.466039601518323,0.04661551926599887,0.9999410843360612,0.07456935406644745,0.999692398216211,0.06629289017084948,0.9998420332279172,191,48,60
FULL,10,10,0.00020878865178532117,0.9999999999999999,True,pca_then_polynomial_on_log_e_minus_c,10,0.9909984020718207,0.14077587557152235,0.980011180321897,0.22388926613126853,0.9903971215354068,0.1457422239163365,0.9578905194374405,0.0344995413197052,0.894297849345463,3.188905129604407,0.680371550191585,5.421747134518173,0.9937294973855905,0.46347540350989014,0.9078814126973892,3.188905129604407,0.6932799336856237,5.4217471345181725,0.994875292877966,0.4634754035098902,0.0463796612070401,0.9999416790127099,0.0757816395166779,0.9996823154596296,0.06712014624300121,0.99983806615604,191,48,60
