sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,log_e_minus_c_csds,z_pred,z_residual
7,-1.7819169523085974,-0.2667608043881528,-0.8994350834891184,-0.06089098370804231,-0.11453833726629577,-0.2647572835788488,-0.20066066943925706,0.48431354515063785,0.6485414856944275,-0.16422794054378964
8,-1.673350534427411,0.002885956276646524,-1.0961866433707137,0.24602490364214297,-0.18239876503632318,-0.15945549696689998,-0.2412518300226533,0.29363052520784333,0.5201532013617157,-0.2265226761538724
9,-1.5854352318009386,0.15225662095418502,-1.2525767287441403,0.514277103483317,-0.2827002892649219,-0.13344912360365405,-0.24989358338711465,0.4846179014595435,0.7183406744711681,-0.23372277301162464
11,-1.7026913693480488,-0.1173034735871005,-0.9034004080366588,0.40584196386422444,-0.468000026449171,-0.2826924198644951,-0.11325033008135028,0.9462720247769796,1.1611053847364874,-0.2148333599595078
12,-1.6144100214592065,0.25922587664798125,-1.1839902149581516,0.39338038281938076,-0.1541029640473467,-0.02144808830126,-0.29125657875447736,-0.06376772915435422,0.18133628409460856,-0.24510401324896278
13,-1.4805064496436993,0.7149474628657928,-1.4249294980834168,0.7191408622599968,-0.10119713220218851,0.18082298735459623,-0.3868486023732414,-0.16570760823730377,-0.030482930343586498,-0.13522467789371728
15,-1.1273735778901914,0.6423743584829344,0.5136743761720501,0.7244929930648369,-0.9821746129210129,0.16060264275774266,0.06786541389653303,0.6702665023864627,0.5083612482527642,0.1619052541336985
16,1.4022213391995593,0.94522460573446,1.1031269132282415,0.3437804449477807,-1.5621553688968657,-0.2989102695705249,-0.672087954599718,0.9939755601218256,0.8719791330290262,0.12199642709279945
17,-1.1813174520307779,1.3090905062940814,0.320976434644983,0.9510351524563154,-0.6636487099367203,0.11433196037112335,0.04695996230641059,0.10012331976009699,0.07811865326464917,0.022004666495447814
18,0.9433262794348459,1.9447345109770704,0.7234649712244835,0.314186694827166,-1.163923535774835,-0.43555829935841145,-0.46190272519440423,0.39052384368238957,0.13428546295991195,0.2562383807224776
19,-1.8928744697516442,0.6485321887556069,0.6978414879538786,0.6063109650339144,-0.9906288952342448,0.2800412251503687,0.15837462181815148,0.6742239092949024,0.48793823171345474,0.18628567758144765
20,-1.8649512507070032,0.46760022353712694,1.0452661253147626,-0.02058688234452285,-0.5964889457190616,0.2949383197031693,0.10411529600730816,0.185696609168175,0.1464509147884244,0.03924569437975059
21,-0.9414206621645357,0.4943226643209773,1.2618155371366362,-0.037912375992820456,-0.7364986942807229,0.23178984647338083,-0.06825569648052823,0.2856673506816134,0.2588378588719483,0.026829491809665096
22,3.2274911338217835,1.5031265286299844,1.904684124222027,-0.3589364120734059,-2.3080220612641593,-0.9089223724804212,-1.7654593260199813,1.0498778759039376,1.1059383436394674,-0.05606046773552986
23,-0.10365678374898529,0.372598952721281,1.969722643648084,0.9017983645294906,-1.5736737862047379,0.7902425556451471,-0.4863312109588622,1.7670699826005132,1.8894548497768715,-0.12238486717635833
24,-0.6143054830643757,1.3896980584365453,1.6111109658622271,0.9428706302056775,-1.5428003829802295,0.3749346866993361,-0.09215304620789364,0.9895201476238747,1.0660011942498173,-0.07648104662594257
27,-0.907330865943793,-0.17546914175038786,-0.7830139937011836,0.26443296092996427,-0.16717339394236513,-0.10072630058812959,0.0639281303273455,0.5530110362976527,0.7604305269792092,-0.20741949068155652
28,-0.8673234916389266,-1.4305216335454944,-0.1743036909969296,0.10070598674868463,0.15211531577868892,-0.4047012869880773,-0.028688910626501182,3.0016161172217757,2.947368586081047,0.05424753114072889
29,0.7087081240534592,-0.5254331595923634,-0.541628725803159,0.5181570386233728,0.005806679083663363,0.021777671849794917,0.5164097355074094,1.2400999665735735,1.304377247564436,-0.0642772809908625
30,3.9497429894741347,1.5535085590034168,-0.624342120893339,-1.1083924376364322,-0.2209771628662626,-0.171071639504827,0.41731919958934255,-1.1094758508228293,-1.0161587390076805,-0.09331711181514879
31,-1.2604611231706762,-0.7706598142816895,-0.7808442838581553,0.039916072004750655,-0.0302630649134818,-0.437693805387796,0.02332971186135761,1.9818434226035115,1.9441936927866335,0.037649729816878086
32,1.4376828571184699,-1.4238451019823946,0.12017619743158754,1.1869488864251392,0.1541716672099015,0.13620777159667816,0.2700864984174368,2.428665515246472,2.4085277058548504,0.020137809391621353
33,2.5674860314648047,1.0306558702507154,-0.3593656543088767,-1.5199474625346927,0.39345480751509765,0.042504858445052286,0.29928759991459314,-2.33225893682785,-2.937859462952889,0.605600526125039
34,-1.2170509167503347,-0.5044628736012138,-0.9078572827088824,-0.3694554023863821,0.35322270366806385,-0.15962991437373597,-0.026345833595110658,0.4279792397101451,0.30287798452913406,0.12510125518101106
35,0.9926271744218962,-0.8193854798364945,-0.3485418899663198,0.6388172051429889,0.09318081114095773,0.048327601914633346,0.5470595302171052,1.5974907035973078,1.6182212643922262,-0.020730560794918418
36,3.953014460924037,0.837876300558687,-0.30987061975417945,-0.5150008842467835,-0.4403203816606084,-0.22531123546498805,0.5912335398415325,0.30217614092236117,0.29976893533941995,0.0024072055829412187
37,-0.9559288937386187,-1.5163574152871895,-0.09876436612571783,0.05111738893314221,0.162671337661479,-0.43471059190311856,-0.08435301501007142,3.2395512220014395,3.130210556128125,0.1093406658733147
38,1.6604453125327887,-1.9287061292710772,0.5959202376807843,0.94044186714485,0.572003536475693,0.27888254931175893,0.10367358872678073,2.3743375391439097,2.4040199895857777,-0.029682450441868014
39,5.940227164871507,-1.454218903285518,1.5231074468418666,0.6668041450905521,0.08362063404845502,0.14964302711857,-0.12467958757357449,1.823964814293637,1.631855469619432,0.19210934467420504
40,-1.1398192546368977,-0.6841486943077739,-0.8297147226154096,0.00915664646620115,0.0587748728402663,-0.3412845851912409,0.048151173227330854,1.5777984018644102,1.5580990195432725,0.01969938232113777
41,1.3196702515833516,-1.1881484643420746,-0.027302221258468744,0.7660257931711201,0.21468101718198968,0.10884491879233928,0.46631637903355233,1.9069993526616482,1.898957869814896,0.008041482846752324
42,5.519808600969137,-0.732004004660847,0.9973473994977016,0.0903824967668277,-0.18538674213392953,-0.09863100834860476,0.2728553061169195,1.3773726574843284,1.3189611087958337,0.05841154868849463
43,-0.9944837342908238,0.6868062276953545,-2.070680081175928,0.4498299146288134,0.40475853562927067,0.3547256157115356,-0.42294133156732555,-0.2646873608255035,-0.4808564877403467,0.21616912691484325
44,0.09336741947673464,0.8042228271828915,-1.6513745334497965,0.3183329623534604,0.3564689755013638,0.4498682826579429,0.1619153558341096,-0.5617681246820716,-0.5924415996583894,0.030673474976317783
45,3.0020015270039173,2.074315019005478,-1.2055932171416768,-0.6573237344192333,0.018500472932152998,0.15836840417737214,0.2144281247587889,-0.812174500635777,-1.0566298042543785,0.24445530361860146
46,-1.0320259410476564,0.3680210730649663,-1.7418450847456477,0.13789817630696344,0.4445050046643487,0.23623103612079308,-0.2870857781915387,-0.5281485687910724,-0.6758450204638098,0.14769645167273737
47,1.073631288728678,-0.4079278841277124,-0.6902989924998837,0.6533829202677474,0.017168380286193403,0.08052874615490957,0.6865706496647337,1.3892185944942679,1.3313260645012237,0.05789252999304417
