Feature,Frequency
tau_r_div_tau_p,30
u_p_div_u_r,30
u_r_div_u_p,27
tau_p_div_u_p,25
u_p_x_tau_p,15
delta_peak_mm,4
u_p_div_tau_r,4
tau_r_div_u_r,4
u_p_x_tau_r,3
u_r_div_tau_p,2
u_r_mm,2
u_r_x_tau_r,2
u_r_div_tau_r,2
u_p_div_tau_p,2
tau_p_div_tau_r,2
u_r_x_tau_p,2
tau_r_div_u_p,2
u_r_x_u_p,1
