Dataset,Rank_in_saved_results,N_Input_Features,Input_Features,Equation_log_e_minus_c_scaled_space,Equation_e_scaled_space,Saved_R2_val_z,Saved_R2_cv_mean_z,Saved_R2_val_e,Saved_RMSE_val_e,Saved_Selection_Score
HIGH,1,3,delta_peak_mm + u_r_div_u_p + tau_r_div_tau_p,log(e-c) = -0.3518303125 - 1.2434399925*delta_peak_mm + 0.8615407420*u_r_div_u_p + 1.0694939567*tau_r_div_tau_p + 0.2376313634*delta_peak_mm^2 + 0.2653738109*delta_peak_mm u_r_div_u_p + 0.4594971008*delta_peak_mm tau_r_div_tau_p - 0.0961066710*u_r_div_u_p^2 - 0.1486191740*u_r_div_u_p tau_r_div_tau_p + 0.1524938195*tau_r_div_tau_p^2,e = c + exp(-0.3518303125 - 1.2434399925*delta_peak_mm + 0.8615407420*u_r_div_u_p + 1.0694939567*tau_r_div_tau_p + 0.2376313634*delta_peak_mm^2 + 0.2653738109*delta_peak_mm u_r_div_u_p + 0.4594971008*delta_peak_mm tau_r_div_tau_p - 0.0961066710*u_r_div_u_p^2 - 0.1486191740*u_r_div_u_p tau_r_div_tau_p + 0.1524938195*tau_r_div_tau_p^2),0.973644681685454,0.9164592040036932,0.9570092266915,0.3671243075036799,1.39911458219373
HIGH,2,4,delta_peak_mm + tau_peak_estimated + u_r_div_u_p + tau_r_div_tau_p,log(e-c) = -0.3518303125 - 1.2434399925*delta_peak_mm + 0.8615407420*u_r_div_u_p + 1.0694939567*tau_r_div_tau_p + 0.2376313634*delta_peak_mm^2 + 0.2653738109*delta_peak_mm u_r_div_u_p + 0.4594971008*delta_peak_mm tau_r_div_tau_p - 0.0961066710*u_r_div_u_p^2 - 0.1486191740*u_r_div_u_p tau_r_div_tau_p + 0.1524938195*tau_r_div_tau_p^2,e = c + exp(-0.3518303125 - 1.2434399925*delta_peak_mm + 0.8615407420*u_r_div_u_p + 1.0694939567*tau_r_div_tau_p + 0.2376313634*delta_peak_mm^2 + 0.2653738109*delta_peak_mm u_r_div_u_p + 0.4594971008*delta_peak_mm tau_r_div_tau_p - 0.0961066710*u_r_div_u_p^2 - 0.1486191740*u_r_div_u_p tau_r_div_tau_p + 0.1524938195*tau_r_div_tau_p^2),0.973644681685454,0.9164592040036932,0.9570092266915006,0.3671243075036779,1.38911458219373
HIGH,3,4,delta_peak_mm + u_r_estimated + u_r_div_u_p + tau_r_div_tau_p,log(e-c) = -0.3323735901 - 1.1795124376*delta_peak_mm - 0.0110295490*u_r_estimated + 0.8653556081*u_r_div_u_p + 1.0487310728*tau_r_div_tau_p + 0.2532434674*delta_peak_mm^2 + 0.2019370930*delta_peak_mm u_r_estimated + 0.3118572760*delta_peak_mm u_r_div_u_p + 0.4277763137*delta_peak_mm tau_r_div_tau_p - 0.0609433929*u_r_estimated^2 - 0.1593685034*u_r_estimated u_r_div_u_p - 0.1581856171*u_r_estimated tau_r_div_tau_p - 0.0940847607*u_r_div_u_p^2 - 0.1557199747*u_r_div_u_p tau_r_div_tau_p + 0.1484766106*tau_r_div_tau_p^2,e = c + exp(-0.3323735901 - 1.1795124376*delta_peak_mm - 0.0110295490*u_r_estimated + 0.8653556081*u_r_div_u_p + 1.0487310728*tau_r_div_tau_p + 0.2532434674*delta_peak_mm^2 + 0.2019370930*delta_peak_mm u_r_estimated + 0.3118572760*delta_peak_mm u_r_div_u_p + 0.4277763137*delta_peak_mm tau_r_div_tau_p - 0.0609433929*u_r_estimated^2 - 0.1593685034*u_r_estimated u_r_div_u_p - 0.1581856171*u_r_estimated tau_r_div_tau_p - 0.0940847607*u_r_div_u_p^2 - 0.1557199747*u_r_div_u_p tau_r_div_tau_p + 0.1484766106*tau_r_div_tau_p^2),0.968709852623982,0.8894386581528697,0.9961470642762336,0.1099059978796695,1.371886419390325
HIGH,4,4,delta_peak_mm + tau_r_estimated + u_r_div_u_p + tau_r_div_tau_p,log(e-c) = -0.3323735901 - 1.1795124376*delta_peak_mm - 0.0110295490*tau_r_estimated + 0.8653556081*u_r_div_u_p + 1.0487310728*tau_r_div_tau_p + 0.2532434674*delta_peak_mm^2 + 0.2019370930*delta_peak_mm tau_r_estimated + 0.3118572760*delta_peak_mm u_r_div_u_p + 0.4277763137*delta_peak_mm tau_r_div_tau_p - 0.0609433929*tau_r_estimated^2 - 0.1593685034*tau_r_estimated u_r_div_u_p - 0.1581856171*tau_r_estimated tau_r_div_tau_p - 0.0940847607*u_r_div_u_p^2 - 0.1557199747*u_r_div_u_p tau_r_div_tau_p + 0.1484766106*tau_r_div_tau_p^2,e = c + exp(-0.3323735901 - 1.1795124376*delta_peak_mm - 0.0110295490*tau_r_estimated + 0.8653556081*u_r_div_u_p + 1.0487310728*tau_r_div_tau_p + 0.2532434674*delta_peak_mm^2 + 0.2019370930*delta_peak_mm tau_r_estimated + 0.3118572760*delta_peak_mm u_r_div_u_p + 0.4277763137*delta_peak_mm tau_r_div_tau_p - 0.0609433929*tau_r_estimated^2 - 0.1593685034*tau_r_estimated u_r_div_u_p - 0.1581856171*tau_r_estimated tau_r_div_tau_p - 0.0940847607*u_r_div_u_p^2 - 0.1557199747*u_r_div_u_p tau_r_div_tau_p + 0.1484766106*tau_r_div_tau_p^2),0.968709852623982,0.8894386581528697,0.9961470642762336,0.1099059978796695,1.371886419390325
HIGH,5,5,delta_peak_mm + u_r_estimated + tau_r_estimated + u_r_div_u_p + tau_r_div_tau_p,log(e-c) = -0.3329172236 - 1.1452318268*delta_peak_mm - 0.0072292717*u_r_estimated - 0.0072292717*tau_r_estimated + 0.8395507783*u_r_div_u_p + 1.0287454355*tau_r_div_tau_p + 0.2531908715*delta_peak_mm^2 + 0.2064639780*delta_peak_mm u_r_estimated + 0.2064639780*delta_peak_mm tau_r_estimated + 0.3120130981*delta_peak_mm u_r_div_u_p + 0.4312013725*delta_peak_mm tau_r_div_tau_p - 0.0399450914*u_r_estimated^2 - 0.0399450914*u_r_estimated tau_r_estimated - 0.1522320084*u_r_estimated u_r_div_u_p - 0.1505211105*u_r_estimated tau_r_div_tau_p - 0.0399450914*tau_r_estimated^2 - 0.1522320084*tau_r_estimated u_r_div_u_p - 0.1505211105*tau_r_estimated tau_r_div_tau_p - 0.0940228193*u_r_div_u_p^2 - 0.1550474960*u_r_div_u_p tau_r_div_tau_p + 0.1498614690*tau_r_div_tau_p^2,e = c + exp(-0.3329172236 - 1.1452318268*delta_peak_mm - 0.0072292717*u_r_estimated - 0.0072292717*tau_r_estimated + 0.8395507783*u_r_div_u_p + 1.0287454355*tau_r_div_tau_p + 0.2531908715*delta_peak_mm^2 + 0.2064639780*delta_peak_mm u_r_estimated + 0.2064639780*delta_peak_mm tau_r_estimated + 0.3120130981*delta_peak_mm u_r_div_u_p + 0.4312013725*delta_peak_mm tau_r_div_tau_p - 0.0399450914*u_r_estimated^2 - 0.0399450914*u_r_estimated tau_r_estimated - 0.1522320084*u_r_estimated u_r_div_u_p - 0.1505211105*u_r_estimated tau_r_div_tau_p - 0.0399450914*tau_r_estimated^2 - 0.1522320084*tau_r_estimated u_r_div_u_p - 0.1505211105*tau_r_estimated tau_r_div_tau_p - 0.0940228193*u_r_div_u_p^2 - 0.1550474960*u_r_div_u_p tau_r_div_tau_p + 0.1498614690*tau_r_div_tau_p^2),0.9684295831985008,0.8901429086220883,0.9958443376486934,0.1141420422167387,1.3617615585932072
