dataset,file_name,rows,rows_used_for_metrics,model_family,selection_mode,rank_in_saved_results,tau_r_column,estimated_d_column,true_d_column,true_b_column,rmse_b,r2_b,output_file
FULL,FULL_exp_d_rank_2_e_predictions.csv,299,299,exponential,d,2,tau_r_MPa,d_pred,d_csds,b_csds,64.96886253518979,0.3423797135094059,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/full/FULL_exp_d_rank_2_b_predictions.csv
FULL,FULL_exp_d_rank_5_e_predictions.csv,299,299,exponential,d,5,tau_r_MPa,d_pred,d_csds,b_csds,68.96361869239959,0.2590229459776683,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/full/FULL_exp_d_rank_5_b_predictions.csv
FULL,FULL_exp_d_rank_4_e_predictions.csv,299,299,exponential,d,4,tau_r_MPa,d_pred,d_csds,b_csds,72.20453505238049,0.18774269282414224,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/full/FULL_exp_d_rank_4_b_predictions.csv
FULL,FULL_exp_d_rank_3_e_predictions.csv,299,299,exponential,d,3,tau_r_MPa,d_pred,d_csds,b_csds,73.92595726022375,0.14855109910641728,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/full/FULL_exp_d_rank_3_b_predictions.csv
FULL,FULL_exp_d_rank_1_e_predictions.csv,299,299,exponential,d,1,tau_r_MPa,d_pred,d_csds,b_csds,106.94849825407424,-0.7820260848229417,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/full/FULL_exp_d_rank_1_b_predictions.csv
FULL,FULL_exp_log_rank_2_e_predictions.csv,299,299,exponential,log,2,tau_r_MPa,d_pred,d_csds,b_csds,64.97312104207501,0.34229350075486487,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/full/FULL_exp_log_rank_2_b_predictions.csv
FULL,FULL_exp_log_rank_1_e_predictions.csv,299,299,exponential,log,1,tau_r_MPa,d_pred,d_csds,b_csds,65.84231161097709,0.3245786024818361,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/full/FULL_exp_log_rank_1_b_predictions.csv
FULL,FULL_exp_log_rank_5_e_predictions.csv,299,299,exponential,log,5,tau_r_MPa,d_pred,d_csds,b_csds,67.74581145417326,0.28496125735748,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/full/FULL_exp_log_rank_5_b_predictions.csv
FULL,FULL_exp_log_rank_3_e_predictions.csv,299,299,exponential,log,3,tau_r_MPa,d_pred,d_csds,b_csds,72.11919492195062,0.1896616077556157,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/full/FULL_exp_log_rank_3_b_predictions.csv
FULL,FULL_exp_log_rank_4_e_predictions.csv,299,299,exponential,log,4,tau_r_MPa,d_pred,d_csds,b_csds,73.27441308902489,0.16349339877668423,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/full/FULL_exp_log_rank_4_b_predictions.csv
FULL,FULL_poly_rank_4_e_predictions.csv,299,299,polynomial,log,4,tau_r_MPa,d_pred,d_csds,b_csds,39.31891605268965,0.7591382991700204,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/full/FULL_poly_rank_4_b_predictions.csv
FULL,FULL_poly_rank_2_e_predictions.csv,299,299,polynomial,log,2,tau_r_MPa,d_pred,d_csds,b_csds,42.258335777160205,0.7217792899238336,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/full/FULL_poly_rank_2_b_predictions.csv
FULL,FULL_poly_rank_1_e_predictions.csv,299,299,polynomial,log,1,tau_r_MPa,d_pred,d_csds,b_csds,42.26564889972301,0.7216829852222089,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/full/FULL_poly_rank_1_b_predictions.csv
FULL,FULL_poly_rank_5_e_predictions.csv,299,299,polynomial,log,5,tau_r_MPa,d_pred,d_csds,b_csds,42.94646084768281,0.7126445518208377,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/full/FULL_poly_rank_5_b_predictions.csv
FULL,FULL_poly_rank_3_e_predictions.csv,299,299,polynomial,log,3,tau_r_MPa,d_pred,d_csds,b_csds,45.21866658362187,0.6814334452303707,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/full/FULL_poly_rank_3_b_predictions.csv
HIGH,HIGH_exp_d_rank_2_e_predictions.csv,67,67,exponential,d,2,tau_r_MPa,d_pred,d_csds,b_csds,140.45110069692004,0.22025429277025999,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/high/HIGH_exp_d_rank_2_b_predictions.csv
HIGH,HIGH_exp_d_rank_3_e_predictions.csv,67,67,exponential,d,3,tau_r_MPa,d_pred,d_csds,b_csds,146.36945296541333,0.15315564320760156,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/high/HIGH_exp_d_rank_3_b_predictions.csv
HIGH,HIGH_exp_d_rank_1_e_predictions.csv,67,67,exponential,d,1,tau_r_MPa,d_pred,d_csds,b_csds,146.6684539337251,0.14969227156457332,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/high/HIGH_exp_d_rank_1_b_predictions.csv
HIGH,HIGH_exp_log_rank_3_e_predictions.csv,67,67,exponential,log,3,tau_r_MPa,d_pred,d_csds,b_csds,141.95419547027305,0.20347545402858058,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/high/HIGH_exp_log_rank_3_b_predictions.csv
HIGH,HIGH_exp_log_rank_2_e_predictions.csv,67,67,exponential,log,2,tau_r_MPa,d_pred,d_csds,b_csds,141.9831459518146,0.20315053061900246,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/high/HIGH_exp_log_rank_2_b_predictions.csv
HIGH,HIGH_exp_log_rank_4_e_predictions.csv,67,67,exponential,log,4,tau_r_MPa,d_pred,d_csds,b_csds,142.44355474483436,0.197974263601831,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/high/HIGH_exp_log_rank_4_b_predictions.csv
HIGH,HIGH_exp_log_rank_1_e_predictions.csv,67,67,exponential,log,1,tau_r_MPa,d_pred,d_csds,b_csds,142.55377093295166,0.19673264311524763,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/high/HIGH_exp_log_rank_1_b_predictions.csv
HIGH,HIGH_poly_rank_2_e_predictions.csv,67,67,polynomial,log,2,tau_r_MPa,d_pred,d_csds,b_csds,136.05423077241363,0.2683105369650556,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/high/HIGH_poly_rank_2_b_predictions.csv
HIGH,HIGH_poly_rank_1_e_predictions.csv,67,67,polynomial,log,1,tau_r_MPa,d_pred,d_csds,b_csds,143.0808294418853,0.19078188439047516,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/high/HIGH_poly_rank_1_b_predictions.csv
HIGH,HIGH_poly_rank_4_e_predictions.csv,67,67,polynomial,log,4,tau_r_MPa,d_pred,d_csds,b_csds,145.43024831468574,0.16398861907758167,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/high/HIGH_poly_rank_4_b_predictions.csv
HIGH,HIGH_poly_rank_3_e_predictions.csv,67,67,polynomial,log,3,tau_r_MPa,d_pred,d_csds,b_csds,148.6987607254653,0.12598799784733605,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/high/HIGH_poly_rank_3_b_predictions.csv
HIGH,HIGH_poly_rank_5_e_predictions.csv,67,67,polynomial,log,5,tau_r_MPa,d_pred,d_csds,b_csds,149.1899744369778,0.12020401149163462,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/high/HIGH_poly_rank_5_b_predictions.csv
LOW_1,LOW_1_exp_d_rank_5_e_predictions.csv,163,163,exponential,d,5,tau_r_MPa,d_pred,d_csds,b_csds,6.334964333755634,0.3251674259811579,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/low/LOW_1_exp_d_rank_5_b_predictions.csv
LOW_1,LOW_1_exp_d_rank_2_e_predictions.csv,163,163,exponential,d,2,tau_r_MPa,d_pred,d_csds,b_csds,6.395431222087483,0.3122234646242088,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/low/LOW_1_exp_d_rank_2_b_predictions.csv
LOW_1,LOW_1_exp_d_rank_4_e_predictions.csv,163,163,exponential,d,4,tau_r_MPa,d_pred,d_csds,b_csds,6.401572118283359,0.31090202377144216,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/low/LOW_1_exp_d_rank_4_b_predictions.csv
LOW_1,LOW_1_exp_d_rank_1_e_predictions.csv,163,163,exponential,d,1,tau_r_MPa,d_pred,d_csds,b_csds,6.682108564589788,0.24918188170537092,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/low/LOW_1_exp_d_rank_1_b_predictions.csv
LOW_1,LOW_1_exp_d_rank_3_e_predictions.csv,163,163,exponential,d,3,tau_r_MPa,d_pred,d_csds,b_csds,6.722208462652505,0.24014339655322592,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/low/LOW_1_exp_d_rank_3_b_predictions.csv
LOW_1,LOW_1_exp_log_rank_1_e_predictions.csv,163,163,exponential,log,1,tau_r_MPa,d_pred,d_csds,b_csds,5.800156300927932,0.43429882160987543,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/low/LOW_1_exp_log_rank_1_b_predictions.csv
LOW_1,LOW_1_poly_rank_5_e_predictions.csv,163,163,polynomial,log,5,tau_r_MPa,d_pred,d_csds,b_csds,1.2525776181155726,0.973617437003387,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/low/LOW_1_poly_rank_5_b_predictions.csv
LOW_1,LOW_1_poly_rank_2_e_predictions.csv,163,163,polynomial,log,2,tau_r_MPa,d_pred,d_csds,b_csds,1.4717129169465921,0.963578830027378,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/low/LOW_1_poly_rank_2_b_predictions.csv
LOW_1,LOW_1_poly_rank_3_e_predictions.csv,163,163,polynomial,log,3,tau_r_MPa,d_pred,d_csds,b_csds,1.5389593984214542,0.9601744287541217,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/low/LOW_1_poly_rank_3_b_predictions.csv
LOW_1,LOW_1_poly_rank_1_e_predictions.csv,163,163,polynomial,log,1,tau_r_MPa,d_pred,d_csds,b_csds,1.7089776572389608,0.9508888098031574,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/low/LOW_1_poly_rank_1_b_predictions.csv
LOW_1,LOW_1_poly_rank_4_e_predictions.csv,163,163,polynomial,log,4,tau_r_MPa,d_pred,d_csds,b_csds,1.9783832369095604,0.9341844467202761,/Users/hariderarako/Desktop/python/data/processed/b_from_all_retained_d_models/low/LOW_1_poly_rank_4_b_predictions.csv
