,n,mean,median,mode,min,max,variance,std,cv_percent,Q1,Q3,IQR,outlier_low,outlier_high,n_outliers
sigma_n_MPa,67.0,142.34328358208955,20.0,20.0,2.0,5512.0,555154.5015829941,745.0869087448752,523.4436708179369,20.0,20.0,0.0,20.0,20.0,9.0
delta_peak_mm,67.0,2.0302985074626863,1.85,0.46,0.39,6.69,1.8128544549977383,1.3464228366296147,66.31649640092935,0.9199999999999999,2.825,1.9050000000000002,-1.9375000000000004,5.682500000000001,1.0
tau_peak_MPa_csds,67.0,15.94438805970149,15.58,14.91,7.35,55.263,32.672734241067396,5.716006844036087,35.8496470521999,14.489999999999998,16.384999999999998,1.8949999999999996,11.647499999999999,19.2275,8.0
u_r_mm,67.0,5.773685513777988,4.125,4.125,3.35,31.453947067343865,19.823815771398646,4.452394386327277,77.11529101649789,3.885,4.725,0.8399999999999999,2.625,5.984999999999999,12.0
tau_r_MPa,67.0,13.398282020395627,14.159999999999998,13.285,2.2212250296583855,18.994999999999997,9.600871827892151,3.098527364392987,23.126303504256985,12.9925,14.930416666666666,1.9379166666666663,10.085625,17.837291666666665,7.0
a_csds,67.0,13.398282020395627,14.159999999999998,13.285,2.2212250296583855,18.994999999999997,9.600871827892151,3.098527364392987,23.126303504256985,12.9925,14.930416666666666,1.9379166666666663,10.085625,17.837291666666665,7.0
b_csds,67.0,62.3198005562812,14.10295307840756,0.6419185077225471,0.6419185077225471,1213.8760619263403,25681.96021089214,160.25592098544172,257.1508887303227,4.868446020159447,59.602810697499194,54.73436467733975,-77.23310099585017,141.7043577135088,7.0
c_csds,67.0,1.0816101090310062,1.2121212121212122,1.2121212121212122,0.1589625616554528,1.4925373134328357,0.10504329243547099,0.3241038297142923,29.964940879172325,1.0582306830907053,1.2870034187581163,0.22877273566741096,0.7150715795895889,1.6301625222592326,11.0
d_csds,67.0,75.71808257667684,26.70369715320237,7.931918507722547,7.931918507722547,1227.1610619263406,25612.08560616776,160.0377630628714,211.36003133836257,19.533446020159445,74.4678106974992,54.93436467733976,-62.868100995850185,156.86935771350883,7.0
e_csds,67.0,3.1833777826412537,2.0220034481788933,0.5794840127037909,0.5794840127037909,12.268593789286898,6.732832653841822,2.5947702506853707,81.50996921680108,1.3239041756458778,4.027450174419974,2.7035459987740964,-2.7314148225152666,8.08276917258112,5.0
e_minus_c_csds,67.0,2.1017676736102477,1.0396162811021885,0.030220729505912036,0.030220729505912036,10.995519314430119,6.290251329249775,2.5080373460636056,119.329903944878,0.23357658762498984,2.818067185038061,2.584490597413071,-3.643159308494617,6.6948030811576675,5.0
log_d_csds,67.0,3.632601843232936,3.2848020259774886,2.07089493674226,2.07089493674226,7.112458700910083,1.0051830580793897,1.0025881797026084,27.599726668924628,2.972101059854751,4.310245341593868,1.3381442817391171,0.9648846372460751,6.317461764202544,1.0
log_e_minus_c_csds,67.0,-0.09674974033351698,0.038851684591951936,-3.499227182590651,-3.499227182590651,2.3974878547631056,2.083608576046265,1.4434710166976907,-1491.9637114494967,-1.4590627588792096,1.036034080646566,2.4950968395257753,-5.2017080181678725,4.778679339935229,0.0
