Dataset,Rank_in_saved_results,N_Input_Features,Input_Features,Equation_log_d_scaled_space,Equation_d_scaled_space,Saved_R2_val_log,Saved_R2_cv_mean_log,Saved_R2_cv_std_log,Saved_R2_val_d,Saved_RMSE_val_d,Saved_R2_test_log,Saved_RMSE_test_log,Saved_R2_test_d,Saved_RMSE_test_d,Saved_Selection_Score
FULL,1,6,u_p_div_u_r + delta_peak_mm + tau_r_MPa + tau_p_div_u_r + u_p_div_tau_p + tau_r_div_tau_p,log(d_csds) = 2.1410953462 + 0.7620574974*u_p_div_u_r + 0.5892959609*delta_peak_mm + 1.2160116297*tau_r_MPa + 1.2942726249*tau_p_div_u_r - 1.1069119400*u_p_div_tau_p - 1.0899557057*tau_r_div_tau_p + 0.3447968200*u_p_div_u_r^2 - 0.2550394199*u_p_div_u_r delta_peak_mm - 0.3597285633*u_p_div_u_r tau_r_MPa + 0.3040040004*u_p_div_u_r tau_p_div_u_r + 0.2655623275*u_p_div_u_r u_p_div_tau_p - 0.3321574021*u_p_div_u_r tau_r_div_tau_p + 0.0339482561*delta_peak_mm^2 - 0.1693944535*delta_peak_mm tau_r_MPa + 0.0431584386*delta_peak_mm tau_p_div_u_r - 0.4421208398*delta_peak_mm u_p_div_tau_p - 0.3557316719*delta_peak_mm tau_r_div_tau_p - 0.3070727186*tau_r_MPa^2 + 0.2206161013*tau_r_MPa tau_p_div_u_r + 0.2983765407*tau_r_MPa u_p_div_tau_p + 0.1073628966*tau_r_MPa tau_r_div_tau_p - 0.6093166743*tau_p_div_u_r^2 + 0.4462956951*tau_p_div_u_r u_p_div_tau_p - 0.2052624367*tau_p_div_u_r tau_r_div_tau_p + 0.2965692904*u_p_div_tau_p^2 + 0.0188697980*u_p_div_tau_p tau_r_div_tau_p - 0.1890004130*tau_r_div_tau_p^2,d_csds = exp(2.1410953462 + 0.7620574974*u_p_div_u_r + 0.5892959609*delta_peak_mm + 1.2160116297*tau_r_MPa + 1.2942726249*tau_p_div_u_r - 1.1069119400*u_p_div_tau_p - 1.0899557057*tau_r_div_tau_p + 0.3447968200*u_p_div_u_r^2 - 0.2550394199*u_p_div_u_r delta_peak_mm - 0.3597285633*u_p_div_u_r tau_r_MPa + 0.3040040004*u_p_div_u_r tau_p_div_u_r + 0.2655623275*u_p_div_u_r u_p_div_tau_p - 0.3321574021*u_p_div_u_r tau_r_div_tau_p + 0.0339482561*delta_peak_mm^2 - 0.1693944535*delta_peak_mm tau_r_MPa + 0.0431584386*delta_peak_mm tau_p_div_u_r - 0.4421208398*delta_peak_mm u_p_div_tau_p - 0.3557316719*delta_peak_mm tau_r_div_tau_p - 0.3070727186*tau_r_MPa^2 + 0.2206161013*tau_r_MPa tau_p_div_u_r + 0.2983765407*tau_r_MPa u_p_div_tau_p + 0.1073628966*tau_r_MPa tau_r_div_tau_p - 0.6093166743*tau_p_div_u_r^2 + 0.4462956951*tau_p_div_u_r u_p_div_tau_p - 0.2052624367*tau_p_div_u_r tau_r_div_tau_p + 0.2965692904*u_p_div_tau_p^2 + 0.0188697980*u_p_div_tau_p tau_r_div_tau_p - 0.1890004130*tau_r_div_tau_p^2),0.982138474062114,0.9656071716542504,0.0183772724166841,0.9576702089734525,4.207886368907018,0.8952045751792485,0.7324356091445483,0.7448298153219883,19.06021433469091,1.4031043326475707
FULL,2,6,delta_peak_mm + tau_p_div_u_r + u_r_div_tau_r + tau_r_MPa + u_p_div_u_r + tau_r_div_tau_p,log(d_csds) = 2.0028956252 + 0.5709328711*delta_peak_mm + 1.4872492618*tau_p_div_u_r - 1.4911632576*u_r_div_tau_r + 1.3595774185*tau_r_MPa + 0.2847277615*u_p_div_u_r - 1.1769658259*tau_r_div_tau_p + 0.0567675003*delta_peak_mm^2 + 0.3414336526*delta_peak_mm tau_p_div_u_r - 0.7889444406*delta_peak_mm u_r_div_tau_r - 0.2290836011*delta_peak_mm tau_r_MPa - 0.3739748995*delta_peak_mm u_p_div_u_r - 0.2234663199*delta_peak_mm tau_r_div_tau_p - 0.4731652390*tau_p_div_u_r^2 + 0.7947315062*tau_p_div_u_r u_r_div_tau_r + 0.0235513670*tau_p_div_u_r tau_r_MPa + 0.1883934680*tau_p_div_u_r u_p_div_u_r + 0.0274746369*tau_p_div_u_r tau_r_div_tau_p + 0.4243050282*u_r_div_tau_r^2 + 0.6245589907*u_r_div_tau_r tau_r_MPa - 0.6427202197*u_r_div_tau_r u_p_div_u_r - 0.1423507294*u_r_div_tau_r tau_r_div_tau_p - 0.3307046159*tau_r_MPa^2 - 0.3685825248*tau_r_MPa u_p_div_u_r + 0.0367576238*tau_r_MPa tau_r_div_tau_p + 0.4244698535*u_p_div_u_r^2 - 0.3964357094*u_p_div_u_r tau_r_div_tau_p - 0.1516928834*tau_r_div_tau_p^2,d_csds = exp(2.0028956252 + 0.5709328711*delta_peak_mm + 1.4872492618*tau_p_div_u_r - 1.4911632576*u_r_div_tau_r + 1.3595774185*tau_r_MPa + 0.2847277615*u_p_div_u_r - 1.1769658259*tau_r_div_tau_p + 0.0567675003*delta_peak_mm^2 + 0.3414336526*delta_peak_mm tau_p_div_u_r - 0.7889444406*delta_peak_mm u_r_div_tau_r - 0.2290836011*delta_peak_mm tau_r_MPa - 0.3739748995*delta_peak_mm u_p_div_u_r - 0.2234663199*delta_peak_mm tau_r_div_tau_p - 0.4731652390*tau_p_div_u_r^2 + 0.7947315062*tau_p_div_u_r u_r_div_tau_r + 0.0235513670*tau_p_div_u_r tau_r_MPa + 0.1883934680*tau_p_div_u_r u_p_div_u_r + 0.0274746369*tau_p_div_u_r tau_r_div_tau_p + 0.4243050282*u_r_div_tau_r^2 + 0.6245589907*u_r_div_tau_r tau_r_MPa - 0.6427202197*u_r_div_tau_r u_p_div_u_r - 0.1423507294*u_r_div_tau_r tau_r_div_tau_p - 0.3307046159*tau_r_MPa^2 - 0.3685825248*tau_r_MPa u_p_div_u_r + 0.0367576238*tau_r_MPa tau_r_div_tau_p + 0.4244698535*u_p_div_u_r^2 - 0.3964357094*u_p_div_u_r tau_r_div_tau_p - 0.1516928834*tau_r_div_tau_p^2),0.9839123788236586,0.9563042060286728,0.0301181913104215,0.9640006746233488,3.8805038830939713,0.9473590394244384,0.5191109524512104,0.6956215974189487,20.817076241542548,1.3990526627069528
FULL,3,6,delta_peak_mm + u_p_div_u_r + u_p_div_tau_p + tau_r_div_tau_p + tau_p_div_u_r + tau_p_div_u_p,log(d_csds) = 1.9997299878 + 1.2401955996*delta_peak_mm + 0.6131899352*u_p_div_u_r - 1.0962198564*u_p_div_tau_p - 0.9068314172*tau_r_div_tau_p + 1.3758448313*tau_p_div_u_r + 0.8818211331*tau_p_div_u_p + 0.0007567609*delta_peak_mm^2 - 0.3108075961*delta_peak_mm u_p_div_u_r - 0.5801840517*delta_peak_mm u_p_div_tau_p - 0.2811821640*delta_peak_mm tau_r_div_tau_p - 0.5643048800*delta_peak_mm tau_p_div_u_r + 1.0783379270*delta_peak_mm tau_p_div_u_p + 0.3838341227*u_p_div_u_r^2 + 0.2596469115*u_p_div_u_r u_p_div_tau_p - 0.4491541159*u_p_div_u_r tau_r_div_tau_p + 0.1049157577*u_p_div_u_r tau_p_div_u_r - 0.4550350595*u_p_div_u_r tau_p_div_u_p + 0.3389553685*u_p_div_tau_p^2 + 0.0190729422*u_p_div_tau_p tau_r_div_tau_p + 0.3976205027*u_p_div_tau_p tau_p_div_u_r + 0.4969671413*u_p_div_tau_p tau_p_div_u_p - 0.1728020219*tau_r_div_tau_p^2 - 0.0619676557*tau_r_div_tau_p tau_p_div_u_r + 0.2350031289*tau_r_div_tau_p tau_p_div_u_p - 0.1830993788*tau_p_div_u_r^2 - 0.3847992053*tau_p_div_u_r tau_p_div_u_p + 0.0273084741*tau_p_div_u_p^2,d_csds = exp(1.9997299878 + 1.2401955996*delta_peak_mm + 0.6131899352*u_p_div_u_r - 1.0962198564*u_p_div_tau_p - 0.9068314172*tau_r_div_tau_p + 1.3758448313*tau_p_div_u_r + 0.8818211331*tau_p_div_u_p + 0.0007567609*delta_peak_mm^2 - 0.3108075961*delta_peak_mm u_p_div_u_r - 0.5801840517*delta_peak_mm u_p_div_tau_p - 0.2811821640*delta_peak_mm tau_r_div_tau_p - 0.5643048800*delta_peak_mm tau_p_div_u_r + 1.0783379270*delta_peak_mm tau_p_div_u_p + 0.3838341227*u_p_div_u_r^2 + 0.2596469115*u_p_div_u_r u_p_div_tau_p - 0.4491541159*u_p_div_u_r tau_r_div_tau_p + 0.1049157577*u_p_div_u_r tau_p_div_u_r - 0.4550350595*u_p_div_u_r tau_p_div_u_p + 0.3389553685*u_p_div_tau_p^2 + 0.0190729422*u_p_div_tau_p tau_r_div_tau_p + 0.3976205027*u_p_div_tau_p tau_p_div_u_r + 0.4969671413*u_p_div_tau_p tau_p_div_u_p - 0.1728020219*tau_r_div_tau_p^2 - 0.0619676557*tau_r_div_tau_p tau_p_div_u_r + 0.2350031289*tau_r_div_tau_p tau_p_div_u_p - 0.1830993788*tau_p_div_u_r^2 - 0.3847992053*tau_p_div_u_r tau_p_div_u_p + 0.0273084741*tau_p_div_u_p^2),0.9763807744668984,0.9671084058233038,0.015168390251604,0.9117354640534658,6.076228010050828,0.8590836214672706,0.8493350093035491,0.815483601945255,16.208032547860604,1.39841813835339
FULL,4,6,u_p_x_tau_r + delta_peak_mm + tau_p_div_u_r + u_p_div_tau_p + tau_r_div_tau_p + u_p_div_u_r,log(d_csds) = 1.9803506709 + 1.2026608123*u_p_x_tau_r + 0.6087869219*delta_peak_mm + 1.5808395581*tau_p_div_u_r - 1.2887768806*u_p_div_tau_p - 1.0454282414*tau_r_div_tau_p + 0.5581622505*u_p_div_u_r - 0.1750322645*u_p_x_tau_r^2 + 0.0235172054*u_p_x_tau_r delta_peak_mm + 0.0562214026*u_p_x_tau_r tau_p_div_u_r + 0.1129691323*u_p_x_tau_r u_p_div_tau_p - 0.2662883812*u_p_x_tau_r tau_r_div_tau_p - 0.1209267034*u_p_x_tau_r u_p_div_u_r - 0.0304104659*delta_peak_mm^2 - 0.1558230560*delta_peak_mm tau_p_div_u_r - 0.4411234212*delta_peak_mm u_p_div_tau_p - 0.3756049819*delta_peak_mm tau_r_div_tau_p - 0.1827593007*delta_peak_mm u_p_div_u_r - 0.4971045143*tau_p_div_u_r^2 + 0.4830064064*tau_p_div_u_r u_p_div_tau_p + 0.0704118859*tau_p_div_u_r tau_r_div_tau_p - 0.1473779343*tau_p_div_u_r u_p_div_u_r + 0.3039096012*u_p_div_tau_p^2 + 0.0207022514*u_p_div_tau_p tau_r_div_tau_p + 0.2502739661*u_p_div_tau_p u_p_div_u_r - 0.1382676041*tau_r_div_tau_p^2 - 0.4728095168*tau_r_div_tau_p u_p_div_u_r + 0.4742455707*u_p_div_u_r^2,d_csds = exp(1.9803506709 + 1.2026608123*u_p_x_tau_r + 0.6087869219*delta_peak_mm + 1.5808395581*tau_p_div_u_r - 1.2887768806*u_p_div_tau_p - 1.0454282414*tau_r_div_tau_p + 0.5581622505*u_p_div_u_r - 0.1750322645*u_p_x_tau_r^2 + 0.0235172054*u_p_x_tau_r delta_peak_mm + 0.0562214026*u_p_x_tau_r tau_p_div_u_r + 0.1129691323*u_p_x_tau_r u_p_div_tau_p - 0.2662883812*u_p_x_tau_r tau_r_div_tau_p - 0.1209267034*u_p_x_tau_r u_p_div_u_r - 0.0304104659*delta_peak_mm^2 - 0.1558230560*delta_peak_mm tau_p_div_u_r - 0.4411234212*delta_peak_mm u_p_div_tau_p - 0.3756049819*delta_peak_mm tau_r_div_tau_p - 0.1827593007*delta_peak_mm u_p_div_u_r - 0.4971045143*tau_p_div_u_r^2 + 0.4830064064*tau_p_div_u_r u_p_div_tau_p + 0.0704118859*tau_p_div_u_r tau_r_div_tau_p - 0.1473779343*tau_p_div_u_r u_p_div_u_r + 0.3039096012*u_p_div_tau_p^2 + 0.0207022514*u_p_div_tau_p tau_r_div_tau_p + 0.2502739661*u_p_div_tau_p u_p_div_u_r - 0.1382676041*tau_r_div_tau_p^2 - 0.4728095168*tau_r_div_tau_p u_p_div_u_r + 0.4742455707*u_p_div_u_r^2),0.9750970201428164,0.96412906297831,0.0130519440094607,0.7602374388910326,10.014554301867564,0.8373008100060575,0.9126221065893504,0.8365698275541794,15.253831178735332,1.3958563572310252
FULL,5,6,tau_r_MPa + u_p_div_u_r + tau_p_div_u_p + tau_r_div_tau_p + u_p_div_tau_p + delta_peak_mm,log(d_csds) = 2.0486491023 + 1.6153217107*tau_r_MPa + 1.1276921891*u_p_div_u_r + 0.9013491463*tau_p_div_u_p - 1.0748271928*tau_r_div_tau_p - 1.1811921781*u_p_div_tau_p + 0.4698234656*delta_peak_mm - 0.5071516241*tau_r_MPa^2 - 0.0145150480*tau_r_MPa u_p_div_u_r - 0.1054079061*tau_r_MPa tau_p_div_u_p + 0.2280339175*tau_r_MPa tau_r_div_tau_p + 0.1707265960*tau_r_MPa u_p_div_tau_p - 0.2099743060*tau_r_MPa delta_peak_mm + 0.3590109644*u_p_div_u_r^2 - 0.0819418241*u_p_div_u_r tau_p_div_u_p - 0.5473426763*u_p_div_u_r tau_r_div_tau_p + 0.1492385423*u_p_div_u_r u_p_div_tau_p - 0.3269387980*u_p_div_u_r delta_peak_mm - 0.1303418287*tau_p_div_u_p^2 - 0.0491828510*tau_p_div_u_p tau_r_div_tau_p + 0.5579226455*tau_p_div_u_p u_p_div_tau_p + 0.1128205896*tau_p_div_u_p delta_peak_mm - 0.1731195324*tau_r_div_tau_p^2 + 0.1080477161*tau_r_div_tau_p u_p_div_tau_p - 0.4067826510*tau_r_div_tau_p delta_peak_mm + 0.2874809521*u_p_div_tau_p^2 - 0.3604677345*u_p_div_tau_p delta_peak_mm + 0.0551938689*delta_peak_mm^2,d_csds = exp(2.0486491023 + 1.6153217107*tau_r_MPa + 1.1276921891*u_p_div_u_r + 0.9013491463*tau_p_div_u_p - 1.0748271928*tau_r_div_tau_p - 1.1811921781*u_p_div_tau_p + 0.4698234656*delta_peak_mm - 0.5071516241*tau_r_MPa^2 - 0.0145150480*tau_r_MPa u_p_div_u_r - 0.1054079061*tau_r_MPa tau_p_div_u_p + 0.2280339175*tau_r_MPa tau_r_div_tau_p + 0.1707265960*tau_r_MPa u_p_div_tau_p - 0.2099743060*tau_r_MPa delta_peak_mm + 0.3590109644*u_p_div_u_r^2 - 0.0819418241*u_p_div_u_r tau_p_div_u_p - 0.5473426763*u_p_div_u_r tau_r_div_tau_p + 0.1492385423*u_p_div_u_r u_p_div_tau_p - 0.3269387980*u_p_div_u_r delta_peak_mm - 0.1303418287*tau_p_div_u_p^2 - 0.0491828510*tau_p_div_u_p tau_r_div_tau_p + 0.5579226455*tau_p_div_u_p u_p_div_tau_p + 0.1128205896*tau_p_div_u_p delta_peak_mm - 0.1731195324*tau_r_div_tau_p^2 + 0.1080477161*tau_r_div_tau_p u_p_div_tau_p - 0.4067826510*tau_r_div_tau_p delta_peak_mm + 0.2874809521*u_p_div_tau_p^2 - 0.3604677345*u_p_div_tau_p delta_peak_mm + 0.0551938689*delta_peak_mm^2),0.9779308673405414,0.9606141828288308,0.0251907264677362,0.8964510407749684,6.581332161714801,0.8671896667937262,0.8245447338450477,0.7594347135484155,18.50671323307187,1.395718886108183
