,n,mean,median,mode,min,max,variance,std,cv_percent,Q1,Q3,IQR,outlier_low,outlier_high,n_outliers
sigma_n_MPa,299.0,173.39420401337793,5.0,0.5,0.01,5516.0,587329.5498988054,766.3742883857766,441.98379798591674,0.5,20.0,19.5,-28.75,49.25,24.0
delta_peak_mm,299.0,1.3074247491638795,0.92,0.1,0.05,12.65,2.197039318982739,1.4822413160422763,113.37106146951822,0.42,1.68,1.26,-1.4700000000000002,3.5700000000000003,16.0
tau_peak_MPa_csds,299.0,5.0738117056856185,1.816,0.64,0.015,55.263,44.675405151976605,6.683966274000536,131.73461416612304,0.5465,5.645,5.0985,-7.101249999999999,13.292749999999998,61.0
u_r_mm,299.0,5.215171858222852,3.75,1.5666666666666669,0.6167440601439975,31.453947067343865,22.531771945005854,4.7467643658607965,91.01836899922083,2.175,5.806185473655189,3.631185473655189,-3.2717782104827835,11.252963684137972,39.0
tau_r_MPa,299.0,4.151476337601302,1.2245,0.0153092991217785,0.014,18.994999999999997,29.036159835066172,5.3885211176227354,129.79770759662307,0.4429166666666666,4.427583333333333,3.984666666666666,-5.534083333333333,10.404583333333331,61.0
a_csds,299.0,4.151476337601302,1.2245,0.0153092991217785,0.014,18.994999999999997,29.036159835066172,5.3885211176227354,129.79770759662307,0.4429166666666666,4.427583333333333,3.984666666666666,-5.534083333333333,10.404583333333331,61.0
b_csds,299.0,17.72681007090898,1.9691572578488556,0.0008090983306987,0.0008090983306987,1213.8760619263403,6440.064971021309,80.25001539576992,452.70420947007375,0.34663154500297755,6.477773864536003,6.1311423195330255,-8.85008193429656,15.67448734383554,40.0
c_csds,299.0,1.6479076327566495,1.3333333333333333,3.191489361702127,0.1589625616554528,8.107090644428094,1.0831369308507355,1.0407386467556279,63.15515664034286,0.8621112075693093,2.298850574712644,1.4367393671433346,-1.2929978431456925,4.453959625427646,1.0
d_csds,299.0,21.87828640851028,5.131835000811389,0.0164195869070291,0.0164195869070291,1227.1610619263406,6703.267766817093,81.87348634825008,374.22257310061855,0.9109324454113867,15.343495138549281,14.432562693137895,-20.737911594295454,36.992339178256124,29.0
e_csds,299.0,6.8526708651773856,3.420782268328867,0.3027127732951231,0.3027127732951231,77.68977402204777,94.84119143635495,9.738644229889237,142.1145772428273,1.898440208356655,7.934756385196393,6.036316176839739,-7.156034056902952,16.989230650456,22.0
e_minus_c_csds,299.0,5.204763232420736,1.975232314400436,0.016998487580837385,0.016998487580837385,73.47363196212504,83.6594875317543,9.146556047592684,175.73433486115795,0.7966472768533859,5.664555069335248,4.867907792481862,-6.5052144118694075,12.966416758058042,25.0
log_d_csds,299.0,1.0117818221857722,1.6354632951865318,-4.109280333189722,-4.109280333189722,7.112458700910083,5.643493226304696,2.375603760374338,234.79407400720785,-0.09364557302072588,2.730574796355939,2.8242203693766648,-4.329976127085723,6.9669053504209355,1.0
log_e_minus_c_csds,299.0,0.673972380956891,0.6806860189800326,-4.07463090471671,-4.07463090471671,4.296926593038415,2.2656712904231022,1.505214699112091,223.33477478335544,-0.2273674951973788,1.7342267435275962,1.961594238724975,-3.1697588532848413,4.676618101615059,4.0
