Dataset,Rank_in_saved_results,N_Input_Features,Input_Features,Equation_log_d_scaled_space,Equation_d_scaled_space,Saved_R2_val_log,Saved_R2_cv_mean_log,Saved_R2_cv_std_log,Saved_R2_val_d,Saved_RMSE_val_d,Saved_Selection_Score
LOW_2,1,2,u_p_div_u_r + tau_r_div_tau_p,log(d_csds) = 2.2648716975 + 0.7203422621*u_p_div_u_r - 0.5380117632*tau_r_div_tau_p + 0.2528628249*u_p_div_u_r^2 - 0.4602657679*u_p_div_u_r tau_r_div_tau_p - 0.0539099543*tau_r_div_tau_p^2,d_csds = exp(2.2648716975 + 0.7203422621*u_p_div_u_r - 0.5380117632*tau_r_div_tau_p + 0.2528628249*u_p_div_u_r^2 - 0.4602657679*u_p_div_u_r tau_r_div_tau_p - 0.0539099543*tau_r_div_tau_p^2),0.987968674129194,0.9053147563731644,0.0521247365250651,0.995292398740688,2.392592303838576,1.4154135786632696
LOW_2,2,3,u_p_div_u_r + tau_r_div_tau_p + u_r_div_u_p,log(d_csds) = 2.1056941997 + 0.2806304404*u_p_div_u_r - 0.5534638996*tau_r_div_tau_p - 0.3201600425*u_r_div_u_p + 0.2623961008*u_p_div_u_r^2 - 0.4159177875*u_p_div_u_r tau_r_div_tau_p - 0.1535995580*u_p_div_u_r u_r_div_u_p - 0.0601762081*tau_r_div_tau_p^2 + 0.0601295511*tau_r_div_tau_p u_r_div_u_p + 0.0312697560*u_r_div_u_p^2,d_csds = exp(2.1056941997 + 0.2806304404*u_p_div_u_r - 0.5534638996*tau_r_div_tau_p - 0.3201600425*u_r_div_u_p + 0.2623961008*u_p_div_u_r^2 - 0.4159177875*u_p_div_u_r tau_r_div_tau_p - 0.1535995580*u_p_div_u_r u_r_div_u_p - 0.0601762081*tau_r_div_tau_p^2 + 0.0601295511*tau_r_div_tau_p u_r_div_u_p + 0.0312697560*u_r_div_u_p^2),0.9918446402195584,0.914332297957003,0.0454405577914914,0.996622813122818,2.026499088674415,1.414466733418911
LOW_2,3,4,tau_r_div_tau_p + u_r_div_u_p + u_p_div_u_r + tau_peak_MPa_csds,log(d_csds) = 2.0789787963 - 0.4561058858*tau_r_div_tau_p - 0.3224056342*u_r_div_u_p + 0.3096990584*u_p_div_u_r + 0.1429442950*tau_peak_MPa_csds - 0.0076796361*tau_r_div_tau_p^2 + 0.0821114714*tau_r_div_tau_p u_r_div_u_p - 0.3777861408*tau_r_div_tau_p u_p_div_u_r + 0.0008605017*tau_r_div_tau_p tau_peak_MPa_csds + 0.0315535276*u_r_div_u_p^2 - 0.2127836711*u_r_div_u_p u_p_div_u_r + 0.0351411003*u_r_div_u_p tau_peak_MPa_csds + 0.2009650983*u_p_div_u_r^2 + 0.0523110255*u_p_div_u_r tau_peak_MPa_csds - 0.0196873193*tau_peak_MPa_csds^2,d_csds = exp(2.0789787963 - 0.4561058858*tau_r_div_tau_p - 0.3224056342*u_r_div_u_p + 0.3096990584*u_p_div_u_r + 0.1429442950*tau_peak_MPa_csds - 0.0076796361*tau_r_div_tau_p^2 + 0.0821114714*tau_r_div_tau_p u_r_div_u_p - 0.3777861408*tau_r_div_tau_p u_p_div_u_r + 0.0008605017*tau_r_div_tau_p tau_peak_MPa_csds + 0.0315535276*u_r_div_u_p^2 - 0.2127836711*u_r_div_u_p u_p_div_u_r + 0.0351411003*u_r_div_u_p tau_peak_MPa_csds + 0.2009650983*u_p_div_u_r^2 + 0.0523110255*u_p_div_u_r tau_peak_MPa_csds - 0.0196873193*tau_peak_MPa_csds^2),0.9868404753002415,0.945038559878762,0.050494250874256,0.8244604593584055,14.6102061885322,1.414310330152197
LOW_2,4,4,u_r_div_u_p + u_p_div_u_r + tau_r_div_tau_p + tau_r_MPa,log(d_csds) = 2.0725056317 - 0.3130952012*u_r_div_u_p + 0.2963556866*u_p_div_u_r - 0.6042901080*tau_r_div_tau_p + 0.1597174030*tau_r_MPa + 0.0275688005*u_r_div_u_p^2 - 0.1972049504*u_r_div_u_p u_p_div_u_r + 0.0649259529*u_r_div_u_p tau_r_div_tau_p + 0.0017669864*u_r_div_u_p tau_r_MPa + 0.2187561839*u_p_div_u_r^2 - 0.3967239701*u_p_div_u_r tau_r_div_tau_p + 0.0106451903*u_p_div_u_r tau_r_MPa - 0.0146457156*tau_r_div_tau_p^2 + 0.0368221715*tau_r_div_tau_p tau_r_MPa - 0.0379205521*tau_r_MPa^2,d_csds = exp(2.0725056317 - 0.3130952012*u_r_div_u_p + 0.2963556866*u_p_div_u_r - 0.6042901080*tau_r_div_tau_p + 0.1597174030*tau_r_MPa + 0.0275688005*u_r_div_u_p^2 - 0.1972049504*u_r_div_u_p u_p_div_u_r + 0.0649259529*u_r_div_u_p tau_r_div_tau_p + 0.0017669864*u_r_div_u_p tau_r_MPa + 0.2187561839*u_p_div_u_r^2 - 0.3967239701*u_p_div_u_r tau_r_div_tau_p + 0.0106451903*u_p_div_u_r tau_r_MPa - 0.0146457156*tau_r_div_tau_p^2 + 0.0368221715*tau_r_div_tau_p tau_r_MPa - 0.0379205521*tau_r_MPa^2),0.991054104383637,0.93720144888042,0.0618059917003394,0.939758739263682,8.558859405453418,1.413474229653813
LOW_2,5,4,tau_r_div_tau_p + u_r_div_u_p + u_p_div_u_r + tau_p_x_tau_r,log(d_csds) = 2.0799338181 - 0.5345510905*tau_r_div_tau_p - 0.3172630519*u_r_div_u_p + 0.3022664419*u_p_div_u_r + 0.1331484554*tau_p_x_tau_r - 0.0075800195*tau_r_div_tau_p^2 + 0.0637174301*tau_r_div_tau_p u_r_div_u_p - 0.3953865895*tau_r_div_tau_p u_p_div_u_r + 0.0101773175*tau_r_div_tau_p tau_p_x_tau_r + 0.0305197415*u_r_div_u_p^2 - 0.2040449099*u_r_div_u_p u_p_div_u_r + 0.0179405290*u_r_div_u_p tau_p_x_tau_r + 0.2091563301*u_p_div_u_r^2 + 0.0271097625*u_p_div_u_r tau_p_x_tau_r - 0.0283948380*tau_p_x_tau_r^2,d_csds = exp(2.0799338181 - 0.5345510905*tau_r_div_tau_p - 0.3172630519*u_r_div_u_p + 0.3022664419*u_p_div_u_r + 0.1331484554*tau_p_x_tau_r - 0.0075800195*tau_r_div_tau_p^2 + 0.0637174301*tau_r_div_tau_p u_r_div_u_p - 0.3953865895*tau_r_div_tau_p u_p_div_u_r + 0.0101773175*tau_r_div_tau_p tau_p_x_tau_r + 0.0305197415*u_r_div_u_p^2 - 0.2040449099*u_r_div_u_p u_p_div_u_r + 0.0179405290*u_r_div_u_p tau_p_x_tau_r + 0.2091563301*u_p_div_u_r^2 + 0.0271097625*u_p_div_u_r tau_p_x_tau_r - 0.0283948380*tau_p_x_tau_r^2),0.9880611193404412,0.9404669821498988,0.056597124528107,0.8673593239345438,12.700102604399266,1.4126348979625798
HIGH,1,3,tau_p_div_u_p + tau_r_div_u_r + tau_p_div_u_r,log(d_csds) = 3.5054211844 - 1.0485207222*tau_p_div_u_p - 1.1395073711*tau_r_div_u_r + 1.3407847185*tau_p_div_u_r + 0.3896640836*tau_p_div_u_p^2 + 0.4030136964*tau_p_div_u_p tau_r_div_u_r - 0.5929389461*tau_p_div_u_p tau_p_div_u_r + 0.1090387627*tau_r_div_u_r^2 - 0.2258971878*tau_r_div_u_r tau_p_div_u_r - 0.0105861910*tau_p_div_u_r^2,d_csds = exp(3.5054211844 - 1.0485207222*tau_p_div_u_p - 1.1395073711*tau_r_div_u_r + 1.3407847185*tau_p_div_u_r + 0.3896640836*tau_p_div_u_p^2 + 0.4030136964*tau_p_div_u_p tau_r_div_u_r - 0.5929389461*tau_p_div_u_p tau_p_div_u_r + 0.1090387627*tau_r_div_u_r^2 - 0.2258971878*tau_r_div_u_r tau_p_div_u_r - 0.0105861910*tau_p_div_u_r^2),0.9087902451464704,0.499216691049644,0.0284679302929621,0.859648309752901,21.72715193652344,1.1255517976419962
HIGH,2,4,tau_r_div_u_r + tau_p_div_u_p + u_p_div_tau_p + tau_p_div_u_r,log(d_csds) = 3.7303271735 - 1.1615891737*tau_r_div_u_r - 0.4474193225*tau_p_div_u_p + 0.7265798021*u_p_div_tau_p + 1.5245264655*tau_p_div_u_r + 0.1571136544*tau_r_div_u_r^2 + 0.4559278158*tau_r_div_u_r tau_p_div_u_p - 0.1238175645*tau_r_div_u_r u_p_div_tau_p - 0.2836733675*tau_r_div_u_r tau_p_div_u_r + 0.0785264981*tau_p_div_u_p^2 - 0.3478407242*tau_p_div_u_p u_p_div_tau_p - 0.5696399415*tau_p_div_u_p tau_p_div_u_r - 0.1320558694*u_p_div_tau_p^2 + 0.3997132798*u_p_div_tau_p tau_p_div_u_r + 0.1025819714*tau_p_div_u_r^2,d_csds = exp(3.7303271735 - 1.1615891737*tau_r_div_u_r - 0.4474193225*tau_p_div_u_p + 0.7265798021*u_p_div_tau_p + 1.5245264655*tau_p_div_u_r + 0.1571136544*tau_r_div_u_r^2 + 0.4559278158*tau_r_div_u_r tau_p_div_u_p - 0.1238175645*tau_r_div_u_r u_p_div_tau_p - 0.2836733675*tau_r_div_u_r tau_p_div_u_r + 0.0785264981*tau_p_div_u_p^2 - 0.3478407242*tau_p_div_u_p u_p_div_tau_p - 0.5696399415*tau_p_div_u_p tau_p_div_u_r - 0.1320558694*u_p_div_tau_p^2 + 0.3997132798*u_p_div_tau_p tau_p_div_u_r + 0.1025819714*tau_p_div_u_r^2),0.9187889594453152,0.4150853689070655,0.0850195210084977,0.7643068031144895,28.155775994388105,1.077829691797998
HIGH,3,2,tau_p_div_u_r + tau_r_div_u_p,log(d_csds) = 3.3806959235 + 0.4893566236*tau_p_div_u_r - 1.1178496838*tau_r_div_u_p - 0.0403589424*tau_p_div_u_r^2 - 0.2516938318*tau_p_div_u_r tau_r_div_u_p + 0.4115247102*tau_r_div_u_p^2,d_csds = exp(3.3806959235 + 0.4893566236*tau_p_div_u_r - 1.1178496838*tau_r_div_u_p - 0.0403589424*tau_p_div_u_r^2 - 0.2516938318*tau_p_div_u_r tau_r_div_u_p + 0.4115247102*tau_r_div_u_p^2),0.8137688082725855,0.5269440661817376,0.116120262010105,0.5191112604429629,40.217612160587336,1.0456288151624438
HIGH,4,3,tau_p_div_u_p + tau_p_div_u_r + tau_r_MPa,log(d_csds) = 3.2992955908 - 1.1669292006*tau_p_div_u_p + 0.8194810030*tau_p_div_u_r - 0.5598161724*tau_r_MPa + 0.4748026636*tau_p_div_u_p^2 - 0.4507072923*tau_p_div_u_p tau_p_div_u_r + 0.1808009044*tau_p_div_u_p tau_r_MPa + 0.1473028946*tau_p_div_u_r^2 - 0.4265677294*tau_p_div_u_r tau_r_MPa + 0.1470121905*tau_r_MPa^2,d_csds = exp(3.2992955908 - 1.1669292006*tau_p_div_u_p + 0.8194810030*tau_p_div_u_r - 0.5598161724*tau_r_MPa + 0.4748026636*tau_p_div_u_p^2 - 0.4507072923*tau_p_div_u_p tau_p_div_u_r + 0.1808009044*tau_p_div_u_p tau_r_MPa + 0.1473028946*tau_p_div_u_r^2 - 0.4265677294*tau_p_div_u_r tau_r_MPa + 0.1470121905*tau_r_MPa^2),0.7795210551697171,0.5162136433443856,0.0639387315477922,0.6503624075810248,34.292807239244645,1.0012340036871306
HIGH,5,2,u_p_x_tau_p + tau_p_div_u_r,log(d_csds) = 3.8630364600 + 0.8899593257*u_p_x_tau_p + 0.3574357783*tau_p_div_u_r - 0.1441984834*u_p_x_tau_p^2 + 0.2350385987*u_p_x_tau_p tau_p_div_u_r - 0.0372552842*tau_p_div_u_r^2,d_csds = exp(3.8630364600 + 0.8899593257*u_p_x_tau_p + 0.3574357783*tau_p_div_u_r - 0.1441984834*u_p_x_tau_p^2 + 0.2350385987*u_p_x_tau_p tau_p_div_u_r - 0.0372552842*tau_p_div_u_r^2),0.7887899663411092,0.4816048093362884,0.1297109107088357,0.4796158621703026,41.83656339379357,0.9966212799383698
