Model_ID,Features,Degree,R2_train,RMSE_train,R2_val,RMSE_val,Equation
1,sigma_n_MPa,1,0.005798337509155482,25.043163991735348,0.006546048965147211,19.98577017565663,d_csds = 14.938181 - 0.001457*sigma_n_MPa
24,tau_p_div_u_r,1,0.00020953475887142137,25.113454137813868,0.00635223488227632,19.987719604117256,d_csds = 15.233935 - 0.480950*tau_p_div_u_r
32,sigma_n_div_u_r,1,0.00541239395334725,25.048024328580194,0.005982264415492655,19.991440327897124,d_csds = 14.943514 - 0.019557*sigma_n_div_u_r
8,sigma_n_x_tau_p,1,0.0045230951396288965,25.059220024735385,0.001406327943121899,20.037402546835118,d_csds = 14.858558 - 0.000278*sigma_n_x_tau_p
9,sigma_n_x_tau_r,1,0.004332066363390452,25.061624300756005,0.0002592363379219087,20.048907796668285,d_csds = 14.844225 - 0.000361*sigma_n_x_tau_r
7,sigma_n_x_u_p,1,0.0017391781800578654,25.094235443626296,-0.003006733777759063,20.081629151133022,d_csds = 14.635571 - 0.000319*sigma_n_x_u_p
132,u_r_x_tau_p,2,0.009421162234846125,24.997494285419148,-0.018982890416779252,20.240930061698524,d_csds = 13.004912 + 0.200000*u_r_x_tau_p - 0.003403*u_r_x_tau_p^2
28,tau_p_div_sigma_n,1,0.0009413689905689582,25.104261086587687,-0.02195486717037487,20.270426030387476,d_csds = 12.341369 + 2.136060*tau_p_div_sigma_n
155,sigma_n_MPa + u_r_mm,2,0.014256074890661052,24.936414573727994,-0.027084389040594736,20.321234265227783,d_csds = 13.446071 - 0.000854*sigma_n_MPa + 0.829270*u_r_mm + 0.000001*sigma_n_MPa^2 - 0.000322*sigma_n_MPa u_r_mm - 0.046846*u_r_mm^2
16,u_p_div_u_r,1,0.6875602293498227,14.038965606926967,-0.045395699601269435,20.501581921801247,d_csds = -13.855641 + 117.750426*u_p_div_u_r
12,u_r_x_tau_r,1,0.0014604231229256026,25.097738865085777,-0.04871852277154298,20.534138533830575,d_csds = 15.307695 - 0.064008*u_r_x_tau_r
19,tau_r_div_tau_p,1,0.05036869578225023,24.475381289846748,-0.06374171718740729,20.680694256693773,d_csds = -18.843128 + 42.253081*tau_r_div_tau_p
22,u_p_div_tau_p,1,0.09684759331448178,23.86890394205934,-0.06569777441543834,20.699699829837655,d_csds = 7.112570 + 34.991673*u_p_div_tau_p
26,tau_r_div_u_r,1,0.0031696241601492092,25.076249755007428,-0.06997999077330208,20.741246190011267,d_csds = 11.288330 + 2.187143*tau_r_div_u_r
11,u_r_x_tau_p,1,0.005056170581108632,25.052509550817543,-0.07161848248224367,20.757120953954935,d_csds = 16.176341 - 0.096415*u_r_x_tau_p
10,u_r_x_u_p,1,9.134958189205289e-05,25.11493842398047,-0.07581341286589871,20.797708919772308,d_csds = 14.474735 - 0.013359*u_r_x_u_p
34,sigma_n_MPa + u_r_mm,1,0.009784097856957885,24.992914482198643,-0.12059567978210906,21.226162769128546,d_csds = 16.360121 - 0.000579*sigma_n_MPa - 0.409947*u_r_mm
60,sigma_n_MPa + u_r_mm + delta_peak_mm + tau_peak_MPa_csds + u_p_x_tau_p,1,0.5238491939739188,17.3310237274364,-0.1388324387564217,21.39818475259325,d_csds = 13.994783 - 0.002154*sigma_n_MPa - 3.277546*u_r_mm - 0.522173*delta_peak_mm - 1.660101*tau_peak_MPa_csds + 5.857664*u_p_x_tau_p
123,u_r_mm,2,0.010147688044623404,24.988325577514235,-0.14530917341627103,21.45894605149012,d_csds = 15.444278 - 0.049192*u_r_mm - 0.020663*u_r_mm^2
140,tau_r_div_tau_p,2,0.0769718337851425,24.130117228057582,-0.14985086117380164,21.50145134501531,d_csds = 68.506766 - 213.504700*tau_r_div_tau_p + 178.837081*tau_r_div_tau_p^2
2,u_r_mm,1,0.00918431100198902,25.000482605602066,-0.1551442499116391,21.550885952655424,d_csds = 16.539466 - 0.503428*u_r_mm
68,sigma_n_MPa + u_r_mm + delta_peak_mm + u_p_div_u_r,1,0.690042152293623,13.983093872533226,-0.17514071719664814,21.736617115683938,d_csds = -15.690526 + 0.000645*sigma_n_MPa + 0.381482*u_r_mm - 1.976512*delta_peak_mm + 124.947243*u_p_div_u_r
4,tau_peak_MPa_csds,1,0.011600727902589147,24.96997821031988,-0.17723716708931558,21.75599752773741,d_csds = -1.442723 + 3.402952*tau_peak_MPa_csds
136,tau_p_x_tau_r,2,0.0391478146746812,24.61955767951531,-0.25818822925372453,22.491572864592968,d_csds = 2.902834 + 0.371422*tau_p_x_tau_r + 0.014196*tau_p_x_tau_r^2
86,sigma_n_MPa + u_r_mm + delta_peak_mm + u_p_div_tau_p,1,0.5237035073683134,17.333674888457242,-0.25832718815043076,22.49281485596886,d_csds = 6.454958 - 0.001593*sigma_n_MPa - 3.463301*u_r_mm + 44.086961*delta_peak_mm - 77.799229*u_p_div_tau_p
20,u_r_div_tau_p,1,0.013082672690572728,24.951251967320747,-0.2663511528907414,22.564415767840497,d_csds = 16.613704 - 2.171495*u_r_div_tau_p
15,tau_p_x_tau_r,1,0.038629313682528754,24.626199462520443,-0.2679949210083541,22.579055719289368,d_csds = -0.013380 + 0.816532*tau_p_x_tau_r
141,u_r_div_tau_p,2,0.013121181157710882,24.950765176881102,-0.2731196946232448,22.62463786861939,d_csds = 16.432760 - 1.841513*u_r_div_tau_p - 0.056392*u_r_div_tau_p^2
5,tau_r_MPa,1,0.0560253560566899,24.402376268246247,-0.2840672613056796,22.72170436955577,d_csds = -10.495478 + 6.768090*tau_r_MPa
145,tau_p_div_u_r,2,0.08525735539156154,24.021571623951704,-0.3284635101894031,23.111164737093134,d_csds = -3.423060 + 39.684448*tau_p_div_u_r - 14.147585*tau_p_div_u_r^2
142,u_r_div_tau_r,2,0.018502032794568635,24.882651509669643,-0.33080817600248835,23.131550720156014,d_csds = 17.241340 - 2.188742*u_r_div_tau_r + 0.035552*u_r_div_tau_r^2
51,sigma_n_MPa + u_r_mm + delta_peak_mm + tau_peak_MPa_csds + u_r_x_u_p,1,0.5925184902166439,16.032672017222303,-0.3355796981886905,23.172981916986444,d_csds = -30.114079 - 0.003804*sigma_n_MPa - 0.494653*u_r_mm + 35.704402*delta_peak_mm + 5.258664*tau_peak_MPa_csds - 1.201828*u_r_x_u_p
125,tau_peak_MPa_csds,2,0.029801640872435753,24.739004683480026,-0.3416089760052645,23.225228525221436,d_csds = -80.548289 + 40.600839*tau_peak_MPa_csds - 4.217785*tau_peak_MPa_csds^2
147,tau_r_div_u_r,2,0.07285473059506387,24.18387270970918,-0.3571549172412618,23.35940253475812,d_csds = -5.354331 + 52.420805*tau_r_div_u_r - 22.497814*tau_r_div_u_r^2
21,u_r_div_tau_r,1,0.018478093967928433,24.882954952910854,-0.3801903014013037,23.556811348371355,d_csds = 17.080352 - 1.944452*u_r_div_tau_r
61,sigma_n_MPa + u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa + u_p_x_tau_p,1,0.5242089288773117,17.324475642168746,-0.38174966477537975,23.57011504246009,d_csds = 12.817414 - 0.002008*sigma_n_MPa - 3.398594*u_r_mm + 1.604771*delta_peak_mm - 0.634993*tau_peak_MPa_csds - 0.975396*tau_r_MPa + 5.495684*u_p_x_tau_p
18,tau_p_div_tau_r,1,0.02951051639721136,24.742716084086428,-0.39709193427400735,23.70060929577084,d_csds = 32.791600 - 13.925038*tau_p_div_tau_r
52,sigma_n_MPa + u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa + u_r_x_u_p,1,0.5929071559617459,16.025024017401137,-0.41918809035182236,23.88729633748919,d_csds = -30.158120 - 0.003792*sigma_n_MPa - 0.574940*u_r_mm + 35.994308*delta_peak_mm + 6.039390*tau_peak_MPa_csds - 0.970532*tau_r_MPa - 1.193175*u_r_x_u_p
126,tau_r_MPa,2,0.10360786740782535,23.779404417586488,-0.4676216487739573,24.291485439916745,d_csds = 50.257630 - 36.169356*tau_r_MPa + 6.796717*tau_r_MPa^2
70,sigma_n_MPa + u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa + u_p_div_u_r,1,0.7490027320322532,12.58306534939682,-0.4779161395921727,24.376531706776195,d_csds = -53.387569 - 0.000417*sigma_n_MPa + 1.517262*u_r_mm - 5.835680*delta_peak_mm + 13.874390*tau_peak_MPa_csds - 9.409021*tau_r_MPa + 153.145023*u_p_div_u_r
