Features,Feature_List,Branch_Signature,N_Features,R2_train_log,RMSE_train_log,R2_val_log,RMSE_val_log,R2_cv_mean_log,R2_cv_std_log,R2_train_d,RMSE_train_d,R2_val_d,RMSE_val_d,Selection_Mode,Selection_Score
u_r_div_tau_r + delta_peak_mm + u_p_div_tau_p + tau_r_div_tau_p + u_r_div_u_p,"['u_r_div_tau_r', 'delta_peak_mm', 'u_p_div_tau_p', 'tau_r_div_tau_p', 'u_r_div_u_p']",base_up | ratio,5,0.6833973760046699,0.5572658608882445,0.1908910254790187,0.8688164415355769,0.5009517881897046,0.16294331317458668,0.16712547938262678,160.09438578003812,0.8235144460166726,24.36399821601519,d,1.0076960087940663
u_r_div_tau_r + u_p_div_u_r + tau_r_div_tau_p + delta_peak_mm + tau_p_div_u_p + u_p_div_tau_p,"['u_r_div_tau_r', 'u_p_div_u_r', 'tau_r_div_tau_p', 'delta_peak_mm', 'tau_p_div_u_p', 'u_p_div_tau_p']",base_up | ratio,6,0.7353480465371907,0.509498295240288,0.8343590919540227,0.3931047785447345,0.4203435252257619,0.20125765249022132,0.2110580731289129,155.814845125388,0.860934646138555,21.627357061678975,d,0.9909806435024138
delta_peak_mm + u_p_div_u_r + u_p_div_tau_p + u_r_div_tau_r,"['delta_peak_mm', 'u_p_div_u_r', 'u_p_div_tau_p', 'u_r_div_tau_r']",base_up | ratio,4,0.6275307481693859,0.6044361025043616,0.870700559557666,0.3473144436015786,0.4768198003872353,0.19426776516234287,0.11762238186254825,164.7834365752662,0.7910887748126854,26.50787205955176,d,0.9700718984900688
