Dataset,Selection_Mode,Rank_in_saved_results,Feature,Coefficient_in_log_d_equation
LOW_2,log,5,u_r_mm,0.012948591427112636
LOW_2,d,1,u_r_div_u_p,0.04948787999060898
LOW_2,d,1,u_p_x_tau_p,0.03537718208317329
LOW_2,d,1,tau_r_MPa,0.3736478046686968
LOW_2,d,1,u_p_div_u_r,4.4958164776755245
LOW_2,d,1,u_p_div_tau_r,-0.30469803672455364
LOW_2,d,1,tau_r_div_tau_p,-3.664912542118456
LOW_2,d,2,tau_r_div_tau_p,-3.639793299971367
LOW_2,d,2,tau_r_MPa,0.3918682501006563
LOW_2,d,2,u_p_x_tau_p,0.04042090653147883
LOW_2,d,2,u_p_div_u_r,4.300285704583232
LOW_2,d,2,u_r_x_tau_p,-0.004949391178688468
LOW_2,d,2,u_r_div_u_p,0.058534784367546326
LOW_2,d,3,u_p_x_tau_r,0.041316153159086426
LOW_2,d,3,u_p_div_u_r,4.3035702011364085
LOW_2,d,3,tau_r_div_tau_p,-3.742756270624809
LOW_2,d,3,tau_r_MPa,0.4029961457121106
LOW_2,d,3,u_r_div_u_p,0.05342934477081742
LOW_2,d,3,u_r_x_tau_r,-0.004440359970083956
LOW_2,d,4,u_p_div_u_r,4.406317128848764
LOW_2,d,4,tau_r_MPa,0.32775810589353066
LOW_2,d,4,tau_r_div_tau_p,-3.841129260707456
LOW_2,d,4,u_r_div_u_p,0.05300008252558999
LOW_2,d,4,u_p_x_tau_r,0.04122994388846998
LOW_2,d,4,tau_r_div_u_r,0.15683075479311281
LOW_2,d,5,u_p_div_u_r,4.460245362724539
LOW_2,d,5,u_p_div_tau_r,-0.22739692289987187
LOW_2,d,5,tau_r_div_tau_p,-3.8214551641442527
LOW_2,d,5,u_p_x_tau_r,0.03693610968834882
LOW_2,d,5,u_r_div_u_p,0.047241104759617326
LOW_2,d,5,tau_r_MPa,0.3878507364789832
HIGH,log,1,delta_peak_mm,0.2620108713136907
HIGH,log,1,tau_p_div_u_r,0.6560523822693334
HIGH,log,1,tau_r_div_u_r,-0.8451912894721919
HIGH,log,1,u_p_div_u_r,3.8083630775774973
HIGH,log,1,u_p_div_tau_p,-6.975806736727414
HIGH,log,2,tau_p_div_u_r,0.6857894975876836
HIGH,log,2,tau_r_div_u_r,-0.9426572952730501
HIGH,log,2,u_r_div_u_p,-0.033008730588801403
HIGH,log,2,u_p_div_u_r,4.133735936439573
HIGH,log,2,u_p_div_tau_p,-5.078920433947805
HIGH,log,3,tau_r_div_u_r,-0.9472677988137391
HIGH,log,3,u_p_div_u_r,4.029932002371421
HIGH,log,3,tau_p_div_u_r,0.7844480463469334
HIGH,log,3,u_p_div_tau_p,-4.622554401673731
