Dataset,Model_ID,Features,Degree,R2_train,RMSE_train,R2_val,RMSE_val,Equation
HIGH,8,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,2,0.9152518930145572,19.669338516361545,-2.819634577165143,514.4541161920102,d_csds = -32.647772 - 13.900373*u_r_mm + 51.170316*delta_peak_mm + 16.857978*tau_peak_MPa_csds - 6.510527*tau_r_MPa + 1.016114*u_r_mm^2 - 8.100591*u_r_mm delta_peak_mm - 6.993407*u_r_mm tau_peak_MPa_csds + 8.213660*u_r_mm tau_r_MPa + 4.235930*delta_peak_mm^2 + 49.022878*delta_peak_mm tau_peak_MPa_csds - 51.219017*delta_peak_mm tau_r_MPa - 0.885126*tau_peak_MPa_csds^2 + 0.509158*tau_peak_MPa_csds tau_r_MPa - 0.299810*tau_r_MPa^2
HIGH,12,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,3,0.9971916931765565,3.5805276287925203,-22.56128523173763,1277.7186288736054,d_csds = 70.714781 - 46.194141*u_r_mm - 49.793223*delta_peak_mm - 13.803989*tau_peak_MPa_csds + 8.072531*tau_r_MPa - 0.332269*u_r_mm^2 + 9.630772*u_r_mm delta_peak_mm + 11.612673*u_r_mm tau_peak_MPa_csds - 0.917794*u_r_mm tau_r_MPa + 49.393802*delta_peak_mm^2 + 27.809204*delta_peak_mm tau_peak_MPa_csds - 28.978416*delta_peak_mm tau_r_MPa - 0.655838*tau_peak_MPa_csds^2 + 0.770829*tau_peak_MPa_csds tau_r_MPa - 1.314889*tau_r_MPa^2 - 0.720356*u_r_mm^3 + 8.245565*u_r_mm^2 delta_peak_mm + 0.781245*u_r_mm^2 tau_peak_MPa_csds - 0.468724*u_r_mm^2 tau_r_MPa - 29.663914*u_r_mm delta_peak_mm^2 - 14.381266*u_r_mm delta_peak_mm tau_peak_MPa_csds + 13.060229*u_r_mm delta_peak_mm tau_r_MPa - 1.210920*u_r_mm tau_peak_MPa_csds^2 + 0.817393*u_r_mm tau_peak_MPa_csds tau_r_MPa - 0.137035*u_r_mm tau_r_MPa^2 + 19.551759*delta_peak_mm^3 + 43.238930*delta_peak_mm^2 tau_peak_MPa_csds - 45.817558*delta_peak_mm^2 tau_r_MPa + 2.814647*delta_peak_mm tau_peak_MPa_csds^2 - 9.918747*delta_peak_mm tau_peak_MPa_csds tau_r_MPa + 7.748320*delta_peak_mm tau_r_MPa^2 + 0.266860*tau_peak_MPa_csds^3 - 0.483351*tau_peak_MPa_csds^2 tau_r_MPa + 0.622504*tau_peak_MPa_csds tau_r_MPa^2 - 0.338856*tau_r_MPa^3
HIGH,11,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,3,0.5529170282791576,45.17714856248584,-56.62482974322754,1998.2074137519955,d_csds = -63.815896 + 37.877840*u_r_mm + 243.756189*delta_peak_mm - 8.495742*tau_peak_MPa_csds + 12.604349*u_r_mm^2 - 97.093203*u_r_mm delta_peak_mm - 11.040705*u_r_mm tau_peak_MPa_csds + 70.362968*delta_peak_mm^2 - 31.873295*delta_peak_mm tau_peak_MPa_csds + 4.727435*tau_peak_MPa_csds^2 - 0.460751*u_r_mm^3 + 0.125837*u_r_mm^2 delta_peak_mm + 0.267325*u_r_mm^2 tau_peak_MPa_csds + 10.745334*u_r_mm delta_peak_mm^2 + 3.539204*u_r_mm delta_peak_mm tau_peak_MPa_csds - 0.026616*u_r_mm tau_peak_MPa_csds^2 - 9.026357*delta_peak_mm^3 - 3.756837*delta_peak_mm^2 tau_peak_MPa_csds + 1.557595*delta_peak_mm tau_peak_MPa_csds^2 - 0.161778*tau_peak_MPa_csds^3
LOW,2,u_r_mm + delta_peak_mm,1,0.17074445007490846,11.547284124160887,0.7159425904881047,7.156540048142557,d_csds = 4.510982 - 0.950169*u_r_mm + 4.759750*delta_peak_mm
LOW,8,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,2,0.7325245359736038,6.55809393947992,0.66633132786538,7.756356488365304,d_csds = 1.944819 - 2.039526*u_r_mm + 9.305505*delta_peak_mm + 17.575466*tau_peak_MPa_csds - 29.194246*tau_r_MPa + 0.264633*u_r_mm^2 - 1.694183*u_r_mm delta_peak_mm - 1.625972*u_r_mm tau_peak_MPa_csds + 0.970173*u_r_mm tau_r_MPa + 1.125909*delta_peak_mm^2 + 12.928885*delta_peak_mm tau_peak_MPa_csds - 8.820685*delta_peak_mm tau_r_MPa - 6.835019*tau_peak_MPa_csds^2 + 17.021246*tau_peak_MPa_csds tau_r_MPa - 7.913429*tau_r_MPa^2
LOW,3,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,1,0.3851890982590027,9.94274813845935,0.6301009630417134,8.166606784826008,d_csds = -0.596071 - 0.852743*u_r_mm + 4.407074*delta_peak_mm + 3.750637*tau_peak_MPa_csds
LOW,4,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,1,0.38933919692614094,9.909133529674284,0.5960892959679331,8.533805221482183,d_csds = -0.408137 - 0.815370*u_r_mm + 4.213660*delta_peak_mm + 1.724559*tau_peak_MPa_csds + 2.487560*tau_r_MPa
LOW,7,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,2,0.6728938499226358,7.252371010949025,0.560452118574045,8.902318753757399,d_csds = 2.217402 - 1.119010*u_r_mm + 4.364043*delta_peak_mm - 2.008832*tau_peak_MPa_csds + 0.197752*u_r_mm^2 - 1.353447*u_r_mm delta_peak_mm - 0.693756*u_r_mm tau_peak_MPa_csds + 1.210399*delta_peak_mm^2 + 4.566965*delta_peak_mm tau_peak_MPa_csds + 0.801000*tau_peak_MPa_csds^2
LOW,6,u_r_mm + delta_peak_mm,2,0.364102177053521,10.111819939626413,0.5169975129643901,9.331999962288842,d_csds = 2.176230 - 3.347982*u_r_mm + 18.073897*delta_peak_mm + 0.266817*u_r_mm^2 - 1.701547*u_r_mm delta_peak_mm + 0.991272*delta_peak_mm^2
LOW,9,u_r_mm,3,0.004272875558683498,12.65335892505434,-0.018727857210069532,13.55280332335449,d_csds = 6.753992 - 0.621884*u_r_mm + 0.040583*u_r_mm^2 - 0.000810*u_r_mm^3
LOW,5,u_r_mm,2,0.00399456489370531,12.65512713976442,-0.030727073614528422,13.632386378545785,d_csds = 6.217140 - 0.326978*u_r_mm + 0.009681*u_r_mm^2
LOW,1,u_r_mm,1,0.0032210408967876525,12.660040338182844,-0.036395055574599766,13.669817328261063,d_csds = 5.733507 - 0.139398*u_r_mm
LOW,10,u_r_mm + delta_peak_mm,3,0.47074957877155965,9.224997659868878,-1.3266122347584077,20.481513621360218,d_csds = 3.738488 - 3.136067*u_r_mm + 13.266306*delta_peak_mm + 1.646896*u_r_mm^2 - 12.414541*u_r_mm delta_peak_mm + 17.165323*delta_peak_mm^2 - 0.098672*u_r_mm^3 + 0.796072*u_r_mm^2 delta_peak_mm - 1.250911*u_r_mm delta_peak_mm^2 + 0.142598*delta_peak_mm^3
LOW,11,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,3,0.8167309754770238,5.428504380556001,-3.634313941200743,28.906317612851847,d_csds = -4.129864 - 1.194316*u_r_mm + 14.094088*delta_peak_mm + 9.441942*tau_peak_MPa_csds + 0.757080*u_r_mm^2 - 5.687411*u_r_mm delta_peak_mm + 0.323957*u_r_mm tau_peak_MPa_csds + 2.960478*delta_peak_mm^2 - 5.780617*delta_peak_mm tau_peak_MPa_csds - 3.993389*tau_peak_MPa_csds^2 - 0.050526*u_r_mm^3 + 0.380423*u_r_mm^2 delta_peak_mm + 0.061095*u_r_mm^2 tau_peak_MPa_csds - 0.373987*u_r_mm delta_peak_mm^2 - 0.514294*u_r_mm delta_peak_mm tau_peak_MPa_csds - 0.232359*u_r_mm tau_peak_MPa_csds^2 + 0.196189*delta_peak_mm^3 + 0.778564*delta_peak_mm^2 tau_peak_MPa_csds + 2.441730*delta_peak_mm tau_peak_MPa_csds^2 + 0.481590*tau_peak_MPa_csds^3
LOW,12,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,3,0.9017695581343899,3.9742822520252714,-10.136204037317322,44.80934901808165,d_csds = 1.079904 - 2.340958*u_r_mm + 11.640134*delta_peak_mm + 15.085154*tau_peak_MPa_csds - 17.318701*tau_r_MPa + 1.036890*u_r_mm^2 - 6.905301*u_r_mm delta_peak_mm - 12.200368*u_r_mm tau_peak_MPa_csds + 14.157713*u_r_mm tau_r_MPa + 4.805889*delta_peak_mm^2 + 85.590476*delta_peak_mm tau_peak_MPa_csds - 97.427505*delta_peak_mm tau_r_MPa - 6.294563*tau_peak_MPa_csds^2 + 1.083937*tau_peak_MPa_csds tau_r_MPa + 7.064457*tau_r_MPa^2 - 0.053747*u_r_mm^3 + 0.352831*u_r_mm^2 delta_peak_mm + 0.022694*u_r_mm^2 tau_peak_MPa_csds + 0.102216*u_r_mm^2 tau_r_MPa - 0.182429*u_r_mm delta_peak_mm^2 + 2.238991*u_r_mm delta_peak_mm tau_peak_MPa_csds - 3.626252*u_r_mm delta_peak_mm tau_r_MPa + 9.308280*u_r_mm tau_peak_MPa_csds^2 - 22.093141*u_r_mm tau_peak_MPa_csds tau_r_MPa + 12.735600*u_r_mm tau_r_MPa^2 + 0.082341*delta_peak_mm^3 - 24.756330*delta_peak_mm^2 tau_peak_MPa_csds + 29.276018*delta_peak_mm^2 tau_r_MPa - 51.483949*delta_peak_mm tau_peak_MPa_csds^2 + 123.242175*delta_peak_mm tau_peak_MPa_csds tau_r_MPa - 71.242360*delta_peak_mm tau_r_MPa^2 - 1.632765*tau_peak_MPa_csds^3 + 10.083598*tau_peak_MPa_csds^2 tau_r_MPa - 14.167751*tau_peak_MPa_csds tau_r_MPa^2 + 5.443905*tau_r_MPa^3
LOW_1,12,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,3,0.9057049777209761,1.395009726105323,0.6993988278718531,1.3477226465486987,d_csds = 0.707631 - 0.559299*u_r_mm + 3.205918*delta_peak_mm + 3.983709*tau_peak_MPa_csds - 14.038990*tau_r_MPa + 0.435752*u_r_mm^2 - 3.433065*u_r_mm delta_peak_mm - 5.800405*u_r_mm tau_peak_MPa_csds + 3.596229*u_r_mm tau_r_MPa + 4.622469*delta_peak_mm^2 + 13.171607*delta_peak_mm tau_peak_MPa_csds + 0.027551*delta_peak_mm tau_r_MPa - 58.651840*tau_peak_MPa_csds^2 + 209.835825*tau_peak_MPa_csds tau_r_MPa - 147.989462*tau_r_MPa^2 - 0.017354*u_r_mm^3 + 0.130274*u_r_mm^2 delta_peak_mm - 0.564112*u_r_mm^2 tau_peak_MPa_csds + 0.988507*u_r_mm^2 tau_r_MPa - 0.069179*u_r_mm delta_peak_mm^2 + 2.952873*u_r_mm delta_peak_mm tau_peak_MPa_csds - 6.051465*u_r_mm delta_peak_mm tau_r_MPa + 18.410732*u_r_mm tau_peak_MPa_csds^2 - 45.699200*u_r_mm tau_peak_MPa_csds tau_r_MPa + 28.860618*u_r_mm tau_r_MPa^2 - 0.411196*delta_peak_mm^3 + 12.155133*delta_peak_mm^2 tau_peak_MPa_csds - 10.537956*delta_peak_mm^2 tau_r_MPa - 109.975115*delta_peak_mm tau_peak_MPa_csds^2 + 300.518871*delta_peak_mm tau_peak_MPa_csds tau_r_MPa - 206.054897*delta_peak_mm tau_r_MPa^2 + 13.710632*tau_peak_MPa_csds^3 - 3.972784*tau_peak_MPa_csds^2 tau_r_MPa - 129.529936*tau_peak_MPa_csds tau_r_MPa^2 + 132.877391*tau_r_MPa^3
LOW_1,4,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,1,0.6376997199229546,2.7344323709711453,0.3836163209177784,1.9298820051981003,d_csds = -0.806637 - 0.345233*u_r_mm + 2.592764*delta_peak_mm + 1.321198*tau_peak_MPa_csds + 2.782290*tau_r_MPa
LOW_1,3,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,1,0.6337965060280362,2.7491225084616464,0.34287688324898846,1.9926387149839533,d_csds = -0.768959 - 0.371289*u_r_mm + 2.728826*delta_peak_mm + 3.162606*tau_peak_MPa_csds
LOW_1,7,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,2,0.7162150105547966,2.420067959609272,0.32688062441112353,2.0167461529843655,d_csds = -1.115332 - 0.543285*u_r_mm + 3.974579*delta_peak_mm + 4.022784*tau_peak_MPa_csds + 0.065118*u_r_mm^2 - 0.501287*u_r_mm delta_peak_mm - 0.323716*u_r_mm tau_peak_MPa_csds + 0.537755*delta_peak_mm^2 + 0.716346*delta_peak_mm tau_peak_MPa_csds - 0.430918*tau_peak_MPa_csds^2
LOW_1,8,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,2,0.773644214217011,2.1613676738100254,0.3052493097345609,2.0488949156838254,d_csds = -0.803143 - 0.796068*u_r_mm + 5.153457*delta_peak_mm - 15.154179*tau_peak_MPa_csds + 19.476570*tau_r_MPa + 0.138834*u_r_mm^2 - 0.976070*u_r_mm delta_peak_mm - 2.410399*u_r_mm tau_peak_MPa_csds + 1.689178*u_r_mm tau_r_MPa + 0.921765*delta_peak_mm^2 + 21.255091*delta_peak_mm tau_peak_MPa_csds - 23.208617*delta_peak_mm tau_r_MPa + 1.722021*tau_peak_MPa_csds^2 + 27.195531*tau_peak_MPa_csds tau_r_MPa - 28.625555*tau_r_MPa^2
LOW_1,11,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,3,0.8301719462108426,1.872136748307089,0.1150188812903008,2.3124491620700884,d_csds = -0.291933 - 2.338963*u_r_mm + 15.709678*delta_peak_mm - 12.520212*tau_peak_MPa_csds + 0.575340*u_r_mm^2 - 2.866294*u_r_mm delta_peak_mm - 1.994105*u_r_mm tau_peak_MPa_csds - 4.546339*delta_peak_mm^2 + 3.506755*delta_peak_mm tau_peak_MPa_csds + 30.940517*tau_peak_MPa_csds^2 - 0.027591*u_r_mm^3 + 0.131070*u_r_mm^2 delta_peak_mm + 0.114502*u_r_mm^2 tau_peak_MPa_csds + 0.220173*u_r_mm delta_peak_mm^2 - 0.317223*u_r_mm delta_peak_mm tau_peak_MPa_csds - 0.140699*u_r_mm tau_peak_MPa_csds^2 + 0.180515*delta_peak_mm^3 - 0.563662*delta_peak_mm^2 tau_peak_MPa_csds + 3.128719*delta_peak_mm tau_peak_MPa_csds^2 - 13.371449*tau_peak_MPa_csds^3
LOW_1,10,u_r_mm + delta_peak_mm,3,0.7376280614476289,2.3269740700575148,-0.013756499370896513,2.474981842206329,d_csds = 3.013405 - 2.816907*u_r_mm + 10.504620*delta_peak_mm + 0.680374*u_r_mm^2 - 3.883464*u_r_mm delta_peak_mm + 2.170128*delta_peak_mm^2 - 0.034833*u_r_mm^3 + 0.235179*u_r_mm^2 delta_peak_mm - 0.254263*u_r_mm delta_peak_mm^2 + 0.155844*delta_peak_mm^3
LOW_1,6,u_r_mm + delta_peak_mm,2,0.6568372788908101,2.6612330190006213,-0.24805137324301296,2.7461320861134313,d_csds = 1.936711 - 1.140263*u_r_mm + 4.567271*delta_peak_mm + 0.091797*u_r_mm^2 - 0.583130*u_r_mm delta_peak_mm + 0.682514*delta_peak_mm^2
LOW_1,1,u_r_mm,1,0.01069353616635127,4.51854149771989,-0.31237875066617504,2.816013848501397,d_csds = 1.445194 + 0.103639*u_r_mm
LOW_1,2,u_r_mm + delta_peak_mm,1,0.5233367602992554,3.1364522636378456,-0.3184109563034838,2.822478178966377,d_csds = 1.077217 - 0.443040*u_r_mm + 2.938030*delta_peak_mm
LOW_1,5,u_r_mm,2,0.02562573867974116,4.484311298575966,-0.3240902861766335,2.8285508525642022,d_csds = 2.277809 - 0.243252*u_r_mm + 0.020224*u_r_mm^2
LOW_1,9,u_r_mm,3,0.09764201015362506,4.3154122085216615,-0.41132904094976963,2.9202452778781463,d_csds = 5.198093 - 1.949730*u_r_mm + 0.219427*u_r_mm^2 - 0.005904*u_r_mm^3
LOW_2,8,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,2,0.9175511380259346,6.076627446994202,0.5225342168388524,16.35211393378885,d_csds = -4.573825 + 0.496081*u_r_mm + 3.525003*delta_peak_mm + 18.628485*tau_peak_MPa_csds - 33.705641*tau_r_MPa + 0.317545*u_r_mm^2 - 2.394183*u_r_mm delta_peak_mm - 2.402004*u_r_mm tau_peak_MPa_csds + 1.390889*u_r_mm tau_r_MPa + 1.627397*delta_peak_mm^2 + 12.629608*delta_peak_mm tau_peak_MPa_csds - 5.565938*delta_peak_mm tau_r_MPa - 4.884678*tau_peak_MPa_csds^2 + 13.484305*tau_peak_MPa_csds tau_r_MPa - 5.802974*tau_r_MPa^2
LOW_2,7,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,2,0.8644122391300519,7.792566596819818,0.4284500852133336,17.890804070086677,d_csds = 55.862027 + 1.059732*u_r_mm - 10.778434*delta_peak_mm - 32.645811*tau_peak_MPa_csds + 0.179859*u_r_mm^2 - 1.567014*u_r_mm delta_peak_mm - 0.944523*u_r_mm tau_peak_MPa_csds + 1.327206*delta_peak_mm^2 + 9.297686*delta_peak_mm tau_peak_MPa_csds + 4.341667*tau_peak_MPa_csds^2
LOW_2,6,u_r_mm + delta_peak_mm,2,0.7783396920332628,9.963553206018604,0.39514535690427954,18.404680678306477,d_csds = 2.034711 - 5.503459*u_r_mm + 33.044312*delta_peak_mm + 0.501287*u_r_mm^2 - 3.447180*u_r_mm delta_peak_mm + 2.326064*delta_peak_mm^2
LOW_2,10,u_r_mm + delta_peak_mm,3,0.9488407791353428,4.786656238284595,0.26459826700336175,20.29388064909544,d_csds = 1.505392 + 4.486215*u_r_mm - 11.100593*delta_peak_mm - 0.182952*u_r_mm^2 - 4.262373*u_r_mm delta_peak_mm + 21.932577*delta_peak_mm^2 - 0.010539*u_r_mm^3 + 0.428251*u_r_mm^2 delta_peak_mm - 2.119058*u_r_mm delta_peak_mm^2 + 0.973191*delta_peak_mm^3
LOW_2,3,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,1,0.5045670723549565,14.895761561550374,0.2354214706818163,20.69254110022948,d_csds = -9.417906 - 1.473990*u_r_mm + 8.655472*delta_peak_mm + 4.708516*tau_peak_MPa_csds
LOW_2,4,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,1,0.5215389492379239,14.638398744788564,0.19988766300709804,21.16792367254322,d_csds = -20.886041 - 1.578005*u_r_mm + 9.336694*delta_peak_mm + 12.258582*tau_peak_MPa_csds - 5.863979*tau_r_MPa
LOW_2,2,u_r_mm + delta_peak_mm,1,0.476761654918354,15.308056618936384,0.19835621074686427,21.188172183691425,d_csds = 10.760510 - 1.649695*u_r_mm + 8.369608*delta_peak_mm
