Dataset,Features,Degree,R2_train,RMSE_train,R2_val,RMSE_val
LOW_2,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,4,1.0,3.1876319850062392e-12,0.803745808897756,10.483643579097071
LOW_2,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,2,0.9175511380259346,6.076627446994201,0.5225342168388507,16.35211393378888
LOW_2,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,2,0.8644122391300517,7.792566596819825,0.42845008521332595,17.890804070086798
LOW_2,u_r_mm + delta_peak_mm,2,0.7783396920332629,9.9635532060186,0.3951453569042902,18.404680678306317
LOW_2,u_r_mm + delta_peak_mm,3,0.9488407791353428,4.7866562382845945,0.2645982670034408,20.293880649094348
LOW_2,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,3,0.9729689584965603,3.4793784384079665,0.07801432586876467,22.72295790489003
LOW_2,u_r_mm + delta_peak_mm,4,0.9622368842459977,4.112483685310534,-0.003689754884032448,23.708415126685146
LOW_2,u_r_mm,3,0.008846120730142792,21.06884949174951,-0.022220941382102843,23.926279090035617
LOW_2,u_r_mm,2,0.0049271526094838425,21.110460938113036,-0.02523361532446944,23.961510732704685
LOW_2,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,3,0.99992831371016,0.179179504009878,-0.24758962262823814,26.432525159452013
LOW_2,u_r_mm,4,0.5014229763689138,14.942952243513298,-0.40449067781376447,28.045436766752037
LOW_2,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,4,0.997042705152748,1.150847003977955,-711.1782041045999,631.5345522845129
