u_r_mm,delta_peak_mm,tau_peak_MPa_csds,tau_r_MPa,d_csds,d_pred
2.75,0.72,0.044,0.03175,0.1118825410005739,5.325036827783667
3.0,0.92,0.035,0.02825,0.0839741852265918,6.039444525200299
3.0,0.97,0.029,0.0255,0.0543872445152351,6.277432029121274
3.5,0.78,0.05,0.0417499999999999,0.0772480845491271,4.89799487768702
3.5,1.25,0.04,0.034,0.1010624339164287,7.1350774145441935
4.0,1.8,0.035,0.033,0.0664302203204883,9.277855321140382
10.5,1.64,4.17,3.725,4.895058888506973,2.3401950336441626
10.5,2.76,3.72,3.5425,4.411982639456616,7.671115121474021
12.0,1.55,1.02,0.8525,1.2307821788444109,0.4865636169827683
12.0,1.71,2.57,1.7327500000000002,3.9430656223739473,1.24812362952989
3.25,0.87,2.35,1.9075,4.610902999506291,5.563914703012049
1.325,0.13,1.02,0.6675,1.3413254010838505,3.8707754956396077
2.425,0.6,4.93,4.2975,7.408370023650559,5.06267183212078
1.275,0.24,0.66,0.475,1.150857131382728,4.441856467919209
2.175,0.3,4.71,4.1925,5.403668346774408,3.8722891268621975
1.525,0.47,1.07,0.6975,4.743013966857158,5.299056667688426
2.2,0.47,4.91,4.25,6.841599192776869,4.657692408366788
1.325,0.11,0.89,0.5625,1.1264971811696871,3.7755804940712174
1.35,0.3,0.88,0.635,1.8001130574348498,4.6561787771441985
1.475,0.88,0.58,0.535,2.8993732180319176,7.298062663493883
2.625,1.5,3.89,3.6325,14.118629835864668,9.156413048084527
1.5,0.79,0.8,0.665,6.831849946093346,6.845930924609399
2.566666666666667,1.46,4.68,4.1066666666666665,34.69988213998113,9.021449585876777
1.85,1.26,0.94,0.785,27.936829140946248,8.75045421589239
1.85,1.15,0.71,0.65,4.6433470021604135,8.226881707266243
2.175,0.35,4.68,4.205,5.488914851902833,4.110276630783174
1.5666666666666669,0.45,0.87,0.6366666666666667,2.4910377730436024,5.164271279742156
1.5666666666666669,0.13,0.97,0.8033333333333333,1.0815597509199169,3.64115125464791
1.6,0.71,1.14,0.9133333333333334,6.610164230147195,6.370133991028927
1.5666666666666669,0.63,1.42,0.9733333333333332,11.618262835999383,6.02102629385767
1.5666666666666669,0.49,0.79,0.63,2.0368332196782206,5.354661282878936
1.5666666666666669,0.18,0.87,0.6,1.17786521425927,3.879138758568886
1.5666666666666669,0.47,0.66,0.5066666666666667,1.7861116090877074,5.259466281310546
2.175,0.57,4.24,4.0125,5.131835000811389,5.157421648035468
1.5666666666666669,0.18,0.88,0.4966666666666666,1.346155735064614,3.879138758568886
