Dataset,Features,Degree,R2_train,RMSE_train,R2_val,RMSE_val
FULL,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,2,0.2571196330598129,77.07400277985771,0.7217819848085203,19.90239952342181
FULL,u_r_mm,4,0.03161620686790023,87.99788418847383,0.09725893637691674,35.850433794073794
FULL,u_r_mm,3,0.02101623221819804,88.47818790319424,0.01234642685842302,37.498607074110176
FULL,u_r_mm,2,0.003513665505630592,89.26560392759117,0.008568456565980265,37.570258414343236
FULL,u_r_mm + delta_peak_mm,2,0.19287933667128065,80.33738789298746,0.003615705062723573,37.66398366712085
FULL,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,2,0.5564904189760604,59.552497152673325,-0.23393637369688114,41.91400870805262
FULL,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,3,0.8826137199128876,30.63776946912468,-1.8077480478330044,63.225443299083544
FULL,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,3,0.2984436859432755,74.89964214553338,-2.047899566111936,65.87386449582961
FULL,u_r_mm + delta_peak_mm,3,0.20576274433089814,79.69362856771626,-4.480963049837344,88.33671666593375
FULL,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,4,0.9946157519704831,6.561618898763614,-8.707413607481483,117.56135502222196
FULL,u_r_mm + delta_peak_mm,4,0.2773432864026706,76.01765962814153,-172.64860402366918,497.2198568856872
FULL,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,4,0.3851412011092147,70.119073671319,-274.3611391495571,626.1294637958639
HIGH,u_r_mm + delta_peak_mm,2,0.38470195030023324,52.99898116311218,0.07967591155251152,252.52601943486798
HIGH,u_r_mm + delta_peak_mm,3,0.40528941262001816,52.10478242428904,0.05898952174716099,255.34829833435177
HIGH,u_r_mm,4,0.1271359147217368,63.12451638713737,-0.0012593902814881375,263.3959175374543
HIGH,u_r_mm,3,0.10724631056089262,63.83966193115125,-0.012957296513185224,264.9301021147668
HIGH,u_r_mm,2,0.029901240998220557,66.54765036157553,-0.0338542719831878,267.64886229653206
HIGH,u_r_mm + delta_peak_mm,4,0.5036566597457054,47.60097531076851,-0.10818570612974443,277.1034994653113
HIGH,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,2,0.4828457887416773,48.58864460454082,-0.6504859756866872,338.1751237013785
HIGH,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,2,0.9152518930145572,19.669338516361538,-2.819634577165214,514.454116192015
HIGH,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,3,0.9971916931765563,3.580527628792664,-22.561285230977287,1277.718628852989
HIGH,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,3,0.5529170282791578,45.17714856248583,-56.62482974323717,1998.2074137521627
HIGH,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,4,0.6319087385684841,40.99232066132788,-243774.07868231836,129966.19099802701
HIGH,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,4,0.9999966192997427,0.1242304576181723,-896826.3212729763,249281.5598127065
LOW,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,2,0.7325245359736037,6.55809393947992,0.6663313278653824,7.756356488365276
LOW,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,2,0.672893849922636,7.252371010949023,0.5604521185740456,8.902318753757392
LOW,u_r_mm + delta_peak_mm,2,0.364102177053521,10.111819939626413,0.5169975129643843,9.331999962288897
LOW,u_r_mm,4,0.01024934580660919,12.615328305637597,0.03002863873015349,13.224507302305133
LOW,u_r_mm,3,0.004272875558683498,12.65335892505434,-0.018727857210071086,13.552803323354501
LOW,u_r_mm,2,0.00399456489370531,12.65512713976442,-0.030727073614528422,13.632386378545785
LOW,u_r_mm + delta_peak_mm,3,0.47074957877155954,9.224997659868878,-1.326612234759041,20.481513621363003
LOW,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,3,0.8167309754770238,5.428504380556,-3.634313941200162,28.906317612850035
LOW,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,3,0.9017695581343909,3.974282252025249,-10.136204037316926,44.80934901808085
LOW,u_r_mm + delta_peak_mm,4,0.5589252869117305,8.421544321689998,-146.5758969170711,163.12020575286718
LOW,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,4,0.9064065555396746,3.879344728265334,-375.169073257207,260.43034631135816
LOW,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,4,0.9922340068943443,1.1174655899858774,-1508.723287461507,521.7334984045692
LOW_1,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,3,0.9057049777209768,1.3950097261053185,0.6993988278717527,1.3477226465489238
LOW_1,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,2,0.7162150105547966,2.420067959609272,0.3268806244111324,2.0167461529843522
LOW_1,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,2,0.7736442142170109,2.1613676738100254,0.3052493097345854,2.0488949156837895
LOW_1,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,3,0.8301719462108426,1.872136748307089,0.11501888128970794,2.312449162070863
LOW_1,u_r_mm + delta_peak_mm,3,0.7376280614476287,2.3269740700575157,-0.013756499370436437,2.4749818422057674
LOW_1,u_r_mm + delta_peak_mm,2,0.6568372788908102,2.661233019000621,-0.24805137324301585,2.7461320861134344
LOW_1,u_r_mm + delta_peak_mm,4,0.8239266369073293,1.9062492314900026,-0.3077138542570801,2.8110045830219783
LOW_1,u_r_mm,2,0.02562573867974116,4.484311298575966,-0.3240902861766317,2.8285508525642
LOW_1,u_r_mm,3,0.09764201015362484,4.3154122085216615,-0.4113290409497581,2.9202452778781343
LOW_1,u_r_mm,4,0.15298750119997884,4.180976834916433,-2.381811747626083,4.520431634472951
LOW_1,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,4,0.9226916059877333,1.2631245540638396,-11.508276127510033,8.693685420561517
LOW_1,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,4,0.9986975718012089,0.16394936808233823,-70.31084507833907,20.757879324051157
LOW_2,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,4,1.0,3.1876319850062392e-12,0.803745808897756,10.483643579097071
LOW_2,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,2,0.9175511380259346,6.076627446994201,0.5225342168388507,16.35211393378888
LOW_2,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,2,0.8644122391300517,7.792566596819825,0.42845008521332595,17.890804070086798
LOW_2,u_r_mm + delta_peak_mm,2,0.7783396920332629,9.9635532060186,0.3951453569042902,18.404680678306317
LOW_2,u_r_mm + delta_peak_mm,3,0.9488407791353428,4.7866562382845945,0.2645982670034408,20.293880649094348
LOW_2,u_r_mm + delta_peak_mm + tau_peak_MPa_csds,3,0.9729689584965603,3.4793784384079665,0.07801432586876467,22.72295790489003
LOW_2,u_r_mm + delta_peak_mm,4,0.9622368842459977,4.112483685310534,-0.003689754884032448,23.708415126685146
LOW_2,u_r_mm,3,0.008846120730142792,21.06884949174951,-0.022220941382102843,23.926279090035617
LOW_2,u_r_mm,2,0.0049271526094838425,21.110460938113036,-0.02523361532446944,23.961510732704685
LOW_2,u_r_mm + delta_peak_mm + tau_peak_MPa_csds + tau_r_MPa,3,0.99992831371016,0.179179504009878,-0.24758962262823814,26.432525159452013
LOW_2,u_r_mm,4,0.5014229763689138,14.942952243513298,-0.40449067781376447,28.045436766752037
