Feature,Frequency
u_p_div_u_r,9
tau_r_div_tau_p,9
u_r_div_u_p,5
tau_peak_MPa_csds,2
tau_r_MPa,2
tau_p_x_tau_r,2
tau_r_div_u_p,1
