Dataset,Rank_in_saved_results,Polynomial_Term,Coefficient_in_scaled_space
LOW_1,4,u_p_div_u_r u_p_div_tau_p,0.010621612032455416
LOW_1,4,u_p_div_tau_p^2,0.13161487425107732
LOW_1,5,tau_r_div_tau_p,-0.5388022667853587
LOW_1,5,u_p_div_u_r,0.5151235624578226
LOW_1,5,tau_r_div_sigma_n,-0.059590370729964925
LOW_1,5,u_r_div_tau_p,-0.900829901351257
LOW_1,5,tau_peak_MPa_csds,1.5734724369640198
LOW_1,5,tau_r_div_tau_p^2,-0.12082675702678991
LOW_1,5,tau_r_div_tau_p u_p_div_u_r,-0.4116727078586446
LOW_1,5,tau_r_div_tau_p tau_r_div_sigma_n,0.02331458899353637
LOW_1,5,tau_r_div_tau_p u_r_div_tau_p,-0.14483585061543985
LOW_1,5,tau_r_div_tau_p tau_peak_MPa_csds,-0.021918968974868183
LOW_1,5,u_p_div_u_r^2,0.2033897361191781
LOW_1,5,u_p_div_u_r tau_r_div_sigma_n,0.05312000560140415
LOW_1,5,u_p_div_u_r u_r_div_tau_p,-0.4841831194893824
LOW_1,5,u_p_div_u_r tau_peak_MPa_csds,-0.05251175375644254
LOW_1,5,tau_r_div_sigma_n^2,-0.03202674695708242
LOW_1,5,tau_r_div_sigma_n u_r_div_tau_p,-0.0175600236129944
LOW_1,5,tau_r_div_sigma_n tau_peak_MPa_csds,0.10298086749052664
LOW_1,5,u_r_div_tau_p^2,0.10812606143709518
LOW_1,5,u_r_div_tau_p tau_peak_MPa_csds,0.20231438552868258
LOW_1,5,tau_peak_MPa_csds^2,-0.29925800596022806
