sample_id,u_peak,u_r,tau_peak,tau_r,true_a,true_b,true_c,true_d,true_e,estimated_a,estimated_b,estimated_c,estimated_d,estimated_e,error_b,abs_error_b,error_d,abs_error_d,error_e,abs_error_e,curve_rmse_tau_u,curve_mae_tau_u,curve_r2_tau_u,curve_valid,dataset,model_name
7,0.72,2.75,0.044,0.03175,0.03175,0.0801325410005739,1.818181818181818,0.1118825410005739,3.441242286799551,0.03175,0.3539314122484597,1.818181818181818,0.3856814122484597,2.206087579041756,0.2737988712478858,0.2737988712478858,0.2737988712478858,0.2737988712478858,-1.2351547077577951,1.2351547077577951,0.0031185513653918385,0.002553982370450215,0.7890929074301899,True,FULL,FULL_exp_log_rank_2
8,0.92,3.0,0.035,0.02825,0.02825,0.0557241852265918,1.6666666666666667,0.0839741852265918,3.007954906577982,0.02825,0.1832030023435054,1.6666666666666667,0.2114530023435054,2.044799111221107,0.12747881711691358,0.12747881711691358,0.1274788171169136,0.1274788171169136,-0.963155795356875,0.963155795356875,0.0013070686856915426,0.0010494407543718508,0.9419773736762629,True,FULL,FULL_exp_log_rank_2
9,0.97,3.0,0.029,0.0255,0.0255,0.0288872445152351,1.6666666666666667,0.0543872445152351,3.290221199159674,0.0255,0.098832893277797,1.6666666666666667,0.124332893277797,2.180191733259831,0.0699456487625619,0.0699456487625619,0.0699456487625619,0.0699456487625619,-1.110029465899843,1.110029465899843,0.0009943751009670516,0.0008241194498570825,0.9526127855683733,True,FULL,FULL_exp_log_rank_2
11,0.78,3.5,0.05,0.0417499999999999,0.0417499999999999,0.0354980845491272,1.4285714285714286,0.0772480845491271,4.004659571873231,0.0417499999999999,0.3821756421860576,1.4285714285714286,0.4239256421860575,1.9799468379147265,0.3466775576369304,0.3466775576369304,0.3466775576369304,0.3466775576369304,-2.0247127339585043,2.0247127339585043,0.0140538636628287,0.010732769119540657,-3.078440442413532,True,FULL,FULL_exp_log_rank_2
12,1.25,3.5,0.04,0.034,0.034,0.0670624339164287,1.4285714285714286,0.1010624339164287,2.366794324621144,0.034,0.1907032308870269,1.4285714285714286,0.2247032308870269,1.698079464304084,0.1236407969705982,0.1236407969705982,0.1236407969705982,0.1236407969705982,-0.6687148603170598,0.6687148603170598,0.0018583239128858715,0.0011399903725113618,0.9174385855500113,True,FULL,FULL_exp_log_rank_2
13,1.8,4.0,0.035,0.033,0.033,0.0334302203204883,1.25,0.0664302203204883,2.0972939397426664,0.033,0.0508672652408961,1.25,0.0838672652408961,1.6979366772479618,0.017437044920407804,0.017437044920407804,0.017437044920407804,0.017437044920407804,-0.3993572624947046,0.3993572624947046,0.0013303782784682737,0.0007759368111060088,0.9539977036599263,True,FULL,FULL_exp_log_rank_2
19,1.55,12.0,1.02,0.8525,0.8525,0.3782821788444106,0.4166666666666667,1.2307821788444109,2.3791759662313843,0.8525,1.3034877797657152,0.4166666666666667,2.155987779765715,1.6156363904204265,0.9252056009213045,0.9252056009213045,0.9252056009213043,0.9252056009213043,-0.7635395758109578,0.7635395758109578,0.14237845652181033,0.09232570301043687,-0.43332818224337455,True,FULL,FULL_exp_log_rank_2
20,1.71,12.0,2.57,1.7327500000000002,1.7327500000000002,2.210315622373947,0.4166666666666667,3.9430656223739473,1.6207235717983703,1.7327500000000002,0.7606058418912456,0.4166666666666667,2.493355841891246,2.039826263256877,-1.4497097804827015,1.4497097804827015,-1.4497097804827015,1.4497097804827015,0.41910269145850654,0.41910269145850654,0.23011967942390357,0.14921847757055884,0.5729273996915875,True,FULL,FULL_exp_log_rank_2
27,0.87,3.25,2.35,1.9075,1.9075,2.7034029995062916,1.5384615384615383,4.610902999506291,3.276941309100947,1.9075,0.1406701558414431,1.5384615384615383,2.048170155841443,6.223288964044328,-2.5627328436648487,2.5627328436648487,-2.562732843664848,2.562732843664848,2.946347654943381,2.946347654943381,0.20473799743000173,0.14417657494661623,0.6557237553665375,True,FULL,FULL_exp_log_rank_2
28,0.13,1.325,1.02,0.6675,0.6675,0.6738254010838505,3.7735849056603774,1.3413254010838505,23.891608655167115,0.6675,0.3649201350934608,3.7735849056603774,1.0324201350934608,26.87467152181482,-0.3089052659903897,0.3089052659903897,-0.3089052659903897,0.3089052659903897,2.983062866647707,2.983062866647707,0.06198496031924843,0.03819979734897923,0.7789889182437746,True,FULL,FULL_exp_log_rank_2
29,0.6,2.425,4.93,4.2975,4.2975,3.110870023650559,2.061855670103093,7.408370023650559,5.517814597970529,4.2975,1.3260370993824502,2.061855670103093,5.6235370993824505,6.342603993102408,-1.784832924268109,1.784832924268109,-1.784832924268109,1.784832924268109,0.8247893951318792,0.8247893951318792,0.19220343336691256,0.13322153650378551,0.9266401520066151,True,FULL,FULL_exp_log_rank_2
30,2.17,3.85,16.37,14.955,14.955,60.674147880173095,1.2987012987012987,75.6291478801731,1.6284330431129306,14.955,118.40709101648773,1.2987012987012987,133.3620910164877,1.3822406446325557,57.73294313631463,57.73294313631463,57.73294313631462,57.73294313631462,-0.24619239848037489,0.24619239848037489,1.5935530156391238,1.1443611119165384,0.7189300254442446,True,FULL,FULL_exp_log_rank_2
31,0.24,1.275,0.66,0.475,0.475,0.6758571313827281,3.9215686274509807,1.150857131382728,11.17767536247715,0.475,0.4173285479035179,3.9215686274509807,0.8923285479035179,11.610728720351371,-0.25852858347921015,0.25852858347921015,-0.25852858347921015,0.25852858347921015,0.43305335787422194,0.43305335787422194,0.03716763391979737,0.024637607306384358,0.8395204003243185,True,FULL,FULL_exp_log_rank_2
