Feature,Frequency
tau_r_div_tau_p,30
u_p_div_u_r,30
u_r_x_tau_r,25
u_r_div_u_p,24
tau_p_div_u_p,12
u_r_x_u_p,6
tau_p_div_u_r,5
u_r_div_tau_r,4
u_p_div_tau_r,3
u_r_mm,3
tau_r_div_u_r,2
tau_r_div_u_p,2
u_r_div_tau_p,2
tau_peak_MPa_csds,2
tau_p_x_tau_r,1
u_r_x_tau_p,1
tau_p_div_tau_r,1
sigma_n_x_tau_r,1
delta_peak_mm,1
tau_r_MPa,1
sigma_n_div_tau_p,1
u_p_x_tau_r,1
