Feature,Frequency
tau_r_div_tau_p,30
u_p_div_u_r,30
delta_peak_mm,29
tau_p_div_u_r,24
tau_r_div_u_p,6
sigma_n_div_u_p,6
sigma_n_x_u_p,5
tau_r_MPa,4
sigma_n_div_tau_r,4
sigma_n_div_tau_p,3
tau_p_div_tau_r,3
tau_peak_MPa_csds,2
tau_p_div_u_p,2
sigma_n_div_u_r,2
tau_p_div_sigma_n,2
u_r_x_tau_p,2
sigma_n_MPa,1
u_r_mm,1
u_r_x_tau_r,1
u_p_div_tau_r,1
tau_p_x_tau_r,1
tau_r_div_sigma_n,1
