Feature,Frequency
tau_r_div_tau_p,30
u_p_div_u_r,24
tau_r_div_u_p,15
delta_peak_mm,13
u_r_x_tau_p,10
u_p_x_tau_r,9
tau_r_div_u_r,4
tau_r_MPa,3
tau_p_div_u_p,2
tau_p_div_u_r,2
tau_p_x_tau_r,2
u_r_div_u_p,1
u_r_x_u_p,1
u_p_div_tau_r,1
u_p_x_tau_p,1
u_r_div_tau_r,1
